raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,typo_candidate,suggested_correction
Dalwhinnie,15yo,15.0,,False,43,6,False,Dalwhinnie Distillers Ed. 1996 43% 7. Dufftown 1998 43% 8. Dunaverty (Campbelltown) 5yo 43% 25. Dunaverty (Campbelltown) 8yo 43% 35. Drumguish 40% 8. Edradour (Pitlochry) 10yo 40% 6. ‘The smallest distillery in Scotland located in Pitlochry currently independently owned. Spicy and fruity on the palate.’ MK,5,The_Malt_List.pdf,historical_bar_menu,medium,Dalwhinnie,Dalwhinnie 15yo,80,No close match found,,
Edradour (Pitlochry),10yo/1998,10.0,1998.0,False,46,9,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Edradour (Pitlochry),Brauerei Locher,61,No close match found,,
Faculty of Advocates,8yo,8.0,,False,40,7,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Faculty of Advocates,Gutshof Andres,53,No close match found,,
Finlaggan,no statement,,,True,40,8,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Finlaggan,Finlaggan Old Reserve,60,No close match found,,
Glen Albyn,21yo,21.0,,False,40,40,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Albyn,Glen Els,67,No close match found,,
Glen Avon,8yo,8.0,,False,40,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Avon,Glen Els,59,No close match found,,
Glenallachie,1989,,1989.0,False,62.5,8,True,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenallachie,Glen Kella,64,No close match found,,
Glenburgie,15yo,15.0,,False,46,10,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenburgie,Glenmorangie 18yo,59,No close match found,,
Glenburgie,17yo/1995,17.0,1995.0,False,43,8,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenburgie,Glenmorangie 18yo,59,No close match found,,
Glenburgie,8yo,8.0,,False,40,12,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenburgie,Glenmorangie 18yo,59,No close match found,,
Glencadam,1974,,1974.0,False,40,11,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glencadam,Glencadam 25yo,78,No close match found,,
Glencoe,8yo,8.0,,False,58,12,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glencoe,Glengoyne 12Y,60,No close match found,,
Glencraig,1975,,1975.0,False,40,15,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glencraig,Glendalough,60,No close match found,,
Glendronach (Huntly),8yo,8.0,,False,40,20,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glendronach (Huntly),GlenDronach Peated,72,No close match found,,
Glen Deveron,10yo,10.0,,False,40,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Deveron,Glen Deveron 10yo (Macduff),65,No close match found,,
Glendullan,12yo,12.0,,False,43,8,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glendullan,Glen Kella,70,No close match found,,
