whisky_id,issue,db_name,flavor_csv_name,bottle_name
1108,ID did not match but Name matched (Fallback avoided),Ardbeg Corryvreckan,ardbeg corryvreckan,Ardbeg Corryvreckan
1111,ID did not match but Name matched (Fallback avoided),Ardbeg Alligator,ardbeg alligator,Ardbeg Alligator
1115,ID did not match but Name matched (Fallback avoided),Ardbeg Ardbog,ardbeg ardbog,Ardbeg Ardbog
1137,ID did not match but Name matched (Fallback avoided),Laphroaig Quarter Cask,laphroaig quarter cask,Laphroaig Quarter Cask
1147,ID did not match but Name matched (Fallback avoided),Ardbeg Dark Cove,ardbeg dark cove,Ardbeg Day
1150,ID did not match but Name matched (Fallback avoided),AnCnoc Rutter,ancnoc rutter,AnCnoc Rutter
1163,ID did not match but Name matched (Fallback avoided),Ardbeg Auriverdes,ardbeg auriverdes,Ardbeg Auriverdes
1165,ID did not match but Name matched (Fallback avoided),Laphroaig An Cuan Mor,laphroaig an cuan mor,Laphroaig An Cuan Mor
1173,ID did not match but Name matched (Fallback avoided),Longrow CV,longrow cv,Longrow CV
1180,ID did not match but Name matched (Fallback avoided),Kilchoman Machir Bay (all vintages),kilchoman machir bay (all vintages),Kilchoman Machir Bay
1186,ID did not match but Name matched (Fallback avoided),Longrow Peated,longrow peated,Longrow Peated
1190,ID did not match but Name matched (Fallback avoided),Kilchoman 100% Islay (all editions),kilchoman 100% islay (all editions),Kilchoman 100% Islay 3rd Edition
1203,ID did not match but Name matched (Fallback avoided),Caol Ila Distiller's Edition (all editions),caol ila distiller's edition (all editions),Caol Ila Distiller's Edition
1209,ID did not match but Name matched (Fallback avoided),Laphroaig Triple Wood,laphroaig triple wood,Laphroaig Triplewood
1212,ID did not match but Name matched (Fallback avoided),Jura Prophecy,jura prophecy,Jura Prophecy
1217,ID did not match but Name matched (Fallback avoided),Bruichladdich Port Charlotte The Peat Project,bruichladdich port charlotte the peat project,Bruichladdich Port Charlotte The Peat Project
1220,ID did not match but Name matched (Fallback avoided),Finlaggan Old Reserve,finlaggan old reserve,Finlaggan Old Reserve
1225,ID did not match but Name matched (Fallback avoided),Tomintoul Peaty Tang,tomintoul peaty tang,Tomintoul Peaty Tang
1226,ID did not match but Name matched (Fallback avoided),McClelland's Islay Single Malt,mcclelland's islay single malt,McClelland Islay
1256,ID did not match but Name matched (Fallback avoided),Compass Box Great King St Artist's Blend,compass box great king st artist's blend,Compass Box Great King St. Artist's Blend
1257,ID did not match but Name matched (Fallback avoided),Johnnie Walker Blue Label,johnnie walker blue label,Johnnie Walker Blue Label
1274,ID did not match but Name matched (Fallback avoided),Té Bheag,té bheag,Té Bheag
1275,ID did not match but Name matched (Fallback avoided),Johnnie Walker Platinum Label,johnnie walker platinum label,Johnnie Walker Platinum Label
1278,ID did not match but Name matched (Fallback avoided),Nikka Coffey Grain,nikka coffey grain,Nikka Coffey Grain
1286,ID did not match but Name matched (Fallback avoided),Johnnie Walker Double Black,johnnie walker double black,Johnnie Walker Double Black
1299,ID did not match but Name matched (Fallback avoided),Compass Box Asyla,compass box asyla,Compass Box Asyla
1330,ID did not match but Name matched (Fallback avoided),Famous Grouse Smoky Black (Black Grouse),famous grouse smoky black (black grouse),Black Grouse
1336,ID did not match but Name matched (Fallback avoided),Teacher's Highland Cream,teacher's highland cream,Teacher's Highland Cream
1344,ID did not match but Name matched (Fallback avoided),Grant's Family Reserve Blended,grant's family reserve blended,Grant's Family Reserve
1346,ID did not match but Name matched (Fallback avoided),Bushmills Original Blended,bushmills original blended,Bushmills Original
1350,ID did not match but Name matched (Fallback avoided),Ballantine's Finest,ballantine's finest,Ballantine's Finest
1357,ID did not match but Name matched (Fallback avoided),Dewar's White Label,dewar's white label,Dewar's White Label
1358,ID did not match but Name matched (Fallback avoided),Johnnie Walker Red Label,johnnie walker red label,Johnnie Walker Red Label
1362,ID did not match but Name matched (Fallback avoided),J&B Rare,j&b rare,J&B Rare
1373,ID did not match but Name matched (Fallback avoided),Thomas H. Handy Sazerac,thomas h. handy sazerac,Thomas H. Handy
1383,ID did not match but Name matched (Fallback avoided),High West Midwinter Night’s Dram Rye,high west midwinter night’s dram rye,High West A Midwinter Nights Dram
1394,ID did not match but Name matched (Fallback avoided),J.P. Wiser's Legacy,j.p. wiser's legacy,Wiser's Legacy
1409,ID did not match but Name matched (Fallback avoided),Whistlepig The Boss Hog,whistlepig the boss hog,Whistle Pig Boss Hog
1461,ID did not match but Name matched (Fallback avoided),Colonel E.H. Taylor Straight Rye,colonel e.h. taylor straight rye,Colonel E.H. Taylor Straight Rye
1467,ID did not match but Name matched (Fallback avoided),Rittenhouse Rye 100 Proof,rittenhouse rye 100 proof,Rittenhouse Rye 100
1476,ID did not match but Name matched (Fallback avoided),Wild Turkey 101 Rye,wild turkey 101 rye,Wild Turkey 101 Rye
1481,ID did not match but Name matched (Fallback avoided),Sazerac Straight Rye,sazerac straight rye,Sazerac Rye
1483,ID did not match but Name matched (Fallback avoided),Forty Creek Copper Pot Reserve,forty creek copper pot reserve,Forty Creek Copper Pot Reserve
1519,ID did not match but Name matched (Fallback avoided),Bulleit Rye,bulleit rye,Bulleit Rye
1536,ID did not match but Name matched (Fallback avoided),Forty Creek Barrel Select,forty creek barrel select,Forty Creek Barrel Select
1573,ID did not match but Name matched (Fallback avoided),Templeton Rye,templeton rye,Templeton Rye
1605,ID did not match but Name matched (Fallback avoided),George T Stagg,george t stagg,George T Stagg 2014
1608,ID did not match but Name matched (Fallback avoided),William Larue Weller,william larue weller,William Larue Weller
1653,ID did not match but Name matched (Fallback avoided),Angel's Envy Cask Strength,angel's envy cask strength,Angel's Envy Cask Strength
1668,ID did not match but Name matched (Fallback avoided),Colonel E.H. Taylor Single Barrel,colonel e.h. taylor single barrel,Colonel E.H. Taylor Single Barrel
1672,ID did not match but Name matched (Fallback avoided),Russell's Reserve Single Barrel,russell's reserve single barrel,Russell's Reserve Single Barrel
1694,ID did not match but Name matched (Fallback avoided),Wild Turkey Rare Breed,wild turkey rare breed,Wild Turkey Rare Breed
