raw_name,norm_basic,norm_alias,sources,mention_count,owner,country,region,founded,type,status,match_method_used
Leven Distillery,leven distillery,leven,data/books/yeni veriler/distilleries.csv,1,Diageo,Scotland,Lowland,,C - Column,,unmatched
Littlemill,littlemill,littlemill,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Loch Katrine,loch katrine,loch katrine,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Lochhead,lochhead,lochhead,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Lochlea Distillery,lochlea distillery,lochlea,data/books/yeni veriler/distilleries.csv,1,Lochlea Distillery Ltd,Scotland,Lowland,,A2 - Alembic,,unmatched
Lochruan,lochruan,lochruan,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Lochside,lochside,lochside,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Lough Ree Distillery,lough ree distillery,lough ree,data/books/yeni veriler/distilleries.csv,1,Clancy Family,Ireland,Longford,,"Blended, Single Cask",,unmatched
Lux Row Distillers,lux row distillers,lux row distillers,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,Luxco,USA,Kentucky,,C - Column,,unmatched
Mackmyra Svensk Whisky,mackmyra svensk whisky,mackmyra svensk,data/books/yeni veriler/distilleries.csv,1,Mackmyra Svensk Whisky AB,Sweden,Gävleborg,,A2 - Alembic,,unmatched
Mars Shinshu Distillery,mars shinshu distillery,mars shinshu,data/books/yeni veriler/distilleries.csv,1,"Hombo Shuzo Co., Ltd.",Japan,Chūbu,,Single Malt,,unmatched
"McAllister Distillers, Ltd.","mcallister distillers, ltd.",mcallister distillers ltd,data/books/yeni veriler/distilleries.csv,1,Gareth i Michelle McAllister,Ireland,Galway,,"Single malt, Blend",,unmatched
Meadowburn,meadowburn,meadowburn,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
MGP Ingredients Distillery (Ross & Squibb),mgp ingredients distillery (ross & squibb),mgp ingredients,data/books/yeni veriler/distilleries.csv,1,MGP Ingredients,USA,Indiana,,C - Column,,unmatched
Millburn,millburn,millburn,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Miyagikyo Distillery,miyagikyo distillery,miyagikyo,data/books/yeni veriler/distilleries.csv,1,Nikka Whisky Distilling Co Ltd,Japan,Tōhoku,,"Single Malt, Single grain, Blend.",,unmatched
Mossfield,mossfield,mossfield,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Nagahama Distillery,nagahama distillery,nagahama,data/books/yeni veriler/distilleries.csv,1,Nagahama Roman Beer Co.,Japan,Kansai,,,,unmatched
Nc’nean,nc’nean,nc nean,data/books/yeni veriler/brands.csv;data/books/yeni veriler/distilleries.csv,2,Drimnin Distillery Company,Scotland,Highland,,A2 - Alembic,,unmatched
Niigata Kameda Distillery,niigata kameda distillery,niigata kameda,data/books/yeni veriler/distilleries.csv,1,Otani Corporation,Japan,Chūbu,,,,unmatched
Niseko Distillery,niseko distillery,niseko,data/books/yeni veriler/distilleries.csv,1,"Hakkaisan Brewery Co., Ltd.",Japan,Hokkaido,,,,unmatched
North of Scotland,north of scotland,north of scotland,data/books/yeni veriler/distilleries.csv,1,X,Scotland,?,,Grain whisky,,unmatched
North Port,north port,north port,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
North Uist,north uist,north uist,data/books/yeni veriler/distilleries.csv,1,North Uist Distillery Company,Scotland,Island,,A2 - Alembic,,unmatched
Nukuda Brewery,nukuda brewery,nukuda brewery,data/books/yeni veriler/distilleries.csv,1,Nukuda Brewery Co.,Japan,Kantō,,,,unmatched
Okayama Distillery,okayama distillery,okayama,data/books/yeni veriler/distilleries.csv,1,"Miyashita Shuzo Co., Ltd.",Japan,Chūgoku,,Single malt,,unmatched
Old Bushmills Distillery,old bushmills distillery,old bushmills,data/books/yeni veriler/distilleries.csv,1,Proximo Spirits,Northern Ireland,Antrim,,Single Malt,,unmatched
Old Carrick Mill Distillery,old carrick mill distillery,old carrick mill,data/books/yeni veriler/distilleries.csv,1,Old Carrick Mill Ltd.,Ireland,Monaghan,,Malt whiskey,,unmatched
Osuzuyama Distillery,osuzuyama distillery,osuzuyama,data/books/yeni veriler/distilleries.csv,1,"Osuzuyama Distillery Co., Ltd. (Kuroki Honten Group)",Japan,Kyūshū,,"Single malt, Blended Malt",,unmatched
Parkmore,parkmore,parkmore,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Speyside,,A2 - Alembic,,unmatched
Piccadilly Distillery,piccadilly distillery,piccadilly,data/books/yeni veriler/distilleries.csv,1,Piccadily Agro Industries Limited,India,Haryana,,A2 - Alembic,,unmatched
Port Dundas,port dundas,port dundas,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,Grain whisky,,unmatched
Port of Leith,port of leith,port of leith,data/books/yeni veriler/distilleries.csv,1,Muckle Brig,Scotland,Lowland,,A2 - Alembic,,unmatched
Powerscourt Distillery,powerscourt distillery,powerscourt,data/books/yeni veriler/distilleries.csv,1,Powerscourt Estate,Ireland,Wicklow,,"Single Malt, Pot Still, Blended",,unmatched
Provanmill,provanmill,provanmill,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Raasay,raasay,raasay,data/books/yeni veriler/distilleries.csv,1,R&B Distillers,Scotland,Island,,A2 - Alembic,,unmatched
Rishiri Distillery,rishiri distillery,rishiri,data/books/yeni veriler/distilleries.csv,1,Kamui Whisky K.K.,Japan,Hokkaido,,,,unmatched
Roe & Co Distillery,roe & co distillery,roe co,data/books/yeni veriler/distilleries.csv,1,Diageo,Ireland,Dublin,,"Irish whiskey - Blended, Single Malt",,unmatched
Rokkosan Distillery,rokkosan distillery,rokkosan,data/books/yeni veriler/distilleries.csv,1,"Rokkosan Distillery Co., Ltd.",Japan,Kansai,,,,unmatched
Rosebank Distillery,rosebank distillery,rosebank,data/books/yeni veriler/distilleries.csv,1,Ian Macleod Distillers,Scotland,Lowland,,A2 - Alembic,,unmatched
Royal Oak Distillery,royal oak distillery,royal oak,data/books/yeni veriler/distilleries.csv,1,Illva Saronno,Ireland,Carlow,,"Single Malt, Single Pot Still, Single Grain and Blended",,unmatched
Sakurao Distillery,sakurao distillery,sakurao,data/books/yeni veriler/distilleries.csv,1,"Sakurao Brewery and Distillery Co., Ltd.",Japan,Chūgoku,,Single malt,,unmatched
Saucel,saucel,saucel,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Saxa Vord,saxa vord,saxa vord,data/books/yeni veriler/distilleries.csv,1,Shetland Distillery Company,Scotland,Island,,A2 - Alembic,,unmatched
Seven Seals Innovation AG,seven seals innovation ag,seven seals innovation ag,data/books/yeni veriler/distilleries.csv,1,Seven Seals Innovation AG,Switzerland,Central Switzerland,,A - Alembic,,unmatched
Shiki Shuzo,shiki shuzo,shiki shuzo,data/books/yeni veriler/distilleries.csv,1,"Shiki Whisky; Shiki Shuzo Co., Ltd.",Japan,Kyūshū,,,,unmatched
Springside,springside,springside,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
St George's Distillery (The English Distillery),st george's distillery (the english distillery),st george s,data/books/yeni veriler/distilleries.csv,1,The English Whisky Co.,England,Norfolk,,A2 - Alembic,,unmatched
St. Magdalene,st. magdalene,st magdalene,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Starlaw Distillery,starlaw distillery,starlaw,data/books/yeni veriler/distilleries.csv,1,La Martiniquaise-Bardinet,Scotland,Lowland,,C - Column,,unmatched
Strathdee,strathdee,strathdee,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Strathearn Distillery,strathearn distillery,strathearn,data/books/yeni veriler/distilleries.csv,1,Douglas Laing & Co.,Scotland,Highland,,A2 - Alembic,,unmatched
Stromness,stromness,stromness,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Stronarchie,stronarchie,stronarchie,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Tambovie,tambovie,tambovie,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
The Quiet Man Craft Distillery,the quiet man craft distillery,quiet man craft,data/books/yeni veriler/distilleries.csv,1,The Quiet Man Irish Whiskey Co. Ltd.,Northern Ireland,Derry,,"Blend, Single Malt",,unmatched
Thistle,thistle,thistle,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Toberanrigh,toberanrigh,toberanrigh,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Towiemore,towiemore,towiemore,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Tullamore Distillery,tullamore distillery,tullamore,data/books/yeni veriler/distilleries.csv,1,William Grant & Sons,Ireland,Offaly,,"Single malt, Single grain",,unmatched
Uile-bheist,uile-bheist,uile bheist,data/books/yeni veriler/distilleries.csv,1,Victoria and John Erasmus,Scotland,Highland,,A2 - Alembic,,unmatched
Union,union,union,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
Wakatsuru Saburomaru Distillery,wakatsuru saburomaru distillery,wakatsuru saburomaru,data/books/yeni veriler/distilleries.csv,1,"Saburomaru; Wakatsuru Shuzo Co., Ltd.",Japan,Chūbu,,,,unmatched
West Highland,west highland,west highland,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
White Oak Distillery,white oak distillery,white oak,data/books/yeni veriler/distilleries.csv,1,Eigashima Shuzo Co.,Japan,Kansai,,A2 - Alembic,,unmatched
X (bottler),x (bottler),x,data/books/yeni veriler/distilleries.csv,1,Matt D’Arcy & Co Ltd,Northern Ireland,Newry,,Bottler,,unmatched
Yamaga Distillery,yamaga distillery,yamaga,data/books/yeni veriler/distilleries.csv,1,"Komasa Jyozo Co., Ltd.",Japan,Kyūshū,,Single malt,,unmatched
Yasato Distillery,yasato distillery,yasato,data/books/yeni veriler/distilleries.csv,1,Yasato Distillery Co.,Japan,Kantō,,Single malt,,unmatched
Yoichi Distillery,yoichi distillery,yoichi,data/books/yeni veriler/distilleries.csv,1,Nikka Whisky Distilling Co Ltd,Japan,Hokkaido,,"Malts, Blends",,unmatched
Yoshida Denzai Distillery,yoshida denzai distillery,yoshida denzai,data/books/yeni veriler/distilleries.csv,1,Yoshida Denzai Kogyo,Japan,Chūbu,,Single grain,,unmatched
Yuza Distillery,yuza distillery,yuza,data/books/yeni veriler/distilleries.csv,1,"Kinryu Co., Ltd.",Japan,Tōhoku,,,,unmatched
