metric,value
input_rows_processed,11149
rapidfuzz_available,True
registry_present,True
KEEP_DISTILLERY_FEATURE_ONLY,664
KEEP_PRODUCT_FEATURE,177
REJECT_CONFLICT,6516
REJECT_LOW_CONFIDENCE,2295
REVIEW_PRODUCT_FEATURE,1497
