whisky_id,whisky_name,source_url,source_domain,source_type,snapshot_path,http_status,fetch_status,extraction_status,match_score,mismatch_flags,nose_notes,palate_notes,finish_notes,aroma_tags,extracted_profile_vector,recommended_action,production_ready
W001126,bruichladdich octomore 10 (second edition),https://www.whiskynotes.be/search/bruichladdich-octomore-10-(second-edition)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001126_139.html,,,extracted,95,,,,,,,manual_review,false
W001146,bruichladdich octomore 10 (fourth edition),https://www.whiskynotes.be/search/bruichladdich-octomore-10-(fourth-edition)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001146_140.html,,,extracted,95,,,,,,,manual_review,false
W001545,j.p. wiser's alumni series paul coffey 7yo,https://www.whiskynotes.be/search/j.p.-wiser's-alumni-series-paul-coffey-7yo-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001545_141.html,,,extracted,95,,,,,,,manual_review,false
W001703,yellowstone limited edition (all vintages),https://www.whiskynotes.be/search/yellowstone-limited-edition-(all-vintages)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001703_143.html,,,extracted,90,,,,,,,manual_review,false
W001730,russell's reserve small batch 10yo bourbon,https://www.whiskynotes.be/search/russell's-reserve-small-batch-10yo-bourbon-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001730_144.html,,,extracted,95,,,,,,,manual_review,false
W001760,ancient age 10yo kentucky straight bourbon,https://www.whiskynotes.be/search/ancient-age-10yo-kentucky-straight-bourbon-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001760_145.html,,,extracted,95,,,,,,,manual_review,false
W001822,heaven hill old syle bourbon (white label),https://www.whiskynotes.be/search/heaven-hill-old-syle-bourbon-(white-label)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001822_146.html,,,extracted,90,,,,,,,manual_review,false
W000128,laphroaig cairdeas 2020 port & wine casks,https://www.whiskynotes.be/search/laphroaig-cairdeas-2020-port-&-wine-casks-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000128_147.html,,,extracted,100,,,,,,,manual_review,false
W000808,mackmyra the swedish whisky (brukswhisky),https://www.whiskynotes.be/search/mackmyra-the-swedish-whisky-(brukswhisky)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000808_148.html,,,extracted,100,,,,,,,manual_review,false
W001393,wild turkey master's keep cornerstone rye,https://www.whiskynotes.be/search/wild-turkey-master's-keep-cornerstone-rye-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001393_149.html,,,extracted,90,,,,,,,manual_review,false
W000064,sheep dip old hebridean 1990 blended malt,https://www.whiskynotes.be/search/sheep-dip-old-hebridean-1990-blended-malt-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000064_150.html,,,extracted,90,,,,,,,manual_review,false
W000795,bruichladdich laddie classic (edition 01),https://www.whiskynotes.be/search/bruichladdich-laddie-classic-(edition-01)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000795_152.html,,,extracted,90,,,,,,,manual_review,false
W000818,ichiro's malt mizunara wood reserve (mwr),https://www.whiskynotes.be/search/ichiro's-malt-mizunara-wood-reserve-(mwr)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000818_153.html,,,extracted,90,,,,,,,manual_review,false
W001096,bruichladdich octomore 10 (third edition),https://www.whiskynotes.be/search/bruichladdich-octomore-10-(third-edition)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001096_154.html,,,extracted,95,,,,,,,manual_review,false
W001378,smooth ambler old scout single barrel rye,https://www.whiskynotes.be/search/smooth-ambler-old-scout-single-barrel-rye-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001378_155.html,,,extracted,90,,,,,,,manual_review,false
W001427,j.p. wiser's alumni series dave keon 14yo,https://www.whiskynotes.be/search/j.p.-wiser's-alumni-series-dave-keon-14yo-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001427_156.html,,,extracted,95,,,,,,,manual_review,false
W001428,lot 40 cask strength third edition (2019),https://www.whiskynotes.be/search/lot-40-cask-strength-third-edition-(2019)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001428_157.html,,,extracted,90,,,,,,,manual_review,false
W001549,crown royal bourbon mash (blender's mash),https://www.whiskynotes.be/search/crown-royal-bourbon-mash-(blender's-mash)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001549_159.html,,,extracted,90,,,,,,,manual_review,false
W000188,high coast (box) dalvve sherry influence,https://www.whiskynotes.be/search/high-coast-(box)-dalvve-sherry-influence-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000188_160.html,,,extracted,90,,,,,,,manual_review,false
