whisky_id,whisky_name,source_url,source_domain,source_type,snapshot_path,http_status,fetch_status,match_score,mismatch_flags,reject_reason
W000696,mackinlay's shackleton rare old highland malt discovery edition,https://www.whiskynotes.be/tasting-notes/mackinlay's-shackleton-rare-old-highland-malt-discovery-edition-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001792,parker’s heritage 12th 2018 finished in orange curaçao barrels,https://www.whiskynotes.be/tasting-notes/parker’s-heritage-12th-2018-finished-in-orange-curaçao-barrels-tasting-notes-review,www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W000028,"laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)","https://www.whiskynotes.be/tasting-notes/laphroaig-27yo-57.4%-1980-2007-(ob,-5-oloroso-casks,-972-bts)-tasting-notes-review",www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W000930,compass box flaming heart 2015 5th edition - 15th anniversary,https://www.whiskynotes.be/tasting-notes/compass-box-flaming-heart-2015-5th-edition---15th-anniversary-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000948,compass box flaming heart 2010 3rd edition - 10th anniversary,https://www.whiskynotes.be/tasting-notes/compass-box-flaming-heart-2010-3rd-edition---10th-anniversary-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000750,mackinlay's shackleton rare old highland malt journey edition,https://www.whiskynotes.be/tasting-notes/mackinlay's-shackleton-rare-old-highland-malt-journey-edition-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000294,"glenfarclas 1968-2000 54.2% (ob, old stock reserve, ceramic)","https://www.whiskynotes.be/tasting-notes/glenfarclas-1968-2000-54.2%-(ob,-old-stock-reserve,-ceramic)-tasting-notes-review",www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W000853,shelter point classic single cask (kwm) single malt whisky,https://www.whiskynotes.be/tasting-notes/shelter-point-classic-single-cask-(kwm)-single-malt-whisky-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000026,"macallan 10yo full proof 57% 1980 (ob, giovinetti & figli)","https://www.whiskynotes.be/tasting-notes/macallan-10yo-full-proof-57%-1980-(ob,-giovinetti-&-figli)-tasting-notes-review",www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W001453,pike creek 21yo double barrel speyside cask finish (2017),https://www.whiskynotes.be/tasting-notes/pike-creek-21yo-double-barrel-speyside-cask-finish-(2017)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
