smws_code,whisky_id,name
3.217,41299eec-9a5b-53bc-8c94-52ed6139f017,SMWS 3.217 - SMWS 3.217
3.219,59774bf2-8a22-52ba-ba4c-45a2321293ea,SMWS 3.219 - SMWS 3.219
3.221,cc764bc3-47c4-5780-90bb-246147cbd070,SMWS 3.221 - SMWS 3.221
3.226,a2e5065b-6368-5eab-8613-06393762ff3e,SMWS 3.226 - SMWS 3.226
3.227,7ecbfeb2-478b-5b11-b6d7-23e768d070a7,SMWS 3.227 - SMWS 3.227
3.229,81eda28f-9ccc-5421-a409-d523aa3a6e2a,SMWS 3.229 - SMWS 3.229
3.234,b5f68bce-5f42-59c4-873b-2fbfa0192d68,SMWS 3.234 - SMWS 3.234
3.235,6173d1c2-a8f7-5a2e-9aef-a6a9dddc8ee0,SMWS 3.235 - SMWS 3.235
3.238,7e2dd5b9-7997-55e0-ba95-2561e478d29d,SMWS 3.238 - SMWS 3.238
3.241,35cca668-e02e-5e6f-9e57-0609cc73d833,SMWS 3.241 - SMWS 3.241
3.254,5e380fac-f8d0-5272-9055-951bb15ca470,SMWS 3.254 - SMWS 3.254
3.266,dcc896ed-ac13-58d9-b6e5-7a762692414e,SMWS 3.266 - SMWS 3.266
3.270,f8de9132-49dc-5638-acae-f78c8e6986e2,SMWS 3.270 - SMWS 3.270
3.274,02c1442c-b077-50ba-80f2-17d811a6d0d2,SMWS 3.274 - SMWS 3.274
3.87,5d3f8399-d8ce-5f0a-b597-db701aefb0f6,SMWS 3.87 - Old Boat Varnish and Very Smoky
3.97,0b9d77e4-659a-59ee-a1a0-c30bc035b351,SMWS 3.97 - No Water Required
3.98,ba40e478-5e37-5261-aa3b-e60ef1448470,SMWS 3.98 - An Islay Sweetie
4.103,48b76d49-3cea-56bb-a5ea-02af7c181389,SMWS 4.103 - Summer in the Isles
4.107,6037a55b-ec66-55f7-9e17-b482a403e7e0,SMWS 4.107 - Toffee and the Phantom Beefsteak
4.114,88035bdd-884f-5488-93f8-c1ffb817364f,SMWS 4.114 - Coastal Delight
4.118,e1fa9e80-a79b-5cf2-bc3f-ae380696f7b4,"SMWS 4.118 - Smoke, Peat and Orange Marmalade"
