whisky_id,field,current_value,proposed_value,confidence,source,status,classification
5124995e-02aa-5c3a-b755-b47e641297ec,abv,,56.4,0.95,smws,pending,NO_CHANGE
5124995e-02aa-5c3a-b755-b47e641297ec,region,,Speyside,0.95,smws,pending,NO_CHANGE
39151d65-4237-575e-8aa0-06832ae53e48,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
39151d65-4237-575e-8aa0-06832ae53e48,age,,21.0,0.95,smws,pending,NO_CHANGE
39151d65-4237-575e-8aa0-06832ae53e48,abv,,54.3,0.95,smws,pending,NO_CHANGE
39151d65-4237-575e-8aa0-06832ae53e48,region,,Speyside,0.95,smws,pending,NO_CHANGE
231a6572-2f51-5c75-96ac-b4c3df886881,cask_type,,px;sherry butt,0.95,smws,pending,NO_CHANGE
231a6572-2f51-5c75-96ac-b4c3df886881,age,,15.0,0.95,smws,pending,NO_CHANGE
231a6572-2f51-5c75-96ac-b4c3df886881,abv,,51.5,0.95,smws,pending,NO_CHANGE
231a6572-2f51-5c75-96ac-b4c3df886881,region,,Speyside,0.95,smws,pending,NO_CHANGE
8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,age,,22.0,0.95,smws,pending,NO_CHANGE
8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,abv,,56.0,0.95,smws,pending,NO_CHANGE
8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,region,,Speyside,0.95,smws,pending,NO_CHANGE
b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,cask_type,,first-fill barrel,0.95,smws,pending,NO_CHANGE
b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,age,,15.0,0.95,smws,pending,NO_CHANGE
b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,abv,,55.7,0.95,smws,pending,NO_CHANGE
b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,region,,Speyside,0.95,smws,pending,NO_CHANGE
50b5141a-ebab-501f-aa51-d3fd7932f699,cask_type,,butt;sherry butt,0.95,smws,pending,NO_CHANGE
50b5141a-ebab-501f-aa51-d3fd7932f699,age,,32.0,0.95,smws,pending,NO_CHANGE
50b5141a-ebab-501f-aa51-d3fd7932f699,abv,,62.3,0.95,smws,pending,NO_CHANGE
8e6430a0-ce42-54ed-b68f-b238ec0acc3a,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
8e6430a0-ce42-54ed-b68f-b238ec0acc3a,age,,16.0,0.95,smws,pending,NO_CHANGE
8e6430a0-ce42-54ed-b68f-b238ec0acc3a,abv,,57.5,0.95,smws,pending,NO_CHANGE
8e6430a0-ce42-54ed-b68f-b238ec0acc3a,region,,Highland,0.95,smws,pending,CONFLICT
bb7e1cc2-b1ea-5007-9911-c82410d737ca,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
bb7e1cc2-b1ea-5007-9911-c82410d737ca,age,,29.0,0.95,smws,pending,NO_CHANGE
bb7e1cc2-b1ea-5007-9911-c82410d737ca,abv,,57.9,0.95,smws,pending,NO_CHANGE
bb7e1cc2-b1ea-5007-9911-c82410d737ca,region,,Highlands,0.95,smws,pending,CONFLICT
de6f75e8-74ba-501c-beda-3658a4df39ea,age,,21.0,0.95,smws,pending,NO_CHANGE
de6f75e8-74ba-501c-beda-3658a4df39ea,abv,,56.1,0.95,smws,pending,NO_CHANGE
de6f75e8-74ba-501c-beda-3658a4df39ea,region,,Highlands,0.95,smws,pending,CONFLICT
a72e11d5-2bf8-5544-8feb-803806369af3,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
a72e11d5-2bf8-5544-8feb-803806369af3,age,,16.0,0.95,smws,pending,NO_CHANGE
a72e11d5-2bf8-5544-8feb-803806369af3,abv,,57.1,0.95,smws,pending,NO_CHANGE
a72e11d5-2bf8-5544-8feb-803806369af3,region,,Speyside,0.95,smws,pending,NO_CHANGE
e3685494-3da0-554f-96ae-d859a7867d34,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
e3685494-3da0-554f-96ae-d859a7867d34,age,,21.0,0.95,smws,pending,NO_CHANGE
e3685494-3da0-554f-96ae-d859a7867d34,abv,,57.7,0.95,smws,pending,NO_CHANGE
e3685494-3da0-554f-96ae-d859a7867d34,region,,Speyside,0.95,smws,pending,NO_CHANGE
21703ad8-1e23-5467-974e-b8180dc584a7,cask_type,,butt;sherry butt,0.95,smws,pending,NO_CHANGE
21703ad8-1e23-5467-974e-b8180dc584a7,age,,15.0,0.95,smws,pending,NO_CHANGE
21703ad8-1e23-5467-974e-b8180dc584a7,abv,,59.9,0.95,smws,pending,NO_CHANGE
21703ad8-1e23-5467-974e-b8180dc584a7,region,,Speyside,0.95,smws,pending,NO_CHANGE
77ea2155-81e6-59cf-ac1f-416982c76bb1,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
77ea2155-81e6-59cf-ac1f-416982c76bb1,age,,19.0,0.95,smws,pending,NO_CHANGE
77ea2155-81e6-59cf-ac1f-416982c76bb1,abv,,55.2,0.95,smws,pending,NO_CHANGE
77ea2155-81e6-59cf-ac1f-416982c76bb1,region,,Speyside,0.95,smws,pending,NO_CHANGE
5cf27220-5326-5dff-b41d-9c2b7ffa3eb9,cask_type,,refill,0.95,smws,pending,NO_CHANGE
5cf27220-5326-5dff-b41d-9c2b7ffa3eb9,age,,9.0,0.95,smws,pending,NO_CHANGE
5cf27220-5326-5dff-b41d-9c2b7ffa3eb9,abv,,61.4,0.95,smws,pending,NO_CHANGE
5cf27220-5326-5dff-b41d-9c2b7ffa3eb9,region,,Speyside,0.95,smws,pending,NO_CHANGE
92be4feb-5678-5d29-8431-86b7d5e6c48c,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
92be4feb-5678-5d29-8431-86b7d5e6c48c,age,,21.0,0.95,smws,pending,NO_CHANGE
92be4feb-5678-5d29-8431-86b7d5e6c48c,abv,,51.7,0.95,smws,pending,NO_CHANGE
92be4feb-5678-5d29-8431-86b7d5e6c48c,region,,Speyside,0.95,smws,pending,NO_CHANGE
32cefab1-c233-5955-a544-77674ac72a58,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
32cefab1-c233-5955-a544-77674ac72a58,age,,20.0,0.95,smws,pending,NO_CHANGE
32cefab1-c233-5955-a544-77674ac72a58,abv,,47.1,0.95,smws,pending,NO_CHANGE
32cefab1-c233-5955-a544-77674ac72a58,region,,Speyside,0.95,smws,pending,NO_CHANGE
e7692ba0-16bd-5531-a234-17879d59c490,cask_type,,refill,0.95,smws,pending,NO_CHANGE
e7692ba0-16bd-5531-a234-17879d59c490,age,,10.0,0.95,smws,pending,NO_CHANGE
e7692ba0-16bd-5531-a234-17879d59c490,abv,,60.2,0.95,smws,pending,NO_CHANGE
e7692ba0-16bd-5531-a234-17879d59c490,region,,Speyside,0.95,smws,pending,NO_CHANGE
427842ee-b573-5f93-87cb-6006930e7489,cask_type,,refill,0.95,smws,pending,NO_CHANGE
427842ee-b573-5f93-87cb-6006930e7489,age,,12.0,0.95,smws,pending,NO_CHANGE
427842ee-b573-5f93-87cb-6006930e7489,abv,,61.1,0.95,smws,pending,NO_CHANGE
427842ee-b573-5f93-87cb-6006930e7489,region,,Speyside,0.95,smws,pending,NO_CHANGE
a2fe662e-d0f5-55af-89fb-f8cb8864d268,cask_type,,refill,0.95,smws,pending,NO_CHANGE
a2fe662e-d0f5-55af-89fb-f8cb8864d268,age,,13.0,0.95,smws,pending,NO_CHANGE
a2fe662e-d0f5-55af-89fb-f8cb8864d268,abv,,60.3,0.95,smws,pending,NO_CHANGE
a2fe662e-d0f5-55af-89fb-f8cb8864d268,region,,Speyside,0.95,smws,pending,NO_CHANGE
32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,cask_type,,refill,0.95,smws,pending,NO_CHANGE
32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,age,,9.0,0.95,smws,pending,NO_CHANGE
32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,abv,,60.4,0.95,smws,pending,NO_CHANGE
32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,region,,Speyside,0.95,smws,pending,NO_CHANGE
fe365565-a937-51a4-9791-b42204bc9e83,cask_type,,refill,0.95,smws,pending,NO_CHANGE
fe365565-a937-51a4-9791-b42204bc9e83,age,,11.0,0.95,smws,pending,NO_CHANGE
fe365565-a937-51a4-9791-b42204bc9e83,abv,,58.6,0.95,smws,pending,NO_CHANGE
fe365565-a937-51a4-9791-b42204bc9e83,region,,Speyside,0.95,smws,pending,NO_CHANGE
39e4c233-0ec9-5d42-9fbe-bf734cee666d,age,,15.0,0.95,smws,pending,NO_CHANGE
39e4c233-0ec9-5d42-9fbe-bf734cee666d,abv,,61.7,0.95,smws,pending,NO_CHANGE
39e4c233-0ec9-5d42-9fbe-bf734cee666d,region,,Islay,0.95,smws,pending,CONFLICT
