staging_id,smws_code,staging_name,matched_whisky_id,matched_name,score,classification,age,abv
39,3.106,Parma Violets and Parma Ham,39e4c233-0ec9-5d42-9fbe-bf734cee666d,Bowmore SMWS 3.106 - Parma Violets and Parma Ham,0.9444,EXACT,15.0,61.7
40,3.113,Funfair by the Harbour,14a51d45-7e0e-5f3a-8356-d179a6c46ff4,Bowmore SMWS 003.113 - Funfair by the Harbour,0.9431,EXACT,12.0,57.3
41,3.117,Branston Pickle and Eucalyptus leaves,7df43210-70eb-5556-8f54-096fa1ae296f,Bowmore SMWS 3.117 - Branston Pickle and Eucalyptus leaves,0.9456,EXACT,5.0,56.2
42,3.137,A private membership club,a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,Bowmore SMWS 3.137 - An Old Rocker with a Pipe,0.9328,EXACT,10.0,55.6
43,3.140,A private membership club,90925ce2-f26c-59de-adb7-e323c2c1a5f7,"Bowmore SMWS 3.140 - Intrigue, Love and Danger",0.9345,EXACT,10.0,56.4
44,3.153,"Islay, Lochindaal",afb23bc7-b657-52da-8f88-85bad84dcd45,Bowmore SMWS 3.153 - SMWS 3.153,0.9317,EXACT,21.0,50.8
45,3.154,"Islay, Lochindaal",a2056777-c982-5377-ad51-7a60dfb52d20,Bowmore SMWS 3.154 - SMWS 3.154,0.9317,EXACT,9.0,58.0
46,3.161,"Islay, Lochindaal",2d17e8d5-fac6-5d15-83c0-ae17f92e402f,Bowmore SMWS 3.161 - SMWS 3.161,0.9317,EXACT,11.0,58.4
47,3.169,"Islay, Loch Indaal",49cb6612-1208-5a5f-b429-17b5c8af8d5c,Bowmore SMWS 3.169 - SMWS 3.169,0.9324,EXACT,16.0,56.6
48,3.173,Islay,bb387b06-8ae8-5b78-adad-082101031288,Bowmore SMWS 3.173 - Nigella's gammon in Coke,0.9324,EXACT,9.0,59.1
49,3.178,"Islay, Loch Indaal",cab6a49d-1102-5a3c-a3d5-42504490debd,Bowmore SMWS 3.178 - SMWS 3.178,0.9324,EXACT,23.0,48.4
50,3.180,"Islay, Loch Indaal",40519583-3c03-51c4-8259-a16b15634056,Bowmore SMWS 3.180 - SMWS 3.180,0.9324,EXACT,15.0,61.2
51,3.181,"Islay, Loch Indaal",a73fc26d-3117-5d0a-9e49-a8d7de9941d9,Bowmore SMWS 3.181 - SMWS 3.181,0.9324,EXACT,15.0,60.5
52,3.182,"Islay, Loch Indaal",a1b32118-e956-521b-8a60-d5dc187b5f49,Bowmore SMWS 3.182 - SMWS 3.182,0.9324,EXACT,21.0,46.4
53,3.184,Islay,417aac1b-cbd2-5e52-8330-ca1f31547bcd,Bowmore SMWS 3.184 - SMWS 3.184,0.9311,EXACT,15.0,61.0
54,3.186,Islay,9eed4bf3-025b-52d6-94aa-6a07e8433212,Bowmore SMWS 3.186 - SMWS 3.186,0.9311,EXACT,16.0,57.9
