whisky_id,column,previous_value,new_value
1fba5a7a-64ea-5518-bc5d-f16029813fdb,region,,NULL
463e6420-c042-5467-8a93-9d86c0640425,region,,NULL
e9b197c5-6031-5f77-b1d8-2600e939e8c9,region,,NULL
4c685257-4bde-5774-9f50-5f092bf11000,region,,NULL
1d39566b-4dfb-5b09-b1de-58725679f648,region,,NULL
2ee98027-889e-5d6f-bf3f-8963e0093546,region,,NULL
9d360b99-ea16-5ce8-b2bc-23afa6f5fae2,region,,NULL
9cff7a12-1565-5738-bc82-65b68a36d95a,region,,NULL
72edfaa3-ffdc-5814-ab91-5470d61a38aa,region,,NULL
460c18d5-bf31-5734-b56d-298b407cc7da,region,,NULL
def19358-bdfa-5209-a6bb-86299e561d10,region,,NULL
881baad2-7b08-54a4-ac2f-67d0c35f93af,region,,NULL
fd9965cc-f6be-5065-aa7e-710399f0afee,region,,NULL
01d92b9a-a1a6-5f29-a10b-0011a4f51117,region,,NULL
b94ec1af-e421-5f11-ab3f-0d6bdc9cfa42,region,,NULL
a08082c5-da56-5cab-a819-f1a45681b223,region,,NULL
5ddf0fa2-a15e-5f5f-9a51-c4ccc3fb0189,region,,NULL
4f2810a6-5206-5ea0-9716-c798a2e3c8e1,region,,NULL
e563f1b7-fd8f-5d03-85f3-c20503b1620b,region,,NULL
15f954f0-63dc-5aa5-8ce9-be3fef6414c1,region,,NULL
9173fc7c-8e53-59c7-a590-536def6d65e4,region,,NULL
b2b3bff7-b440-5b6e-8145-471607705f2a,region,,NULL
d4d7a90f-c5cb-5da2-ae40-aa0f08e18b99,region,,NULL
6bcc301b-669c-5589-b739-ac990f112bff,region,,NULL
6443f5b5-8abd-511b-98c8-fa381b6f3bbc,region,,NULL
76f7ef6f-0e2b-5c38-8345-f52674017939,region,,NULL
0da48c20-08fd-5ba8-9a80-2a0d64b06a64,region,,NULL
997f0a5e-b3f5-58e0-ac91-7cb6108a8e0f,region,,NULL
603361f9-a081-5e15-86ae-29a3863bbf57,region,,NULL
f8d9a3db-10da-5584-9764-dc3aa0f2d074,region,,NULL
bac17ee6-ba73-5d9b-a9ba-b259420ef1e7,region,,NULL
085b02c9-ff1e-5311-9b20-b12c22a6eaae,region,,NULL
9d19f57d-5f19-527e-a2ca-b04899fc0746,region,,NULL
84988f3e-cf4b-5393-a126-a0ec96601f21,region,,NULL
489bcdd6-48d3-52f4-b288-234c1d30a9dc,region,,NULL
1d6101de-f1a8-5767-9f46-789a3117d799,region,,NULL
d0bf10ba-7a56-5074-b833-08e374cec988,region,,NULL
0b82dcc4-3f08-5be6-952e-d8b2cac072e3,region,,NULL
10e9d25e-fd53-5de8-8ed4-dc2a3d1251cb,region,,NULL
247ccbeb-08fe-5417-818f-d8091f1c01f1,region,,NULL
6c1c7820-11cc-5e6e-9370-34fe66ab652f,region,,NULL
b48c2946-4487-5460-9bf9-67eeba662ea4,region,,NULL
5f1f39e3-d220-5d4e-81d3-5f211f45b43c,region,,NULL
cd376a51-6ca5-5f5a-9e66-10b97d79c4f4,region,,NULL
271312f3-d211-5822-a9f1-eb952a70c92b,region,,NULL
e31a77ba-fd9e-5527-8b32-bfb221e39fdc,region,,NULL
1ebbdb55-ef1e-5cb4-a3e1-212a505d50e3,region,,NULL
3e811c2f-4fe1-5cd1-8474-2eeac5fdd9fa,region,,NULL
63c13200-4827-547d-9592-5a9864db6374,region,,NULL
52bef5e6-a5a3-5e3d-b5b9-94d7768fbd42,region,,NULL
62ae6332-c805-5bbb-b9da-caadffc0febf,region,,NULL
bfb56a35-b717-5916-8048-294f0e5587f9,region,,NULL
833d99e1-858a-5b8c-b999-517e04bb7707,region,,NULL
095ed3f1-39f5-5ffa-8aee-268daa1be826,region,,NULL
dc70b562-1159-5c0a-a834-ff0ed313a132,region,,NULL
6bfcd3a9-d5a1-58bd-b708-1f03078d66c1,region,,NULL
4b3de087-6462-5231-a3d5-5f36575d60c2,region,,NULL
51d1180f-309b-56fe-bbd3-ca544e93784f,region,,NULL
cf69d863-e2c8-5e0e-b3fc-5ca1f66a8096,region,,NULL
b36dfe72-758b-5bb2-bd87-b4067faa5f52,region,,NULL
00bf2de7-aa9f-56c5-9bad-251e9ef209d7,region,,NULL
5f0a3cd8-1703-581f-bc4f-9c935c333d8a,region,,NULL
e9e53564-8947-5707-a819-fc8330a7aa9f,region,,NULL
6deb1e12-ebe1-517a-beef-f215484a59db,region,,NULL
438c8685-481e-5fb3-ab5d-4e6a851e9d24,region,,NULL
c689f2f3-bf99-50a5-ad12-b79b75e11892,region,,NULL
0b2cffd1-564c-580d-8d74-de138672f942,region,,NULL
9bc67431-e858-5c7c-a670-7983c28f14cf,region,,NULL
a003e793-e244-55be-849d-627ccd0f169b,region,,NULL
4f5137ff-db9b-50ed-aed2-5239a7953289,region,,NULL
4b1a4191-b437-5d80-a066-38889af413f5,region,,NULL
e53e858b-a8f7-5b7e-9fc6-ab1c8bcca7f4,region,,NULL
cbe45610-b791-5769-84ed-a61a1df71386,region,,NULL
b5d3c297-c493-5c8f-b5a2-e31d15217c0f,region,,NULL
af2ffb32-dd5f-5160-953c-301c3f0a5209,region,,NULL
3b535169-85ca-50a3-bb5e-f3a25d9fbccd,region,,NULL
a773ee7d-2049-5dd9-9256-e753b986b2d3,region,,NULL
fe277e32-849a-5740-86b6-ed4f1765468b,region,,NULL
b6f3a48f-b6ce-5d8c-9ed0-9152e8ed1267,region,,NULL
d88b74f9-9f43-5023-ad59-8453fcd1315a,region,,NULL
271d5220-383f-5b8d-b377-8b5e132554b2,region,,NULL
3b362ac6-c8e3-58a9-9480-ea3bbc64d0cb,region,,NULL
953626cf-c3a9-5f27-a38a-58431d073257,region,,NULL
38037202-7260-5e4c-8573-08b674fa414a,region,,NULL
74b6cb19-6227-5f01-9758-5cb4aa860e5a,region,,NULL
eb520084-b461-5b08-bbb3-15cb5284f20a,region,,NULL
f940e7e2-2b86-5539-965c-48e17d84caab,region,,NULL
937885e0-2c59-5768-ad9b-68d237d8bb44,region,,NULL
fee204ef-9f9c-58a7-8869-1abdbe190ae6,region,,NULL
656c8b8b-2759-5206-a849-4b19b482e1d8,region,,NULL
7c36c5d6-0365-5fc3-b2f8-ecafd7ada20b,region,,NULL
2d1a7d56-7403-5197-b847-040b51e6008e,region,,NULL
1c55b5b8-72e3-5ddc-b78f-5ed4194a22c9,region,,NULL
0bd4089d-4462-582a-a315-cecbf1360c79,region,,NULL
4abe48d8-a74f-5fe1-973c-9dcfb08f7cf0,region,,NULL
c8d18f9b-c6ec-562e-9451-64d67765f277,region,,NULL
674d5c67-6c9c-55cd-91af-ac7ca89bef94,region,,NULL
c237a668-ac1d-5592-ae23-24d77e4e1a32,region,,NULL
1764dc8a-2501-5e70-9d2e-349c78c6a71c,region,,NULL
ffbc3db7-ef35-505e-a429-f264a2460d63,region,,NULL
535e571f-dd40-5900-a939-275b6c7bfa14,region,,NULL
7d5208d8-e8f2-5f60-9796-8be168cd91df,region,,NULL
19980adc-80d9-5365-a150-68add5e0b3bf,region,,NULL
824f65ab-ef02-57bd-a02a-e26b772d8033,region,,NULL
4b371400-8da6-5055-a3bb-e5572178e52d,region,,NULL
a2792400-9949-53f6-93ab-fb758e061c18,region,,NULL
4c2abb3a-be19-578e-b874-e0a8005eaf77,region,,NULL
415cab1e-628e-541c-9c9d-a891f95a255b,region,,NULL
75c93994-2597-5823-bd00-c5bf988fa2e7,region,,NULL
19a86362-6101-543d-b38a-321fe261e4f6,region,,NULL
1d9be9ee-5bf0-5823-a027-35adea6e3b31,region,,NULL
60044aa8-38fd-5ea6-8655-30420036780c,region,,NULL
04210a8e-2fb9-59b0-989f-075a38a4f5b6,region,,NULL
a10c3a1a-3ffc-5942-bed1-168f65b4f633,region,,NULL
631f719e-2726-5b69-b272-ca88b906f604,region,,NULL
1b3b0b6f-62fe-5bde-a822-73bcc7f2d478,region,,NULL
031087b9-d026-59a9-ae43-6a52d8eb36ad,region,,NULL
71c09f39-7f4f-52b5-9ca3-fa9ce9f320e5,region,,NULL
3e599b3c-56e3-55e7-878b-9d3ad09344ee,region,,NULL
44db02f0-d229-5eb3-ad25-2357b7019d6e,region,,NULL
a3c6004b-a4ba-5168-88c3-cdb7c8e3c34d,region,,NULL
5bddfb74-aa85-59b9-8787-898e36316ef3,region,,NULL
1a201662-1db2-5a83-b106-cf45e7b24e53,region,,NULL
84732bb1-b1d2-5f89-8803-5833614ecd84,region,,NULL
52e35574-90b6-5871-bfba-34ee0da64572,region,,NULL
cf60ff5e-1643-54ed-aeff-cf4cf3976182,region,,NULL
fa6c1dee-a4d6-5a4d-9d30-4fd05495ac2e,region,,NULL
42ec3bc6-eb54-58b0-addb-16bbfbc88dfb,region,,NULL
50b0a8ef-c78a-5168-98e6-797f284bc67d,region,,NULL
5ce7f1cc-e838-5a71-9eaa-ec48050a18b5,region,,NULL
d717c486-c25f-5650-a7ba-18d77b72e432,region,,NULL
605a88b7-4697-510d-af18-bca7f8f17167,region,,NULL
3e9da869-4dd8-5129-bbb2-bc20342f123a,region,,NULL
f833e69f-06db-56de-896c-7b9ddbf14793,region,,NULL
ed89fd8d-d3b6-52aa-9385-843d6c704e96,region,,NULL
1343ac71-7bb8-53bf-9c1b-e34c20e471d1,region,,NULL
14962f3b-e8ee-549a-9d06-0444aef95d93,region,,NULL
f1249309-f99b-52fe-b723-b8c9ac4b3bc3,region,,NULL
9cdbb726-bf09-5860-868c-98e1a5123ff0,region,,NULL
fce85ca8-cb7f-5afa-9124-b4439b9c6dd8,region,,NULL
65cdbe24-c4a7-5c16-b450-64417c0568f9,region,,NULL
aca26396-0494-5af0-ac2b-ca204cd640ad,region,,NULL
353b3d23-49a4-5684-a562-91cba32e6018,region,,NULL
c834e6cf-201e-5c78-b010-be478b018e5c,region,,NULL
86a1f3f7-e7a6-5c87-9819-61e00054cbd2,region,,NULL
7f0912de-77f0-5325-a171-243b27dfce41,region,,NULL
