smws_code,product_name,distillery,bottler,matched_whisky_id,matched_name,confidence,match_type,reason,resolver_version,resolver_stage
2.75,"Highlands, Speyside (Livet)",The Glenlivet,,a72e11d5-2bf8-5544-8feb-803806369af3,Glenlivet SMWS 2.75 - SMWS 2.75,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.77,"Highlands, Speyside (Livet)",The Glenlivet,,e3685494-3da0-554f-96ae-d859a7867d34,Glenlivet SMWS 2.77 - SMWS 2.77,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.81,"Highlands, Speyside (Livet)",The Glenlivet,,21703ad8-1e23-5467-974e-b8180dc584a7,Glenlivet SMWS 2.81 - SMWS 2.81,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.83,"Speyside, Spey",The Glenlivet,,77ea2155-81e6-59cf-ac1f-416982c76bb1,Glenlivet SMWS 2.83 - SMWS 2.83,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.85,"Speyside, Spey",The Glenlivet,,5cf27220-5326-5dff-b41d-9c2b7ffa3eb9,Glenlivet SMWS 2.85 - SMWS 2.85,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.87,"Speyside, Spey",The Glenlivet,,92be4feb-5678-5d29-8431-86b7d5e6c48c,Glenlivet SMWS 2.87 - SMWS 2.87,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.88,"Speyside, Spey",The Glenlivet,,32cefab1-c233-5955-a544-77674ac72a58,Glenlivet SMWS 2.88 - SMWS 2.88,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.90,"Speyside, Spey",The Glenlivet,,e7692ba0-16bd-5531-a234-17879d59c490,Glenlivet SMWS 2.90 - SMWS 2.90,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.91,"Speyside, Spey",The Glenlivet,,427842ee-b573-5f93-87cb-6006930e7489,Glenlivet SMWS 2.91 - SMWS 2.91,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.93,SPICY & DRY,The Glenlivet,,a2fe662e-d0f5-55af-89fb-f8cb8864d268,Glenlivet SMWS 2.93 - SMWS 2.93,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.94,SPICY & SWEET,The Glenlivet,,32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,Glenlivet SMWS 2.94 - SMWS 2.94,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
2.95,YOUNG & SPRITELY,The Glenlivet,,fe365565-a937-51a4-9791-b42204bc9e83,Glenlivet SMWS 2.95 - SMWS 2.95,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.106,Parma Violets and Parma Ham,Bowmore,,39e4c233-0ec9-5d42-9fbe-bf734cee666d,Bowmore SMWS 3.106 - Parma Violets and Parma Ham,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.117,Branston Pickle and Eucalyptus leaves,Bowmore,,7df43210-70eb-5556-8f54-096fa1ae296f,Bowmore SMWS 3.117 - Branston Pickle and Eucalyptus leaves,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.137,A private membership club,Lochindaal,,a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,Bowmore SMWS 3.137 - An Old Rocker with a Pipe,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.140,A private membership club,Lochindaal,,90925ce2-f26c-59de-adb7-e323c2c1a5f7,"Bowmore SMWS 3.140 - Intrigue, Love and Danger",0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.153,"Islay, Lochindaal",Lochindaal,,afb23bc7-b657-52da-8f88-85bad84dcd45,Bowmore SMWS 3.153 - SMWS 3.153,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.154,"Islay, Lochindaal",Lochindaal,,a2056777-c982-5377-ad51-7a60dfb52d20,Bowmore SMWS 3.154 - SMWS 3.154,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.161,"Islay, Lochindaal",Lochindaal,,2d17e8d5-fac6-5d15-83c0-ae17f92e402f,Bowmore SMWS 3.161 - SMWS 3.161,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.169,"Islay, Loch Indaal",Loch,,49cb6612-1208-5a5f-b429-17b5c8af8d5c,Bowmore SMWS 3.169 - SMWS 3.169,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.173,Islay,Bowmore,,bb387b06-8ae8-5b78-adad-082101031288,Bowmore SMWS 3.173 - Nigella's gammon in Coke,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.178,"Islay, Loch Indaal",Loch,,cab6a49d-1102-5a3c-a3d5-42504490debd,Bowmore SMWS 3.178 - SMWS 3.178,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.180,"Islay, Loch Indaal",Loch,,40519583-3c03-51c4-8259-a16b15634056,Bowmore SMWS 3.180 - SMWS 3.180,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.181,"Islay, Loch Indaal",Loch,,a73fc26d-3117-5d0a-9e49-a8d7de9941d9,Bowmore SMWS 3.181 - SMWS 3.181,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.182,"Islay, Loch Indaal",Loch,,a1b32118-e956-521b-8a60-d5dc187b5f49,Bowmore SMWS 3.182 - SMWS 3.182,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.184,Islay,Bowmore,,417aac1b-cbd2-5e52-8330-ca1f31547bcd,Bowmore SMWS 3.184 - SMWS 3.184,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.186,Islay,Lochindaal,,9eed4bf3-025b-52d6-94aa-6a07e8433212,Bowmore SMWS 3.186 - SMWS 3.186,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.187,Islay,leaves,,bc24bcd1-1afb-583a-bc37-0e841c7dfcd9,Bowmore SMWS 3.187 - SMWS 3.187,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.188,Islay,Bowmore,,7d63ad9e-bce9-5249-8352-29a3cce2ac7e,Bowmore SMWS 3.188 - SMWS 3.188,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.189,Islay,Bowmore,,9fddc56d-264c-5c5e-87df-c0c9f37e941a,Bowmore SMWS 3.189 - SMWS 3.189,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.201,Islay,Bowmore,,a1e1e40f-fd49-5cda-b8da-6055bc6696da,Bowmore SMWS 3.201 - SMWS 3.201,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.205,Islay,Bowmore,,9371a2f2-e061-5c4d-9a68-9c62625d1520,Bowmore SMWS 3.205 - SMWS 3.205,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.206,Islay,Bowmore,,dec91460-c3a1-54b8-9375-20972a55f20d,Bowmore SMWS 3.206 - SMWS 3.206,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.210,Islay,Bowmore,,82168ee9-dd26-564a-a37d-71802cfb9a50,Bowmore SMWS 3.210 - SMWS 3.210,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.215,Islay,Bowmore,,bddb9ac9-35a3-5f53-9c5c-dcf1f3081c69,Bowmore SMWS 3.215 - SMWS 3.215,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.217,Islay,Bowmore,,41299eec-9a5b-53bc-8c94-52ed6139f017,Bowmore SMWS 3.217 - SMWS 3.217,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.219,Islay,Lochindaal,,59774bf2-8a22-52ba-ba4c-45a2321293ea,Bowmore SMWS 3.219 - SMWS 3.219,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.221,Islay,Bowmore,,cc764bc3-47c4-5780-90bb-246147cbd070,Bowmore SMWS 3.221 - SMWS 3.221,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.226,Islay,Bowmore,,a2e5065b-6368-5eab-8613-06393762ff3e,Bowmore SMWS 3.226 - SMWS 3.226,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.227,Islay,Bowmore,,7ecbfeb2-478b-5b11-b6d7-23e768d070a7,Bowmore SMWS 3.227 - SMWS 3.227,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.229,OLD & DIGNIFIED,Bowmore,,81eda28f-9ccc-5421-a409-d523aa3a6e2a,Bowmore SMWS 3.229 - SMWS 3.229,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.234,P E AT E D,Bowmore,,b5f68bce-5f42-59c4-873b-2fbfa0192d68,Bowmore SMWS 3.234 - SMWS 3.234,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.235,L I G H T LY P E AT E D,Bowmore,,6173d1c2-a8f7-5a2e-9aef-a6a9dddc8ee0,Bowmore SMWS 3.235 - SMWS 3.235,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.238,O I LY & C OA S TA L,Bowmore,,7e2dd5b9-7997-55e0-ba95-2561e478d29d,Bowmore SMWS 3.238 - SMWS 3.238,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.241,P E AT E D,Bowmore,,35cca668-e02e-5e6f-9e57-0609cc73d833,Bowmore SMWS 3.241 - SMWS 3.241,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.254,O I LY & C OA S TA L,Bowmore,,5e380fac-f8d0-5272-9055-951bb15ca470,Bowmore SMWS 3.254 - SMWS 3.254,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.266,PEATED,Bowmore,,dcc896ed-ac13-58d9-b6e5-7a762692414e,Bowmore SMWS 3.266 - SMWS 3.266,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
