whisky_id,field,column,current_value,proposed_value,action,field_class,confidence,citation_id,source,dedupe_key,conflict
04ce1849-cefd-5799-af77-53ae5eeac1aa,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_0b98c8e38a70f9a7bbb926cfd65a4a5527047b5f4709e729e9991b1130429662,smws,32431c30c18262cac64a2777e8422b043f3291d8d8f8f3342c4f606779357bf4,fill_null
04ce1849-cefd-5799-af77-53ae5eeac1aa,region,region,,Highland,APPLY,REPLACE,0.95,CIT_0b98c8e38a70f9a7bbb926cfd65a4a5527047b5f4709e729e9991b1130429662,smws,3e135c5ef89c69732f014781a9f9a392044595f63e71c15a6cda421460bea32c,fill_null
0632580d-de61-55e7-8409-0b5599cd561e,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_88e88cef632e570c37f2f11f0f7de8bb51c6a9e4562145becd7d6f37cdd38c77,smws,ae59f66cb248d9366b63469e3a054a2a5798c8a44a0dae2c1f7536be1990e980,fill_null
0632580d-de61-55e7-8409-0b5599cd561e,region,region,,Highland,APPLY,REPLACE,0.95,CIT_88e88cef632e570c37f2f11f0f7de8bb51c6a9e4562145becd7d6f37cdd38c77,smws,65368100a52252f2f80cb698edf718ccd054f8f3a6e035f399056522a9f01e20,fill_null
06e74a41-dbab-563f-92f0-95dffc984aa9,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_7c862056a6a30c67ad8ce3646ed111702e8fb583b62c13e0ff197eef148c8123,smws,a654ed151d316a0dc0664b15725d972ce049f31c805e9315661015ebd012906c,fill_null
07367bd2-7af5-5b27-8dc7-6a6cd9bc2fce,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_81c36df342675867d3ec8a5e27521e6ede810332ec24db43d3ce4b843c7d1bb0,smws,927628fb55e91e5bc7571e6b09574df428bcd078926bbafe9ef5ea187e3b9cc9,fill_null
07367bd2-7af5-5b27-8dc7-6a6cd9bc2fce,region,region,,Highland,APPLY,REPLACE,0.95,CIT_81c36df342675867d3ec8a5e27521e6ede810332ec24db43d3ce4b843c7d1bb0,smws,1f46401b315fad34ccc752ed3fd0f6dec10b177ef9b33bdfb079637781195365,fill_null
07a43842-2f5e-5c40-b700-a8f51b7e2c17,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_e336a442bb6e6d70f918d52f71b372f4965a27702ed1fca9e342c61520df8be7,smws,0b1051324bd64e6d698e7919299c899022adcf0bfda2b1d641f886914646e8b7,fill_null
07a43842-2f5e-5c40-b700-a8f51b7e2c17,region,region,,Highland,APPLY,REPLACE,0.95,CIT_e336a442bb6e6d70f918d52f71b372f4965a27702ed1fca9e342c61520df8be7,smws,6c806c9074c8dfc788c43a5d3a45c32dee5dea865b161f7df01c7b7f11c51f51,fill_null
07b1c861-282c-5720-9def-4ac51caf9781,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_123b396c23430c1756fd099767970801343cda23a900f7e39f4a7e5cb7ea26a7,smws,9c766ca9acd79ac2f3399078a2d9457de22b29845a9ba4d0d89088b6f02609f1,fill_null
07b1c861-282c-5720-9def-4ac51caf9781,region,region,,Islay,APPLY,REPLACE,0.95,CIT_123b396c23430c1756fd099767970801343cda23a900f7e39f4a7e5cb7ea26a7,smws,8ac1cf15e0a9dfa461194d57b077aa8a9b96df7aa5db0c004d99382ecd664823,fill_null
085b02c9-ff1e-5311-9b20-b12c22a6eaae,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_2587317250bc0a74c944ed9dd87821e96b2bc7f4ecac81eb69a6e9e07f1eacca,smws,7f8c468b622fac250a7b796706bb1f733c791edd615e8929b96cc72d76caeabf,fill_null
085b02c9-ff1e-5311-9b20-b12c22a6eaae,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_2587317250bc0a74c944ed9dd87821e96b2bc7f4ecac81eb69a6e9e07f1eacca,smws,9b5ac235b488d6aeebe2f515b1c1ce1bf0719c6851b52f30b24fa0f4618a848f,fill_null
086f622f-b23c-508d-b448-8218aec33aea,region,region,"Highlands
          District","Highlands
          District",APPLY,REPLACE,0.95,CIT_f2356e85f8e7f026961f566a35ed7764175eb36ca0630d554483acc324132e64,smws,4830c50137ee08d38e0a91b4686f4c7d59e7e4eed5fb25ef878ad65e965aec07,skipped_existing_stronger
08888c37-9fc1-590c-9147-6c4cec08d9fa,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_441136b03470cd466d76ec4406a1a205d1269ea1875ff9214d7492cd5a824a01,smws,14a376a1273b59b918b7d9d7eae0100b04ec3db2df148266acc0df8e2c382353,fill_null
094b5ceb-44ee-5701-b034-c068606564f8,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_54cfdbc89726f56b75deda5d808bad2847e00f7e8729ac4246f9640aee0d671b,smws,1b03f9c8d61921b2fb7c634d6eaa9d27d76e464fa84bc21cfbbaeeb4a2c47ed0,fill_null
094b5ceb-44ee-5701-b034-c068606564f8,region,region,,Highland,APPLY,REPLACE,0.95,CIT_54cfdbc89726f56b75deda5d808bad2847e00f7e8729ac4246f9640aee0d671b,smws,c781ed72b8fb9fbb8d6d67532569fc2627eeceb53e73f21729241af3c4678e87,fill_null
095ed3f1-39f5-5ffa-8aee-268daa1be826,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_8f1d65859cdc44966490e264aa545b9f7d25b2ffd42c0ba146b8ccb090d421ca,smws,09b4083af5a267e8423588ed22650f0a4c4350482d2c0b204c4ae27b45d6b958,fill_null
0995b0b0-eefd-5387-92cf-f2375ccb7322,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_347c28b56464a03cb451cf4c8155a04041a79eb997c520fc609c28d0e132ccf2,smws,6c193e3bf8567e027c65f721a32b4d575e6eccc866b8d728b4d7803547e0eeb3,fill_null
0995b0b0-eefd-5387-92cf-f2375ccb7322,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_347c28b56464a03cb451cf4c8155a04041a79eb997c520fc609c28d0e132ccf2,smws,2e00f26a630b5eee9343a57a54b3705028eab857e18e804ce6b2639566d0742f,fill_null
09f3e5e3-5c92-526c-b8e1-4b0fc4b7f27d,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_cc45ccf7cde3468a8625f274037e3f26d70144244344fded52eafde431c96402,smws,bcb131aebd776ccc33809b6f8c243ae155d26db02c15e80adef539d1d53f1be7,fill_null
09f3e5e3-5c92-526c-b8e1-4b0fc4b7f27d,region,region,Highland District,Highland District,APPLY,REPLACE,0.95,CIT_cc45ccf7cde3468a8625f274037e3f26d70144244344fded52eafde431c96402,smws,5a1ba9a734d8435b040fe2df33cbad8e6713472fd727fbaa94c3e31ed9065bf2,skipped_existing_stronger
0a22e0a5-c1ea-5b81-b5ae-88bd79521596,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_ac8a6ca2ef03db9ea333aa81ed3c22ffbb708b5251c31dd94821b40dfc7cefde,smws,dd9b793cd380bea79081ba3ef9d42516cc4a012dd1a13b527c35ba26d30215a7,fill_null
0a22e0a5-c1ea-5b81-b5ae-88bd79521596,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_ac8a6ca2ef03db9ea333aa81ed3c22ffbb708b5251c31dd94821b40dfc7cefde,smws,bd7de827feae5e3331059745bd8b838f707a0135c36a2663bc03b0901d30bb42,fill_null
0a887b33-5aa5-5b35-8926-ef5eaeb9adb7,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_da2f63385ff1db3ebd9422053a866c52a1a15dbb5ded02bddc9e13be5a928908,smws,d948d81c9e5810d5c47e63453c5556b55601daf26a8f228e9d9341d8629c7ecc,fill_null
0a887b33-5aa5-5b35-8926-ef5eaeb9adb7,region,region,,Highland,APPLY,REPLACE,0.95,CIT_da2f63385ff1db3ebd9422053a866c52a1a15dbb5ded02bddc9e13be5a928908,smws,9c569fd94f47c8ab58938acd91564caa6c0cb683a8cff418f7512c5c54aef0bf,fill_null
0b82dcc4-3f08-5be6-952e-d8b2cac072e3,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_d2ce668af83d38dea7f0425d08bc86ba82b93ed00ce4feb2db939c9c250e3cf1,smws,bdc62895305186fbbc6f6ec9e8afb7749807008c71e092cdc0a5df552dea286e,fill_null
0b82dcc4-3f08-5be6-952e-d8b2cac072e3,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_d2ce668af83d38dea7f0425d08bc86ba82b93ed00ce4feb2db939c9c250e3cf1,smws,d3a84ce234e7fda0948733b00164bc26de1e8996a67286f5549b65f538ea0db2,fill_null
0b9d77e4-659a-59ee-a1a0-c30bc035b351,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_aa9df6ad6bbc5c167e556ea05ea5585c5db090949ea587b4dfc11d4aae5882ca,smws,1ab3c760023fdc2efd63cfba76d4258b9831039d2f964cf9f7cb1d76b6ff571c,fill_null
0b9d77e4-659a-59ee-a1a0-c30bc035b351,region,region,Islay District,Islay District,APPLY,REPLACE,0.95,CIT_aa9df6ad6bbc5c167e556ea05ea5585c5db090949ea587b4dfc11d4aae5882ca,smws,72edcaa3b1f776c642dd6d1854744783d9a18389811f5e42ddd8392087365f57,skipped_existing_stronger
0bd4089d-4462-582a-a315-cecbf1360c79,cask_type,cask_type,,butt;sherry butt,APPEND,APPEND,0.95,CIT_f724ab2cfef84a73b4a4c08d1c6164ae0e44ee65aba9333883064bca4407e3a6,smws,43aadd03108bb6a14c114a6a4ba79e300f04c8b0bba50bb903841d5caacbeae3,fill_null
0bd4089d-4462-582a-a315-cecbf1360c79,region,region,,Highland,APPLY,REPLACE,0.95,CIT_f724ab2cfef84a73b4a4c08d1c6164ae0e44ee65aba9333883064bca4407e3a6,smws,81fd5968c09894c09cab09b5f864f7be088bfbab88a403ae1c3c101bd80220b7,fill_null
0bf77a63-8c48-5142-8447-3064ddfc0994,cask_type,cask_type,,first-fill barrel,APPEND,APPEND,0.95,CIT_72ec4ddf6c9b157a4ca5993a16a22d4ed71857eb0eb92933b1cfe21cd5e01f30,smws,8e2d024f05b373a4dadcd687eb9dd19727ba6be751257c79040aca2a6b509983,fill_null
