whisky_id,field,proposed,existing,policy,citation_id
752ca0b5-c422-52fd-951e-a9673675b22d,region,Highlands,Highlands / Speyside,no_overwrite,CIT_41ab84545a27fef7781a405c716269f0cab159257f0dc17c26c89cf14ffaf96e
75457a81-d010-5484-8d64-e54977f7f1d7,region,Highlands,Highlands / District,no_overwrite,CIT_c6f6116cf2e189742724657f9dadb2f5114e2eacb867367dfb118b25047f0e05
777cbd6e-d905-579d-8cd1-64058dccc1f2,region,Islay,Islay / District,no_overwrite,CIT_7af46cac88fc9bdbb7a0aac8a714088827cf69962fa727a5812f5018cfa2c9f5
7df43210-70eb-5556-8f54-096fa1ae296f,region,Islay,Islay District,no_overwrite,CIT_1c9a7e79e1919846e2e4684a93bc6e138e6e310ffff6033ee7ef32cb06ffe5dd
848f0045-74af-53ee-935b-e25e98760ca2,region,Highlands,Highlands / Speyside,no_overwrite,CIT_fba8b414d107b87fa81fb7d82083fe1807cc35571fcb03f30c2d53a975462eaa
85f639a6-a130-538b-b701-68da13fbc28d,region,Highlands,Highlands / District,no_overwrite,CIT_93b30545abff51be90d42457369824c8ec5d9a61de2097a745ebc96fc80bf184
88035bdd-884f-5488-93f8-c1ffb817364f,region,Highlands,Highlands / Island,no_overwrite,CIT_d81ba0d3fde0c28093eb08d4e10d3523806cf54aced02d41535763d571bdefb4
8ad5b983-e855-57fb-8289-a246738d047a,region,Highlands,Highlands / District,no_overwrite,CIT_260da2aa8200fd5901f760e40f9915d1e85b9a27da41578d44c0f141226b2fb9
8e6430a0-ce42-54ed-b68f-b238ec0acc3a,region,Highland,Highland / District,no_overwrite,CIT_3dc0f13e7228eccfdc8df2520cee996ff676277188dcff77c77e0958e5e0ba8b
8f1ebd93-a589-5854-b4c9-d477829f0a8b,region,Campbeltown,Campbeltown / District,no_overwrite,CIT_5427300d233ef973351c8f06d5c71bf04b1362c5c98c0d7dac24b5dd7aa3327f
90925ce2-f26c-59de-adb7-e323c2c1a5f7,region,Islay,Islay / District,no_overwrite,CIT_82844df8f5ebd43545d7fea6b52ce71d7c1288b55e847bb97f8e4a139cd0ea38
9389b180-caad-501a-a44b-06d1f2630566,region,Islay,Islay / District,no_overwrite,CIT_fffb6e1e5b64c6610f361551410dc40552c5512a12555f91f8906b5370318e92
96a86aa7-1497-5f93-9755-74d58a947f27,region,Highlands,"Highlands
         District",no_overwrite,CIT_673a9f0ac0d7ea5dfa34f54f5205084499f74a25b902ab942cee28fd0eeca079
9c699417-4417-54d0-892f-28b1f8cb8b02,region,Lowlands,Lowlands / Western Lowlands,no_overwrite,CIT_93eda577edbf3721e9d4e7647492e45e77255b25c880c880dcbba1dd34d31575
9c7b5716-5970-55c8-bb60-05a13d2312ed,region,Highlands,"Highlands
          District",no_overwrite,CIT_94b05c02894d76449001fe1cf292fd59c20deafd156fc26911cdf66fcb8ebcc8
9e1c7d21-d46e-501f-b4db-cb9c49b927e2,region,Highlands,Highlands District,no_overwrite,CIT_705de95c15ce3afaa07254a07509e9128d1392eb6deda2a88a4f0d52596c8127
9fdd5383-121f-5566-973a-36d04d95a068,region,Highlands,Highlands / Island,no_overwrite,CIT_5f2c36cf49b3fb4f96594c6ed674e0d145314b0545f0828da61d3cc08abd5816
a03064a7-81b2-5658-b4a3-821ce4ffb573,region,Highlands,Highlands / District,no_overwrite,CIT_0d12a1d3c3918b5bd13a48b123c0a56bc1fbca09ec75a203058ece35e225a5a8
a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,region,Islay,Islay / District,no_overwrite,CIT_874288ad1b8c5a35fda1cf572fa738a645daf52d05dffffb7c51c192c2563048
a5551e4a-7c00-5bae-a95a-58e25cd197ff,region,Highlands,Highlands / District,no_overwrite,CIT_0f01681ff2b608ccda6b1d3bb1ffe403ac4776918c959d1052757036163fa871
aaa43573-8c35-57b3-afd2-0c7a26683263,region,Highlands,Highlands / Island,no_overwrite,CIT_d4b5397081ee52e7d465f80da781ea7ac685c494af7dc62dd3d6fc3521158675
b37d3fd8-5f0f-50c9-9636-2be8259c829d,region,Lowlands,Lowlands / District,no_overwrite,CIT_0a02087c528289f13e79cb3c283d2a75aaeeab40f4e995a6f8408c25c67b1428
b4df6f56-6372-505a-a0e0-b7d713924932,region,Highlands,Highlands / Speyside,no_overwrite,CIT_62f51b682f42dcffdc7dbc159aab16c3d0ea254c303a49fa2cce991555b25454
b5e4ba52-de1f-527a-81f7-87f07b3560e9,region,Highlands,Highlands / District,no_overwrite,CIT_06b9ecfaa191f9ae9d20789e421a0a27fe355ea80cb11a74cdc6bef9106c1e5d
ba40e478-5e37-5261-aa3b-e60ef1448470,region,Islay,Islay District,no_overwrite,CIT_fa923a0171f4972bf190ea273a45f1b2674d89ed9bbe335df9dec91dc72fc1d8
bb7e1cc2-b1ea-5007-9911-c82410d737ca,region,Highlands,Highlands / District,no_overwrite,CIT_ebe448d3b1d53aa89cc8ecc20986feb881f1f2651edba0072a27ebcd200e3c77
bfd02fd3-2f68-5494-89f2-8d9f5b3fe69b,region,Highlands,"Highlands
           District",no_overwrite,CIT_4bdabe9494fa3e787568773008b5603847dd972764ae4023f9a92b82903f891b
c3dce1c4-9531-51fe-b1b6-0b2edc1a5e7d,region,Highland,Highland / District,no_overwrite,CIT_cd18113fa77d15f15de4f6801bb52b20f9379805d8ca878ff0eda5943ceeef10
c3facd38-30f5-5a7f-bfe7-71ae09afa327,region,Highlands,Highlands / District,no_overwrite,CIT_825d636c551e655d731d87ef4a7d42023dba1fb173e51db08b5e91de82d2e79d
c8e7c7c0-992b-5b2b-8a20-b75ca0b224ca,region,Lowlands,"Lowlands
            District",no_overwrite,CIT_5a18b776463dae4892517c5909fcfdb4a7a5e101eee171f2888940819419618e
c8ff908b-57c0-53c0-b4eb-e4b937c96110,region,Islay,Islay District,no_overwrite,CIT_35cbe98709be4abb603955ed12f33869753430a0e150a7356dd76d343abeb93c
db0e5646-1718-57e5-adc8-103b3cea1870,region,Lowlands,"Lowlands
            District",no_overwrite,CIT_9c923123488e9dcb03f9de9a8f8eb6b80a598b1aa1964929ce178abb1e21bc49
dbb848a6-7eb6-51d8-af80-023a111fa87b,region,Highlands,Highlands / District,no_overwrite,CIT_f95b94463e39e825be3399fdc614db1482030af3e14f66bb4d5b8a68539202a3
de6f75e8-74ba-501c-beda-3658a4df39ea,region,Highlands,Highlands / District,no_overwrite,CIT_707416e4ccfe13771dc7454647bc8540751bf376a4767ce82d0fcda4168464cb
e00d6a82-80c7-54ef-a39f-2385bd7c897d,region,Islay,Islay / District,no_overwrite,CIT_afa7df3d08686907d16f29ca81a5f558339176540e7e5173514232b01a72bc88
e1fa9e80-a79b-5cf2-bc3f-ae380696f7b4,region,Highlands,Highlands / Island,no_overwrite,CIT_38edf6c37fa9c4b7d1d6af06a611831d593f192818aef279b399e95e38238bb6
eec34799-b7ba-51d9-9d85-1e31d79fb37d,region,Highlands,Highlands / District,no_overwrite,CIT_fbe28e42ae082874419b57016fee08eb9343f0a490ba38ec040315b4db678ccc
f1c7dad4-49a1-591b-8873-a426e5aa6bc1,region,Islay,Islay / South Shore,no_overwrite,CIT_5dcecd39b14c8cb99a35e5cbaf2c95ea571d641a7ed14ccd27ab308828236be0
fb8f7cfa-78ee-54dc-8a41-e4b3ca1a7dfb,region,Highlands,Highlands / District,no_overwrite,CIT_340b44c741ec10b571eabb609b4f3aaf79077002d843faa74641671da9a93100
fd7b2a97-d5e8-56f6-b03f-a68591ff085c,region,Lowland,Lowland / District,no_overwrite,CIT_5056a335128f90955f059bfa01f8c01128cc8361a19f69fe1f118e18b485a8fa
