raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,matched_whisky_id,matched_master_name,match_status
Bowmore,18yo,18.0,,False,43,12,False,,3,The_Malt_List.pdf,historical_bar_menu,medium,Bowmore,Bowmore 12Y,14,No close match found,,,,,,W001407,lot 40,REJECTED
Bowmore Surf,,,,False,40,6,False,Braes of Glenlivet (CS) 10yo 61.7% 12.,3,The_Malt_List.pdf,historical_bar_menu,medium,Bowmore Surf,Bowmore Gold Reef,14,No close match found,,,,,,W001407,lot 40,REJECTED
Brora,1982,,1982.0,False,43,10,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Brora,Broger,14,No close match found,,,,,,W001407,lot 40,REJECTED
Bruichladdich,10yo,10.0,,False,46,6,False,Progressive Hebridean Distillers is their moto and they are one of the most exciting and creative distillers at the moment. This 10yr is light and slightly peaty.’ MK,4,The_Malt_List.pdf,historical_bar_menu,medium,Bruichladdich,Bruichladdich Rocks,14,Fuzzy match threshold,,,WDB-00346,,,W001407,lot 40,REJECTED
Bruichladdich Rocks,,,,False,46,6,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Bruichladdich Rocks,Bruichladdich Rocks,14,ABV mismatch or missing,,,WDB-00346,,,W001407,lot 40,REJECTED
Bruichladdich Octomore 06.1,,,,False,no statement 57,11,False,Bruichladdich Scottish Barely no statement 50% 9. Bunnahabhain 12yo 40% 7. Bushmills (Irish) 10yo 40% Cambus (grain) 31yo 53.2% 8. Caol Ila 10yo/1999 43% 9. Caol Ila 12yo 43% 7. ‘Lighter than some other Islay malts. Spicy with vanilla hints.’ MK,4,The_Malt_List.pdf,historical_bar_menu,medium,Bruichladdich Octomore 06.1,Bruichladdich Octomore 10.2,14,ABV mismatch or missing,,,WDB-01129,,,W001407,lot 40,REJECTED
Caol Ila,1998,,1998.0,False,43,8,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Caol Ila,Caol Ila 35yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Cameron Brig (grain),,,,False,40,6,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Cameron Brig (grain),Ivy Mountain,14,No close match found,,,,,,W001407,lot 40,REJECTED
Caperdonich,1994,,1994.0,False,46,8,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Caperdonich,Lobangernich,14,No close match found,,,,,,W001407,lot 40,REJECTED
Cardhu,12yo,12.0,,False,40,12,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Cardhu,Cardhu 12yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Cardhu,12yo,12.0,,False,46,17,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Cardhu,Cardhu 12yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Clynliesh,14yo,14.0,,False,46,7,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Clynliesh,Clynelish 14yo,14,No close match found,,,,True,Clynelish,W001407,lot 40,REJECTED
