raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,matched_whisky_id,matched_master_name,match_status
Penderyn (Welsh),no statement,,,True,46,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Penderyn (Welsh),Penderyn,14,No close match found,,,,,,W001407,lot 40,REJECTED
Pittyvaich,12yo,12.0,,False,43,8,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,14,No close match found,,,,,,W001407,lot 40,REJECTED
Pittyvaich,1993,,1993.0,False,43,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,14,No close match found,,,,,,W001407,lot 40,REJECTED
Pittyvaich,1985,,1985.0,False,57.3,10,True,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,14,No close match found,,,,,,W001407,lot 40,REJECTED
Poit Dhubh,21yo,21.0,,False,43,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Poit Dhubh,Ballast Point,14,No close match found,,,,,,W001407,lot 40,REJECTED
Pride of Orkney,12yo,12.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pride of Orkney,Bowmore Springtide,14,No close match found,,,,,,W001407,lot 40,REJECTED
Pride of Strathspey,12yo,12.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pride of Strathspey,The Splinter Group Spirits,14,No close match found,,,,,,W001407,lot 40,REJECTED
Royal Brackla,1994/6yo,6.0,1994.0,False,43,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Royal Brackla,Royal Brackla 21yo,14,Fuzzy match threshold,21.0,,WDB-00170,,,W001407,lot 40,REJECTED
Royal Brackla,18yo,18.0,,False,43,12,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Royal Brackla,Royal Brackla 21yo,14,Fuzzy match threshold,21.0,,WDB-00170,,,W001407,lot 40,REJECTED
Royal Lochnagar,12yo,12.0,,False,40,6,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Royal Lochnagar,Royal Lochnagar 12yo,14,Fuzzy match threshold,12.0,,WDB-00399,,,W001407,lot 40,REJECTED
Rosebank,1990/20yo,20.0,1990.0,False,43,20,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Rosebank,Willowbank,14,No close match found,,,,,,W001407,lot 40,REJECTED
St Magdalene,1979/19yo,19.0,1979.0,False,63.8,39,False,"A now silient distillery in Linlithgow that ceased production in 1983.An excellent malt, picking up a stack of 90+ scores from the Malt Maniacs.’MK",12,The_Malt_List.pdf,historical_bar_menu,medium,St Magdalene,Canadian Mist,14,No close match found,,,,,,W001407,lot 40,REJECTED
Scapa (Orkney),16yo,16.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Scapa (Orkney),Scapa 16yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Scapa,1993/15yo,15.0,1993.0,False,57.1,9,True,,12,The_Malt_List.pdf,historical_bar_menu,medium,Scapa,Scapa 16yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Sheep Dip,8yo,8.0,,False,40,9,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Sheep Dip,Sheep Dip Blended Malt,14,No close match found,,,,,,W001407,lot 40,REJECTED
Singleton,10yo,10.0,,False,40,20,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Singleton,StilltheOne,14,No close match found,,,,,,W001407,lot 40,REJECTED
Singleton,12yo,12.0,,False,40,6,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Singleton,StilltheOne,14,No close match found,,,,,,W001407,lot 40,REJECTED
Smokehead,no statement,,,True,43,7,False,Springbank (Campbeltown) 10yo 46% 6. ‘A delicious malt from Campbeltown and one of my firm favourites. The 10 is rich and dry with just a little smoke on the palate.’ MK,12,The_Malt_List.pdf,historical_bar_menu,medium,Smokehead,Iron Smoke,14,No close match found,,,,,,W001407,lot 40,REJECTED
Springbank,15yo,15.0,,False,46,7,False,,13,The_Malt_List.pdf,historical_bar_menu,medium,Springbank,Springbank CV,14,Fuzzy match threshold,,,WDB-01075,,,W001407,lot 40,REJECTED
Springbank,18yo,18.0,,False,46,9,False,Springbank Bourbon Cask (CS) 12yo 58.5% 14. Strathmill 1988/11yo 50% 11. Strathisla 12yo 43% 6. Stronachie 12yo 43% 6. Talisker (Skye) 10yo 45.8% Tamdhu 10yo 40% Tamnavulin 1990 45% 7. Teaninich 10yo 43% 7. Tobermory 10yo 40% 6. Tomatin 10yo 40% Tomatin 15yo 40% 6. Tomatin 1988 43% 6. Tomintoul 12yo 49% 7. Tomintoul Glenlivet (CS) 1985/12yo 64.4% 12. Tormore 15yo 46% 7. Tullibardine 10yo 40% 7. Tyrconnel (Irish) 40% 8. Westmhor (W. Isle) 10yo 40% 9. Yamazaki (Japan) 10yo 40% 6.,13,The_Malt_List.pdf,historical_bar_menu,medium,Springbank,Springbank CV,14,Fuzzy match threshold,,,WDB-01075,,,W001407,lot 40,REJECTED
