uuid_whisky_id,matched_w_id,match_type,confidence_score,match_basis,distillery_id,age,abv
21e7ffc0-6813-5c8d-9a31-26a99ca23a6f,W002532,weak,0.6,distillery_id(only),D1389,14.0,55.4
84b74073-31ee-54c4-b58b-e9f22465b4d4,W002544,weak,0.519,distillery_id+name_fuzzy_weak(0.55),D1389,23.0,50.8
8b2716e3-6ed0-5b48-afea-d0ee6fa048f2,W002544,weak,0.6,distillery_id(only),D1389,39.0,53.6
472e681d-0af6-5ad3-929f-d79c11568bca,W002532,weak,0.6,distillery_id(only),D1389,10.0,62.4
ba40280d-19ba-5fe7-8ae3-6e1217663f97,W002544,weak,0.519,distillery_id+name_fuzzy_weak(0.55),D1389,11.0,62.5
0efb9d47-4282-5b6a-8374-e789c8ae4d42,W002544,weak,0.6,distillery_id(only),D1389,11.0,56.2
9eca5f20-2b16-5025-a428-e2356ac314f2,W002544,weak,0.6,distillery_id(only),D1389,24.0,49.2
6fd88222-84a9-5958-bf60-a435f494fcbe,W002544,weak,0.6,distillery_id(only),D1389,27.0,52.1
4c1b4293-20a1-5b7e-80b9-793710b943e4,W002544,weak,0.6,distillery_id(only),D1389,28.0,53.3
9c7c1f33-a610-53b4-84d1-33c5fb044c6d,W002544,weak,0.6,distillery_id(only),D1389,19.0,56.0
617006f0-15e0-5533-a4b7-52f707e4df93,W002544,weak,0.6,distillery_id(only),D1389,19.0,55.2
4bd25146-6032-5610-ba88-a6fc83328ab6,W002544,weak,0.6,distillery_id(only),D1389,16.0,55.4
7d176195-2e36-57c4-bf37-368dc856fd75,W002544,weak,0.6,distillery_id(only),D1389,11.0,57.3
39a79eb9-3da4-5893-9a52-2603df1beffa,W002544,weak,0.6,distillery_id(only),D1389,27.0,47.2
5124995e-02aa-5c3a-b755-b47e641297ec,W002544,weak,0.6,distillery_id(only),D1389,11.0,56.4
0c1c50d2-8756-5ec9-97c3-3d6e66c10e88,W002532,weak,0.6,distillery_id(only),D1389,30.0,54.4
39151d65-4237-575e-8aa0-06832ae53e48,W002544,weak,0.6,distillery_id(only),D1389,21.0,54.3
231a6572-2f51-5c75-96ac-b4c3df886881,W002544,weak,0.6,distillery_id(only),D1389,15.0,51.5
8a5c5cbb-2d79-53d3-b1c9-7c562230cdbc,W002544,weak,0.6,distillery_id(only),D1389,22.0,56.0
b7a89fb6-3e1c-5301-b434-dc5f5eea56ce,W002544,weak,0.6,distillery_id(only),D1389,15.0,55.7
50b5141a-ebab-501f-aa51-d3fd7932f699,W002532,weak,0.6,distillery_id(only),D1389,32.0,62.3
c35a8d48-2bef-58bb-9c3a-0a152fcbf202,W001999,weak,0.6,distillery_id(only),D1008,13.0,59.7
684f5819-fb65-5776-9aaa-df0beb494341,W001999,weak,0.6,distillery_id(only),D1008,16.0,59.1
8e6430a0-ce42-54ed-b68f-b238ec0acc3a,W001999,weak,0.6,distillery_id(only),D1008,16.0,57.5
bb7e1cc2-b1ea-5007-9911-c82410d737ca,W001999,weak,0.6,distillery_id(only),D1008,29.0,57.9
de6f75e8-74ba-501c-beda-3658a4df39ea,W001999,weak,0.6,distillery_id(only),D1008,21.0,56.1
a72e11d5-2bf8-5544-8feb-803806369af3,W001999,weak,0.6,distillery_id(only),D1008,16.0,57.1
e3685494-3da0-554f-96ae-d859a7867d34,W001999,weak,0.6,distillery_id(only),D1008,21.0,57.7
21703ad8-1e23-5467-974e-b8180dc584a7,W001999,weak,0.6,distillery_id(only),D1008,15.0,59.9
77ea2155-81e6-59cf-ac1f-416982c76bb1,W001999,weak,0.6,distillery_id(only),D1008,19.0,55.2
5cf27220-5326-5dff-b41d-9c2b7ffa3eb9,W001999,weak,0.6,distillery_id(only),D1008,9.0,61.4
92be4feb-5678-5d29-8431-86b7d5e6c48c,W001999,weak,0.6,distillery_id(only),D1008,21.0,51.7
32cefab1-c233-5955-a544-77674ac72a58,W001999,weak,0.6,distillery_id(only),D1008,20.0,47.1
e7692ba0-16bd-5531-a234-17879d59c490,W001999,weak,0.6,distillery_id(only),D1008,10.0,60.2
427842ee-b573-5f93-87cb-6006930e7489,W001999,weak,0.6,distillery_id(only),D1008,12.0,61.1
a2fe662e-d0f5-55af-89fb-f8cb8864d268,W001999,weak,0.6,distillery_id(only),D1008,13.0,60.3
32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,W001999,weak,0.6,distillery_id(only),D1008,9.0,60.4
fe365565-a937-51a4-9791-b42204bc9e83,W001999,weak,0.6,distillery_id(only),D1008,11.0,58.6
39e4c233-0ec9-5d42-9fbe-bf734cee666d,W000015,weak,0.6,distillery_id(only),D0012,15.0,61.7
14a51d45-7e0e-5f3a-8356-d179a6c46ff4,W000015,weak,0.6,distillery_id(only),D0012,12.0,57.3
7df43210-70eb-5556-8f54-096fa1ae296f,W000015,weak,0.6,distillery_id(only),D0012,5.0,56.2
a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,W000015,weak,0.6,distillery_id(only),D0012,10.0,55.6
90925ce2-f26c-59de-adb7-e323c2c1a5f7,W000015,weak,0.6,distillery_id(only),D0012,10.0,56.4
