whisky_id,whisky_name,distillery_name,category,region,country,age_statement,source_name,source_url,raw_tasting_notes,raw_flavor_tags,fruity_score,sweet_score,smoky_score,spicy_score,woody_score,confidence,match_method,review_status,quality_flags
W000930,compass box flaming heart 2015 5th edition - 15th anniversary,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000930.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W000932,compass box flaming heart 2018 6th edition,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000932.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W000936,nikka yoichi 15yo,Yoichi,Malt,Unknown,Unknown,15yo,original_production_data,https://www.whisky.com/whisky-database/details/W000936.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",6.0,15.0,0.0,4.0,1.0,medium,fuzzy_token,manual_review,ok
W000939,compass box flaming heart (all editions),Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000939.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W000946,talisker 25yo,Talisker,Malt,Islands,Unknown,25yo,original_production_data,https://www.whisky.com/whisky-database/details/W000946.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,8.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W000948,compass box flaming heart 2010 3rd edition - 10th anniversary,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000948.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W000957,compass box flaming heart 2012 4th edition,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000957.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W000958,kavalan distillery reserve peaty cask,Kavalan,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000958.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,7.0,0.0,5.0,4.0,medium,fuzzy_token,manual_review,ok
W000961,compass box the lost blend,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000961.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W000962,high coast (box) hav,Box,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector|entity_normalization_review
W000963,bowmore vault edition second release,Bowmore,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000963.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W000964,bruichladdich port charlotte pc12 oileanach furachail,Acha,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W000965,talisker 8yo (special releases),Talisker,Malt,Islands,Unknown,8yo,original_production_data,https://www.whisky.com/whisky-database/details/W000965.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,8.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W000969,talisker 15yo (special release 2019),Talisker,Malt,Islands,Unknown,15yo,original_production_data,https://www.whisky.com/whisky-database/details/W000969.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,8.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W000971,spirit of hven seven stars no. 5 alioth,Hven,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W000973,bowmore mizunara cask finish,Bowmore,Malt,Islay,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000973.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W000976,talisker 10yo,Talisker,Malt,Islands,Unknown,10yo,original_production_data,https://www.whisky.com/whisky-database/details/W000976.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,8.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W000980,hakushu single malt heavily peated,Hakushu,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W000980.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",1.0,4.0,0.0,0.0,4.0,medium,fuzzy_token,manual_review,ok
