source,source_file,source_row,brand_name,type,owner,distillery,country,whisky_count,link,match_status,matched_id,confidence_score,review_status
whiskynet.pl,brands.csv,230,Slane,Distillery brand,Brown-Forman,Slane Distillery,Ireland,0,https://whiskynet.pl/en/brands/slane,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,231,Speciality Drinks Ltd.,Independent bottler,Elixir Distillers,—,—,0,https://whiskynet.pl/en/brands/speciality-drinks-ltd,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,232,Speyburn,Official brand,Inver House Distillers,Speyburn Distillery,Scotland,1,https://whiskynet.pl/en/brands/speyburn,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,233,Springbank,Distillery brand,J&A Mitchell & Company,Springbank,Scotland,4,https://whiskynet.pl/en/brands/springbank,EXACT_MATCH,Springbank,1.0,APPROVED
whiskynet.pl,brands.csv,234,Starlaw,Distillery brand,La Martiniquaise-Bardinet,Starlaw Distillery,Scotland,0,https://whiskynet.pl/en/brands/starlaw,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,235,Stork Club,Official brand,Spreewood Distillers GmbH,Spreewood Distillers,Germany,1,https://whiskynet.pl/en/brands/stork-club,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,236,Strathearn,Official brand,Douglas Laing & Co.,Strathearn Distillery,Scotland,1,https://whiskynet.pl/en/brands/strathearn,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,237,Talisker,Distillery brand,Diageo,Talisker,Scotland,5,https://whiskynet.pl/en/brands/talisker,EXACT_MATCH,Talisker,1.0,APPROVED
whiskynet.pl,brands.csv,238,Tamnavulin,Official brand,Whyte & Mackay,Tamnavulin,Scotland,1,https://whiskynet.pl/en/brands/tamnavulin,EXACT_MATCH,Tamnavulin,1.0,APPROVED
whiskynet.pl,brands.csv,239,Teeling,Official brand,Teeling Whiskey Company,Teeling Distillery,Ireland,1,https://whiskynet.pl/en/brands/teeling,EXACT_MATCH,Teeling,1.0,APPROVED
whiskynet.pl,brands.csv,240,The Deacon,Official brand,Pernod Ricard,—,Scotland,1,https://whiskynet.pl/en/brands/the-deacon,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,241,The Deveron,Official brand,John Dewar & Sons,Macduff,Scotland,2,https://whiskynet.pl/en/brands/the-deveron-brand,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,242,The English,Official brand,The English Whisky Co.,—,England,1,https://whiskynet.pl/en/brands/the-english-brand,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,243,The Quiet Man,Official brand,The Quiet Man Irish Whiskey Co. Ltd.,—,Ireland,0,https://whiskynet.pl/en/brands/the-quiet-man,EXACT_MATCH,The Quiet Man,1.0,APPROVED
whiskynet.pl,brands.csv,244,The Tyrconnell,Official brand,Suntory Global Spirits,Kilbeggan Distillery,Ireland,1,https://whiskynet.pl/en/brands/the-tyrconnell,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,245,Three Ships,Distillery brand,Distell,James Sedgwick Distillery,—,0,https://whiskynet.pl/en/brands/three-ships,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,246,Tipperary Whiskey,Distillery brand,Tipperary Boutique Distillery Ltd.,Tipperary Boutique Distillery,Ireland,0,https://whiskynet.pl/en/brands/tipperary-whiskey,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,247,Tobermory,Official brand,Distell,Tobermory,Scotland,1,https://whiskynet.pl/en/brands/tobermory,EXACT_MATCH,Tobermory,1.0,APPROVED
