whisky_id,field,column,previous_value,new_value,confidence,source,citation_id,applied,reason
0e11e7bd-1ca1-51c2-a5d2-3ebd538c0ae6,region,region,,Speyside,0.95,smws,CIT_19980e34ef32ea8cf45523208d5f71eee2a2acacad17971e4767a55293eda71d,1,null_fill_applied
0eb2c004-ff1c-57fa-985b-03271491f196,region,region,,Speyside,0.95,smws,CIT_055f38cefa37cb314c8558a9c33f27fd1ef316d87a3086f1331205a5a57f254f,1,null_fill_applied
0efb9d47-4282-5b6a-8374-e789c8ae4d42,region,region,,Speyside,0.95,smws,CIT_8566f5a7d5e2e27cedf9c69d2e35263c8b6115d79db62b6ebfbbe54fb7002631,1,null_fill_applied
0f9afeae-b37e-5bc1-af6d-e25c0047c034,region,region,,Campbeltown,0.95,smws,CIT_37798c2eb00df7397acf52909dae9f3ad1d5258bfa94e8fd865405bd677cca68,1,null_fill_applied
0fba713a-af35-524d-94a7-a7516e0aa71b,region,region,,Speyside,0.95,smws,CIT_a08f79b5b2ce3e6f3e196126accf9f39ad618df2c4e7fa910699ac9881b0a2ec,1,null_fill_applied
0fcfaf79-a9e3-50aa-a665-71c43bc9eb8e,region,region,,Islay,0.95,smws,CIT_d751fd0e44e8d15e834481107a3ae4e23c8b452a821c6fd88c0ddf75e7c48c08,1,null_fill_applied
104887c8-abd6-5fae-becf-239ad918692a,region,region,,Highland,0.95,smws,CIT_4427152a0412478956306e3696001760df57621aede97907c7ade86447a477c2,1,null_fill_applied
10a9c185-23ed-5ff8-bc16-fb93438afa02,region,region,,Speyside,0.95,smws,CIT_39c5ff5f00b48d94fbae474a9235beb9a36edac326093b49b37853d039572599,1,null_fill_applied
10b6adca-257b-5eeb-a9d0-747a44a007f6,region,region,,Speyside,0.95,smws,CIT_1f8bf0495cee6216ed1de96c0e537f79eea1ef103811eb783d3f34052f5fdfa5,1,null_fill_applied
10d0f418-ac1c-5558-a884-3a2d5319526b,region,region,,Highland,0.95,smws,CIT_2b8897ab7da1d7393866e3e7545f7648af74461e510f011b87c75f5c1ab5c685,1,null_fill_applied
10e9d25e-fd53-5de8-8ed4-dc2a3d1251cb,region,region,,Speyside,0.95,smws,CIT_5855c137528f1f36822d1b3856b87f18f5156fde612cae5dac374c0a9a3de756,1,null_fill_applied
116dcdfc-c858-5bfd-aa9d-d3a78211ff7a,region,region,,Speyside,0.95,smws,CIT_409cd4b949e22649e72fdc4a70fc1a15763dcdd18a53e22ffc150489dd76e5fd,1,null_fill_applied
119c6a93-c8e2-5a2f-aaa6-4d1ee8c7ec49,region,region,,Islay,0.95,smws,CIT_55167f476db069b39853a9acb23206fc5466995b2149af6cced02da33fe048e2,1,null_fill_applied
1343ac71-7bb8-53bf-9c1b-e34c20e471d1,region,region,,Speyside,0.95,smws,CIT_a85a928facef7cf55601c52dec1c43ef973a66381aa35f208af4f95bfd7d1a8a,1,null_fill_applied
1360d5cd-1c8a-5e10-b2ae-027aa400c34d,region,region,,Speyside,0.95,smws,CIT_8a5da0c4daf96308663af8cd862d5785370fd91288b0733b83390e0ba165d608,1,null_fill_applied
14962f3b-e8ee-549a-9d06-0444aef95d93,region,region,,Speyside,0.95,smws,CIT_a6ce8096901c7a61c8523b7ef8a9feb065664ca6318860e011d2fcae2aed1178,1,null_fill_applied
15f954f0-63dc-5aa5-8ce9-be3fef6414c1,region,region,,Speyside,0.95,smws,CIT_0829ed35ed506c92fc3c3dbbea12f3082df96a69929607a28dc08576bc3d3750,1,null_fill_applied
16695efa-7910-552d-ac74-1b768a2ea41a,region,region,,Speyside,0.95,smws,CIT_1142a0e5c58ee62ad3d3560b6575730ef7ead3376737a62b50c6a6e25870ffb7,1,null_fill_applied
16dfd0a5-5971-561e-84f4-5e2d1cbc3b99,region,region,,Highland,0.95,smws,CIT_a97013a07dee506293ac91b3ab0eeb24d43d7200cabcba3adc71064bec7d3bb2,1,null_fill_applied
188ace10-8a4f-519b-a7ef-a5183e90035d,region,region,,Islay,0.95,smws,CIT_b94055b419aede38bb6508d187665f024942fa4eae8758fe5d0114ea125199a8,1,null_fill_applied
18f2a337-d292-520a-914c-6eaa255f71c9,region,region,,Highland,0.95,smws,CIT_65e5400b8812003bfff32090663392bf9c2efeda801c01eb05635818303954af,1,null_fill_applied
18f7886d-5a8a-55c3-98fc-877e21cecacc,region,region,,Highland,0.95,smws,CIT_4c30e4f5cb7865a31a155dde232f463aa3f69e6268f5b7eefb308fb638560aab,1,null_fill_applied
196991f7-f1d5-5af2-ad7a-029c977645f2,region,region,,Islay,0.95,smws,CIT_8ba7fdc3136afc0394dc5b45ddc22e3325886680cea75f712ee5e459f2b35978,1,null_fill_applied
19980adc-80d9-5365-a150-68add5e0b3bf,region,region,,Highland,0.95,smws,CIT_4f834c270a27633fd9957f37311d7ac8663f1063de98a81f0c18548ba77a018f,1,null_fill_applied
19a52edc-7bd3-5c11-9eb0-41f401d73c85,region,region,,Speyside,0.95,smws,CIT_e446ddcf66d5001154cfd4931da325a02fa5952aef90f0db5d59b599c96cb258,1,null_fill_applied
19a86362-6101-543d-b38a-321fe261e4f6,region,region,,Islay,0.95,smws,CIT_a1f3e02d869ab999936f6dbf86b579f5293db42dc60ff2d0bf12d2bb6f88e5d6,1,null_fill_applied
1a201662-1db2-5a83-b106-cf45e7b24e53,region,region,,Speyside,0.95,smws,CIT_d67908d47f8ddd1a21727db87f5afd5fe4bb8ac8ebeb9ce9baae7eeae4ced724,1,null_fill_applied
1a5da3d1-410a-5c83-96dc-1f37711f743d,region,region,,Speyside,0.95,smws,CIT_ca4ba1fe7dd9fe984fa10f60d5382e287d78f6d6c2db0fa3022533d58aed3871,1,null_fill_applied
1a8d9905-b697-58f1-a50c-51c0d6a294bc,region,region,,Lowland,0.95,smws,CIT_6cd76fe1f068862685e21f4f8ea6036f807228262afb35f56cd0baf5270611f0,1,null_fill_applied
1aedd086-0004-5f82-be3f-ac59e247b290,region,region,,Speyside,0.95,smws,CIT_e2ea097c8711fcd7833cb27161b9d4b5042ca9f18b8c6994195284ed0c7a934a,1,null_fill_applied
1b35eb12-f62a-5203-b665-f6ad2c75f660,region,region,,Highland,0.95,smws,CIT_5a98f4a764d9862462480b70db127fcc2e7b604a11e9bc43b0f83583ab08fb77,1,null_fill_applied
1b3b0b6f-62fe-5bde-a822-73bcc7f2d478,region,region,,Islay,0.95,smws,CIT_948804525d4e23914bc1ac974e33431d9d87c22e012f4a49db29815ec06ffaff,1,null_fill_applied
1b455c7a-cb06-5dd3-b324-39ab0cf63c31,region,region,,Speyside,0.95,smws,CIT_a771eb594221b6d6da9436ab88116e71f25136b52571c9e6fa840e7730fa1785,1,null_fill_applied
1bc43c3b-587f-53f6-a134-44e82d179d20,region,region,,Speyside,0.95,smws,CIT_c16824c42109ae376cf6015183461d89d083333beba6fa21f33d5568902d7302,1,null_fill_applied
1bc81389-4831-5bd2-b761-971e178944b2,region,region,,Speyside,0.95,smws,CIT_dcad02e3806c06450256b14885b16c54004260e6cb9a20dbff552cf5300b3ed9,1,null_fill_applied
1c55b5b8-72e3-5ddc-b78f-5ed4194a22c9,region,region,,Highland,0.95,smws,CIT_8d84b97c641bcd831e06cad85ae0960608f31ffaab33bf4adcb28d3788badd89,1,null_fill_applied
1d6101de-f1a8-5767-9f46-789a3117d799,region,region,,Speyside,0.95,smws,CIT_4c5212fa5cce25f3d7157f92fcbfc96bc5fd01427a70b3b35818562db9323160,1,null_fill_applied
1d9be9ee-5bf0-5823-a027-35adea6e3b31,region,region,,Islay,0.95,smws,CIT_1203c7500ed2172151f6ce85da91054b8f5a754f7ffb35bbc02730a754a5d9dd,1,null_fill_applied
1df09e00-8b48-5308-ba93-f961345c7edc,region,region,,Speyside,0.95,smws,CIT_00c8df68cdf134eb24ba734d7ba228bf2a3fd8629d52790b053c8eb4a4d5fd16,1,null_fill_applied
1e41f13d-f274-594e-ab20-a9cf6666c04c,region,region,,Speyside,0.95,smws,CIT_f9d58503ea26e4c218e669924c736465231f96cc8111615758d916beb9457e17,1,null_fill_applied
1ebbdb55-ef1e-5cb4-a3e1-212a505d50e3,region,region,,Speyside,0.95,smws,CIT_49f925c68b58e52f084c0f07c2995db2394e7a212b0f8457127fd430a79740fe,1,null_fill_applied
1fb8afd9-e89a-5435-8bcf-3ad839088a2b,region,region,,Speyside,0.95,smws,CIT_31d49b58508f0b595465fdcc03b8b228c223dd6595908e05c86ce79095696c55,1,null_fill_applied
1fba5a7a-64ea-5518-bc5d-f16029813fdb,region,region,,Highland,0.95,smws,CIT_7bd1b85ee1b0fb2d044c46d14b391b86f37a303bd5dbe6d241146f7947ae3146,1,null_fill_applied
2011247b-c342-5468-b8f6-b03491eda7f4,region,region,,Islay,0.95,smws,CIT_b7a7c466a2d10575bd76c1d75ad6dc89d5a3bed4f5bc1b4c4f736f86524dcc60,1,null_fill_applied
21703ad8-1e23-5467-974e-b8180dc584a7,region,region,,Speyside,0.95,smws,CIT_406f5c97ca3b0e4ccc47724af35cbe8cb2c4f0b99b9488aaab5e22e2f8e083e0,1,null_fill_applied
219ebc0e-daa5-51ab-8faa-05c8d6c4820f,region,region,,Speyside,0.95,smws,CIT_c184314a33ad680b4bc5130570a6a3b1197e5aa63c2f82d2fe3b2d96ee764979,1,null_fill_applied
21ddd7df-7535-50ef-8230-4845eeac0f53,region,region,,Speyside,0.95,smws,CIT_7811773712efcffca7f9a7f2f45a342d081287688f8289bb57884a7c582386b9,1,null_fill_applied
21eb6e55-420d-5684-a8cf-b5144075079b,region,region,,Speyside,0.95,smws,CIT_708d0fa3880e0f57b1be7c90d649c35b9c8bcb1ba593994cd0128eaf96bdf5c4,1,null_fill_applied
221c78dd-bb71-5195-bd7f-0ed89a61bf3c,region,region,,Speyside,0.95,smws,CIT_42e68a0dd99f69827caa0a93269526f930d5aac9f9cd0a79c50c1b08570f9457,1,null_fill_applied
231a6572-2f51-5c75-96ac-b4c3df886881,region,region,,Speyside,0.95,smws,CIT_df343ed887456015577d0d257e9a30a43050f619cd295de786c5a092da04c324,1,null_fill_applied
247ccbeb-08fe-5417-818f-d8091f1c01f1,region,region,,Speyside,0.95,smws,CIT_8e10cb3e38fa4da91ee42bbaaabbc0fe38afea6586ce33084e3c27102c580cb5,1,null_fill_applied
2552a877-8167-5645-9a2f-be7cf6449316,region,region,,Islay,0.95,smws,CIT_24dd84da14ec80017d8da95b01fefb10867a27918936edb5cbec4d5507441d3d,1,null_fill_applied
2585098f-b06e-5895-89b3-98a27389428b,region,region,,Speyside,0.95,smws,CIT_a4648fb4e7d7a598ddd8fc3fede311f76c0776d4eb86ea4ad007106eb3fb704d,1,null_fill_applied
25b3ee7d-bbc4-5ea8-af11-b89e112783be,region,region,,Islay,0.95,smws,CIT_740e797c5f6769dea093460c6ebaee0b1bba42991f7e4155bb7624572cbdf01e,1,null_fill_applied
2676fa53-9a48-500b-be55-022e0b89f713,region,region,,Campbeltown,0.95,smws,CIT_39cd5dc1c1b1427fcb67a5a1f604fc4d8f8faec001c2551795b6c644171dd2c3,1,null_fill_applied
26a37f2b-0843-5a2e-a8fe-390288687d8e,region,region,,Islay,0.95,smws,CIT_5c55aaf68aa6e83bf4b81815b4fe058d8a840c520aa33cab84a116b66cfbcc88,1,null_fill_applied
271312f3-d211-5822-a9f1-eb952a70c92b,region,region,,Speyside,0.95,smws,CIT_9b32c49efbd9bb09c3572234ae6c9cf323c4266c48ad5e3a44df22aa266e0e9e,1,null_fill_applied
271d5220-383f-5b8d-b377-8b5e132554b2,region,region,,Highland,0.95,smws,CIT_6972b59f6f617bdf41e7be26c75fcdaf173cee49aeec6b65eb7525b3e7fb90bf,1,null_fill_applied
