id,source,file_name,cask_no,distillery,product_name,age,abv,region,cask_type,flavour_profile,tasting_notes_raw,extraction_confidence,review_status
11,SMWS USA,001.173.pdf,1.173,Glenfarclas,"Speyside, Spey",19,55.2,Speyside,Refill Hogshead,,"Speyside, Spey
 A fascinating waltz
 A fascinating nose � cereal sweetness (turned
 malt, toasted granary bread) � and more �
 butterscotch, honey, chocolate fudge, banana
 chips, melon, cherry, orange, walnut, Ma-
 deira and hints of menthol. On the palate �
 warm glowing flavours of buttered toast, jam
 and dates waltzed easily with spiced pear and
 cough sweets on the tongue; the finish � a
 fleeting flick of leather and quinine. The re-
 duced nose turned gentle and pacified but still
 teased us with fresh-baked morning rolls,
 lime cordial and sealing wax. The reduced
 palate � an easy, enjoyable equilibrium between
 sweet barley and dry oak. From a family-
 owned distillery just below Ben Rinnes.",1.0,pending_review
12,SMWS USA,001.176.pdf,1.176,Glenfarclas,"Speyside, Spey",16,55.4,Speyside,Refill Hogshead,,"Speyside, Spey
 Zesty Ginger-Lime Cooler
The initial nose neat has the freshness of
green saplings and cut grass soon followed
by fruity notes of apricots and peaches.
With time deeper aromas of old fashioned
rose water perfume are taking centre stage.
The taste starts off similar to the nose;
green and grassy, slightly cereal (Weetabix)
and then fruity (now apple slices). The me-
dium length finish is refreshing like a
`Zesty Ginger-Lime Cooler'. With water we
are preparing a fruit punch with strawberries,
pineapple, peaches and cherries. The taste
is now clean and fresh like minty grapefruit
sorbet and Jasmine iced tea � a well-balanced
sample from the distillery established in
1836 on the Recherlich Farm at Ballindal-
loch.",1.0,pending_review
13,SMWS USA,001.177.pdf,1.177,Glenfarclas,"Speyside, Spey",11,57.3,Speyside,First-Fill Barrel,,"Speyside, Spey
 Tutti-Frutti ice cream
A fresh and fruity aroma greeted us; pineapple
cubes, star anise, wood sap and freshly cut
grass. Some were reminded of an early
morning tee off on the golf course, others
gave their new cricket bat a light sanding
and a coat of linseed oil in preparation for
the new season. The taste had the initial
woodiness of chewing the end of a pencil soon
followed by juicy flavours of tutti-frutti ice
cream with a gentle citrus tang. With water
much softer; cherry pie, banana on toast and
orange barley water. The taste is now
sweet; marshmallows, fondant fancies and
candyfloss with a spicy kick in the finish of
fresh ginger.",1.0,pending_review
14,SMWS USA,001.179.pdf,1.179,Glenfarclas,"Speyside, Spey",27,47.2,Speyside,Refill Hogshead,,"Speyside, Spey
 The Artists Studio
The panel had a collective memory of an
artists studio with aromas of wooden easels,
paintbrushes, linseed and canvas. Our painter had
arranged white lilies in a pewter jug. While
he contemplated his subject he enjoyed a
slice of toffee sponge cake and a cup of sweetened
espresso. To taste they found figs, dates and fresh
almonds, then chocolate brownie and coffee
cake. Water released runny caramel, golden
syrup and advent calendar chocolate. The
texture was deliciously coating and salivat-
ing and one panel member was reminded
of licking the bowl after baking. A hint of mint
completed the masterpiece.",1.0,pending_review
15,SMWS USA,001.180.pdf,1.180,Glenfarclas,"Speyside, Spey",11,56.4,Speyside,First-Fill Barrel,,"Speyside, Spey
 Bitter-sweet complexity
 The nose presented interesting layers � firstly
 in the undergrowth � wood sap, tree bark,
 laurel, meadowsweet and shrubberies (by the
 Spey?); then IKEA flat-pack wooden furniture;
 next some fruity notes (apricot jam, lemon
 drizzle cake) � and last, intense, deep sweetness
 (toffee, honeycomb, tablet, chocolate caramels,
 sugar-coated almonds). With water, pot-
 pourri and liquorice joined in the fun. The pal-
 ate was bitter-sweet and complex � lemon
 sorbet, blackcurrant and waxy laurel against
 tinned pear, honey, fudge and chocolate � all un-
 der-pinned by a pleasant pepper, chilli and
 nutmeg heat. The reduced palate found per-
 fumed wood, pineapple, fruit loaf, chocolate
 and ginger. Whisky from John and George.
 
 
 Flavour profile: Spicy & sweet",1.0,pending_review
16,SMWS USA,001.185.pdf,1.185,Glenfarclas,"Speyside, Spey",30,54.4,Speyside,Refill Hogshead,,"Speyside, Spey
Opulent and elegant, the nose wove a tex-
tured fabric of sweetness (tablet, butterscotch,
caramel, manuka honey, dark chocolate,
peanut brittle) shot through by threads of gar-
den exotics, tobacco leaf, sandalwood, After
Eights and soft leather. The palate combined
effervescent citric tingles with treacle toffee and
old oak � Cossack-dancing Russian caramels
smoked cigars while Jamaican gingerbread men
limbo-danced on polished floors. The re-
duced nose evoked Botanic Gardens, posh
Kensington cabinet makers, mint and lemon
Turkish Delight and Thai spice. The palate �
sweetly sophisticated with citric �lan � straw-
berry, blackcurrant and lemon Fruit Polos,
ginger snaps and tobacco � a Marypark
marvel worth savouring.
 
 
 Flavour profile: Old & dignified
 A captivating after-dinner dram",1.0,pending_review
17,SMWS USA,001.189.pdf,1.189,Glenfarclas,SPICY & SWEET,21,54.3,Speyside Spey,Refill Hogshead,Spicy & Sweet,"SPICY & SWEET
 H I G H O N T H E H I L L S W I T H A LO N E LY G OAT H E R D...
 Yodelay, woohoo! Maria gathered goodies for a hillside picnic with ripe tropical fruits:
 guava, peach and mango all melded together as rumtopf. She packed crystalline
 ginger, cranberries and vanilla toffee fudge with flasks of Calypso coffee and cherry
 punch. One panelist described the taste `very jammy' with cherry ice cream. Another
 described it as Austrian germkn�del (steamed dumplings) filled with plum or damson
 powidl - either way truly scrumptious! Water teased out cinnamon buns and then
 juicy blackcurrant, licorice and maple syrup. Our bakery flavours became more exotic
 with cassia, anise, incense and hot chocolate sprinkled with paprika. Marvelous Maria!",1.0,pending_review
18,SMWS USA,001.191.pdf,1.191,Glenfarclas,"DEEP, RICH & DRIED FRUITS",15,51.5,Speyside Spey,Px Sherry,Deep,"DEEP, RICH & DRIED FRUITS
 TIGHT AS A BOW-STRING
Tight as a bow-string, rich as truffles, the nose gave lemon, green banana and mango,
linseed oil and sweet pecans, salted caramel, chocolate marshmallows, honey on
leather and hints of tobacco. More complex with water � we found floral notes
emerging, wood shavings, star anise and pi�a coladas on a tropical beach. The neat
palate was primarily sweet (Madeira cake, honey, chocolate orange, cinder toffee,
caramel sponge) but with many pleasant complications, including coconut and
hazelnut, PX sherry, raisins, ginger and a leather tobacco pouch. The reduced palate
kept the floral honey sweetness and the oily nuttiness, while adding a carpenter's
workshop.",1.0,pending_review
19,SMWS USA,001.192.pdf,1.192,Glenfarclas,OLD & DIGNIFIED,22,56.0,Speyside Spey,Refill Hogshead,Old,"OLD & DIGNIFIED
 SYRUP SPONGE IN A LUMBERJACK'S POCKET
 This dram smelled like a barista's apron (coffee, brown sugar, chocolate) with further
 sweetness of honey, cinder toffee, dried dates, apricot jam and syrup-smothered
 pancakes, but always balanced by polished wood and a sawmill wrapped in Fablon.
 Waves of sweetness flooded the mouth � toffee, salted chocolate, honey, boiled sweets
 and lollipops and it had very attractive cigar box woodiness. The reduced nose
 continued the wood and sweetness theme � syrup sponge pudding in a lumberjack's
 pocket, honey nut cornflakes (including the sunshine), butterscotch and maple syrup �
 completely sensual and elegant. The reduced palate was deliciously tasty and
 sophisticated � candy floss and passion-fruit.",1.0,pending_review
20,SMWS USA,001.200.pdf,1.200,Glenfarclas,"SW E E T, F R U I T Y & M E L LOW",15,55.7,Speyside Spey,First-Fill Barrel,,"SW E E T, F R U I T Y & M E L LOW
 ENIGMATIC AND MASCULINE
An interesting nose; floral, pot-pourri and grassy notes balanced fruitiness (pineapple,
blackcurrant, raspberry, foamy bananas). We also discovered a contrapuntal interplay
between sweetness (syrup sponge, white chocolate, vanilla, toffee) and charred oak and
clove. The palate was muscular, powerful and tasty; masculine flavours of balsamic,
aniseed, pepper and various toasted notes (hazelnut, coconut, pizza crust) slightly
overshadowed the Madeira cake and fondant icing sweetness. The reduced nose brought
sugar-coated fennel seeds and bicycle repair shops. The reduced palate was slightly
enigmatic � we found stem ginger, walnut whips, and chocolate digestive biscuits � but
unquestionably moreish � a good cask, and a good dram.",1.0,pending_review
