pattern_matched,filename,full_path,row_count,columns,size_bytes
*71_import_to_staging.py,71_import_to_staging.py,C:\Users\eltun\Documents\antigravity\radiant-bardeen\scripts\71_import_to_staging.py,,,6754
*72_production_import_seeder.py,72_production_import_seeder.py,C:\Users\eltun\Documents\antigravity\radiant-bardeen\scripts\72_production_import_seeder.py,,,9623
*.db,Presets.db,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets.db,,,1724416
*.zip,Ace_Signature_Preset_Pack_1.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Ace_Signature_Preset_Pack_1.zip,,,67136
*.zip,Alex_Skolnick_Signature_Presets.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Alex_Skolnick_Signature_Presets.zip,,,61330
*.zip,AmpliTube_5_10_1.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\AmpliTube_5_10_1.zip,,,3135011473
*.zip,Gus_G_Signature_Presets.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Gus_G_Signature_Presets.zip,,,57278
*.zip,Joe_Satriani_Signature_Presets_2021.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Joe_Satriani_Signature_Presets_2021.zip,,,63283
*.zip,Joe_Satriani_Signature_Presets_2021_B.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Joe_Satriani_Signature_Presets_2021_B.zip,,,61701
*.zip,JS_Soldano_Presets.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\JS_Soldano_Presets.zip,,,22396
*.zip,Marty_Friedman_Signature_Presets.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Marty_Friedman_Signature_Presets.zip,,,64785
*.zip,Red_Special_Forum_Collection.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Red_Special_Forum_Collection.zip,,,55839
*.zip,Slash_Presets.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Slash_Presets.zip,,,55082
*.zip,Vinman_Signature_Presets.zip,C:\Users\eltun\Documents\IK Multimedia\AmpliTube 5\Presets\AmpliTube 5\Vinman_Signature_Presets.zip,,,59584
*.zip,AmpliTube_5_10_2.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\AmpliTube 5\AmpliTube_5_10_2.zip,,,3136490831
*.zip,AmpliTube_5_10_4.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\AmpliTube 5\AmpliTube_5_10_4.zip,,,3141479255
