whisky_id,master_name,malt_list_name,historical_menu_price,currency,pour_size_ml,price_context,source_name,source_file,source_confidence,match_score,risk_level,import_recommendation
W000476,game of thrones house tyrell clynelish reserve,Clynliesh,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000409,cragganmore 12yo (special release 2019),Cragganmore,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000409,cragganmore 12yo (special release 2019),Cragganmore,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000409,cragganmore 12yo (special release 2019),Cragganmore,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000409,cragganmore 12yo (special release 2019),Cragganmore,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000274,dalmore port wood reserve,Dalmore,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000274,dalmore port wood reserve,Dalmore,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000274,dalmore port wood reserve,Dalmore,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000274,dalmore port wood reserve,Dalmore,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000337,dalmore cigar malt,Dalmore Cigar Malt,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000297,dalwhinnie distillers edition,Dalwhinnie,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000242,glencadam 14yo oloroso sherry cask finish,Glencadam,11,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000565,singleton of glendullan 15yo,Glendullan,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000029,glenfarclas 40yo,Glenfarclas,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000029,glenfarclas 40yo,Glenfarclas,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000029,glenfarclas 40yo,Glenfarclas,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000029,glenfarclas 40yo,Glenfarclas,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000013,glenfiddich 15yo solera,Glenfiddich,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000032,highland park 25yo,Highland Park,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000032,highland park 25yo,Highland Park,14,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000032,highland park 25yo,Highland Park,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000032,highland park 25yo,Highland Park,14,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000222,jura brooklyn,Jura,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W001254,johnnie walker 15yo green label,Jonnie Walker,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000087,kilchoman port cask matured,Kilochman,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000863,macallan gold,Macallan Gold,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000007,macallan 12yo double cask,Macallan,15,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000034,tamdhu 30yo (macphail collection 2009),MacPhail,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,10,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,10,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,10,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,10,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
