malt_list_candidate_name,matched_master_whisky_id,historical_menu_price,currency,volume_context,can_be_current_price,price_source,price_context
Glen Deveron,W000669,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Glendullan,W000565,8,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Glen Elgin,W000588,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Glenfarclas,W000029,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Glenfarclas,W000029,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Glenfarclas 105,W000199,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Glenfiddich,W000013,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Glenfiddich rich oak,W000563,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Glenturret,W000877,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Highland Park,W000032,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Highland Park,W000032,14,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Inchgower,W000789,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Jura,W000222,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Jura Superstition,W001074,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Jonnie Walker,W001254,8,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Knockando,W000891,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Kilochman,W000087,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Macallan Amber,W000634,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Macallan Gold,W000863,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Macallan,W000007,15,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
MacPhail,W000034,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Macduff,W000669,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Mannochmore,W000826,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Miltonduff,W000663,8,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Mortlach,W000216,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Mortlach,W000216,10,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Mortlach,W000216,8,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Mortlach,W000216,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Oban,W000229,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Oban distillers ed.,W000229,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Old Pulteney,W000431,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Old Pulteney,W000431,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Royal Brackla,W000170,10,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Royal Brackla,W000170,12,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Royal Lochnagar,W000374,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Scapa,W000617,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Sheep Dip,W000064,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Singleton,W000321,20,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Singleton,W000321,6,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Springbank,W000076,7,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
Springbank,W000076,9,GBP,35ml menu pour,NO (Menu pour pricing cannot be used as full bottle current_price),The_Malt_List.pdf (The Canny Man's),Bar menu by the glass
