whisky_id,field,column,existing_value,is_null,is_empty_string,is_whitespace,proposed_value,reason_skipped
1a8d9905-b697-58f1-a50c-51c0d6a294bc,region,region,,0,1,0,Lowland,skipped_existing_value_nonnull
1aedd086-0004-5f82-be3f-ac59e247b290,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1b35eb12-f62a-5203-b665-f6ad2c75f660,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
1b3b0b6f-62fe-5bde-a822-73bcc7f2d478,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
1b455c7a-cb06-5dd3-b324-39ab0cf63c31,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1bc43c3b-587f-53f6-a134-44e82d179d20,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1bc81389-4831-5bd2-b761-971e178944b2,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1c55b5b8-72e3-5ddc-b78f-5ed4194a22c9,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
1d6101de-f1a8-5767-9f46-789a3117d799,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1d9be9ee-5bf0-5823-a027-35adea6e3b31,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
1df09e00-8b48-5308-ba93-f961345c7edc,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1e41f13d-f274-594e-ab20-a9cf6666c04c,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1ebbdb55-ef1e-5cb4-a3e1-212a505d50e3,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1fb8afd9-e89a-5435-8bcf-3ad839088a2b,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
1fba5a7a-64ea-5518-bc5d-f16029813fdb,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
2011247b-c342-5468-b8f6-b03491eda7f4,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
21703ad8-1e23-5467-974e-b8180dc584a7,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
219ebc0e-daa5-51ab-8faa-05c8d6c4820f,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
21ddd7df-7535-50ef-8230-4845eeac0f53,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
21eb6e55-420d-5684-a8cf-b5144075079b,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
221c78dd-bb71-5195-bd7f-0ed89a61bf3c,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
231a6572-2f51-5c75-96ac-b4c3df886881,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
