book,surface,matched_entity,type,confidence,age,abv,region,cask,bottler,page,status
50 - Whisky Advocate September 2020_pdf -- W,Jeff Harris,,distillery,0.95,,,,,,12,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Terry Sullivan
Running",,distillery,0.95,,,,,,13,MERGE
50 - Whisky Advocate September 2020_pdf -- W,San Francisco,,distillery,0.95,,,,,,16,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Big Smoke Meets,,distillery,0.95,,,,,,16,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Hiram Walker,,distillery,0.95,,,,,,16,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Sons Distillery,,distillery,0.95,,,,,,16,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Jack Daniel,,distillery,0.95,,,,,,16,MERGE
50 - Whisky Advocate September 2020_pdf -- W,New York City,,distillery,0.95,,,,,,18,MERGE
50 - Whisky Advocate September 2020_pdf -- W,December. Visit,,distillery,0.95,,,,,,18,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Phil Goss
Hi",,distillery,0.95,,,,,,18,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Thompson
 Vice President",,distillery,0.95,,,,,,19,MERGE
50 - Whisky Advocate September 2020_pdf -- W,South African,,distillery,0.95,5,,,,,19,MERGE
50 - Whisky Advocate September 2020_pdf -- W,San Luis Obispo,,distillery,0.95,,,,,,19,MERGE
50 - Whisky Advocate September 2020_pdf -- W,South Africa,,distillery,0.95,,,,,,19,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Smooth Ambler Distillery,,distillery,0.95,,,,,,24,MERGE
50 - Whisky Advocate September 2020_pdf -- W,West Virginia,,distillery,0.95,,,,,,24,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Water
Created",,distillery,0.95,,,,,,25,MERGE
50 - Whisky Advocate September 2020_pdf -- W,This Canadian,,distillery,0.95,,,,,,27,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Famous Grouse,,distillery,0.95,,,,bourbon,,27,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Old 
Grand",,distillery,0.95,,,,,,29,MERGE
50 - Whisky Advocate September 2020_pdf -- W,William Larue Weller,,distillery,0.95,,,,,,29,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Star Wars,,distillery,0.95,,,,,,29,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Three Emporium,,distillery,0.95,,,,,,29,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Four Roses,,distillery,0.95,,,,,,29,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Suntory Toki,,whisky,0.95,10,,,,,29,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Irish Coffee,,distillery,0.95,,,,,,29,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Sam Stone
Level",,distillery,0.95,,,,,,29,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Proper 
Droppers
Add",,whisky,0.95,,,,,,32,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Old Timber
Gabe",,distillery,0.95,,,,,,36,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Branca Stir,,distillery,0.95,,,,bourbon,,36,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Michael Neff,,distillery,0.95,,,,,,36,MERGE
50 - Whisky Advocate September 2020_pdf -- W,New Hampshire,,distillery,0.95,,,,,,41,MERGE
50 - Whisky Advocate September 2020_pdf -- W,White Mountains,,distillery,0.95,,,,,,41,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Cleveland Hill Rd,,distillery,0.95,,,,,,41,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Hawk Knob,,distillery,0.95,,,,bourbon,,41,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Tuthilltown Spirits Distillery,,distillery,0.95,,,,,,42,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Hudson Valley,,distillery,0.95,,,,,,42,MERGE
50 - Whisky Advocate September 2020_pdf -- W,New York,,distillery,0.95,,,,,,42,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Hudson Baby,,distillery,0.95,,,,bourbon,,42,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Distillers Name 
Their",,distillery,0.95,,,,,,43,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Brent Elliott,,distillery,0.95,,,,,,43,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Standard Proof Whiskey,,distillery,0.95,,,,,,46,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Midleton Very Rare,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Midleton 
Distillery",,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Barry Crockett,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Ardbeg Distillery,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,New Zealand,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Charity Auctions Provide,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Charity Auction,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Karuizawa Omoiyari,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Elixir Distillers,,brand,0.6,,,,,,48,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Workers Program,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Kentucky Straight,,distillery,0.95,10,,,bourbon,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,This Yamazaki,,distillery,0.95,,,,,,48,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Jim Beam,,distillery,0.95,,,,,,61,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Heaven Hill Distillery,,distillery,0.95,,,,,,61,MERGE
50 - Whisky Advocate September 2020_pdf -- W,At Invergordon,,distillery,0.97,,,,,,63,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Don 
Livermore",,distillery,0.95,,,,,,63,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Macallan  
Distillery",,distillery,0.95,,,,,,63,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Boston Batch,,distillery,0.95,,,,,,68,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Small Batch 
Collection",,distillery,0.95,,,,bourbon,,68,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Jim Beam 
White",,distillery,0.95,,,,bourbon,,68,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Grand Cru,,distillery,0.95,23,,,,,68,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Glenlivet  
Enigma",,distillery,0.95,,,,,,68,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Loch 
Lomond Distillery",,distillery,0.97,,,,,,69,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Pike Creek,,whisky,0.95,,,,,,69,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"As 
Barrel",,distillery,0.97,,,,bourbon,,74,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Wild Turkey,,distillery,0.95,,,,,,75,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Barrell Cask,,distillery,0.95,,89,,bourbon,,75,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Belle Meade 
Cask",,distillery,0.95,,56.8,,,,75,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Knob Creek 
Cask",,distillery,0.95,,59.8,,,,75,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Four Gate Split,,distillery,0.95,,,,bourbon,,75,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Proof Whiskeys,,distillery,0.95,,,,,,75,MERGE
50 - Whisky Advocate September 2020_pdf -- W,The Proof Is,,distillery,0.95,8,,,,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Proof
Given",,distillery,0.95,8,,,,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Tripp 
Stimson",,distillery,0.95,,,,,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Barrell 
Craft Spirits",,distillery,0.95,,,,,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Larceny Barrel,,distillery,0.95,,,,bourbon,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Proof 
Kentucky",,distillery,0.95,,61.6,,bourbon,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Stagg Jr,,whisky,0.95,,,,bourbon,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Barrel 
Proof Kentucky",,distillery,0.95,,,,bourbon,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Elijah Craig Barrel,,distillery,0.95,,,,bourbon,,76,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Big Spender,,distillery,0.95,,,,,,78,MERGE
50 - Whisky Advocate September 2020_pdf -- W,No Irish,,distillery,0.95,,,,,,78,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Irish Whiskey Auctions,,distillery,0.95,,,,,,79,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Brendan Buck,,distillery,0.95,,,,,,79,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Irish Distillers 
Ltd",,distillery,0.95,,,,,,79,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Johnnie Walker Blue,,distillery,0.95,,,,,,82,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Johnnie Blue,,distillery,0.95,,,,,,82,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Johnnie Walker,,distillery,0.95,,,,,,82,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Jim Bev,,distillery,0.95,,,,,,82,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Irish Distillers,,distillery,0.95,,,,,,83,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Glenmorangie Signet,,distillery,0.95,,46,,,,84,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Powers John,,distillery,0.95,12,46,,,,84,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Islay. The,,distillery,0.95,,,islay,,,88,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Small Island,,distillery,0.95,,,islay,,,88,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Hunter Laing,,brand,0.6,,,,,hunter,90,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Black Bowmore,,distillery,0.95,,,,,,91,MERGE
50 - Whisky Advocate September 2020_pdf -- W,David Turner,,distillery,0.95,,,,,hunter,91,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Black Arts,,distillery,0.95,,,,,,93,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Bruichladdich Distillery,,distillery,0.95,,,,,,93,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Lochindaal. Bruichladdich,,distillery,0.95,90,,,port,,93,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Port 
Charlotte Distillery",,distillery,0.95,,,,port,,93,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Johnnie Walker Black,,distillery,0.95,,,islay,,,96,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Caol Ila
Caol",,distillery,0.95,,,,,,96,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Bunnahabhain 
Distillery",,distillery,0.95,,,,,,96,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Kilchoman 
Distillery Co",,distillery,0.95,,,,,,98,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Kilchoman
Anthony Wills",,distillery,0.95,,,,,,98,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Kilchoman. Right,,distillery,0.95,,,,,,98,MERGE
50 - Whisky Advocate September 2020_pdf -- W,The Malt Mill,,distillery,0.95,16,,,,,99,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Lagavulin
Lagavulin Distillery",,distillery,0.95,,,,,,99,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Laphroaig Quarter Cask,,distillery,0.95,28,44.4,,quarter,,103,MERGE
50 - Whisky Advocate September 2020_pdf -- W,John Camp,,distillery,0.95,,,islay,,,103,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Laphroaig
Distillery",,distillery,0.95,,,,,,103,MERGE
50 - Whisky Advocate September 2020_pdf -- W,John Campbell,,distillery,0.95,,,,,,103,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Johnnie Walker Ghost,,distillery,0.95,,43.8,islay,port,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Ellen Distillery,,distillery,0.95,,55.2,,,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Port 
Port Ellen",,distillery,0.95,,,,port,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Port Ellen,,distillery,0.95,,,,port,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Port Ellen Maltings,,distillery,0.95,,,,port,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Islay
Elixir Distillery",,distillery,0.95,,,islay,,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Elixir Distillery,,brand,0.6,,,,port,,106,AMBIGUOUS
50 - Whisky Advocate September 2020_pdf -- W,Speciality Drinks,,brand,0.9,,,,,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Laggan Bay Brewery,,distillery,0.95,,,,,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Islay Boys,,distillery,0.95,,,islay,,,106,MERGE
50 - Whisky Advocate September 2020_pdf -- W,On August,,distillery,0.95,,,,,,107,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Kentucky Derby,,distillery,0.95,,,,,,107,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Most Whisky Available,,distillery,0.95,,,,,,107,MERGE
50 - Whisky Advocate September 2020_pdf -- W,San Diego,,distillery,0.95,,,,,,107,MERGE
50 - Whisky Advocate September 2020_pdf -- W,The Whiskey House,,distillery,0.95,,,,quarter,,107,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Chivas Regal,,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Story
Aberfeldy Distillery",,whisky,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,White Label,,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,In Dewar,,distillery,0.95,18,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Glen Deveron,,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Aultmore.
While",,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Aberfeldy Distillery,,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Cardhu Distillery,,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,White Walker,,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Black Label,,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Jim Beveridge,,distillery,0.95,,,,,,109,MERGE
50 - Whisky Advocate September 2020_pdf -- W,William Grant,,distillery,0.95,,,,,,110,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Ailsa Bay,,distillery,0.95,,,,,,110,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Blair Athol,,distillery,0.95,,,,,,110,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Caol Ila,,distillery,0.95,,,,,,110,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Loch Gorm,,distillery,0.95,,,islay,,,112,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Scotland. Israel,,distillery,0.97,,,,,,112,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Elements 
Sherry Cask",,whisky,0.95,,,,bourbon,,112,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Puni 
Distillery",,distillery,0.95,,,,,,112,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"World Whiskies
Italy",,distillery,0.95,,,,,,112,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Greedy Angels Bourbon,,distillery,0.95,10,,,bourbon,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Chichibu Ichiro,,distillery,0.95,,55.5,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Tipple. Fruit,,distillery,0.95,,,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Golden Delicious,,distillery,0.95,,,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Compass Box Rogues,,distillery,0.95,,46,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Compass Box,,distillery,0.95,,,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"James 
Saxon",,distillery,0.95,,,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Proof Kentucky 
Straight",,distillery,0.95,,56.1,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Mars Iwai,,distillery,0.95,,45,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Collectibles
Whiskies",,distillery,0.95,,,,,,114,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Private 
Collection",,distillery,0.95,,,speyside,,gordon,115,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Canada
David Fleming",,distillery,0.95,15,,,,,115,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Jeffery Lindenmuth,,distillery,0.95,,,,,,115,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Scotland. Blended,,distillery,0.97,,,,,,115,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Scottish Borders,,distillery,0.97,5,,,,,115,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Tomintoul With,,distillery,0.95,,40,,oak,,116,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Ardbeg Blaaack,,distillery,0.95,,46,islay,,,116,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Glenmorangie Grand Vintage,,distillery,0.95,,43,highland,,,116,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Four Gate The,,distillery,0.95,,,,,,117,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Compass Box Peat,,distillery,0.95,,46,,,,117,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Proof Batch,,distillery,0.95,,63.6,,,,117,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Compass Box Great,,distillery,0.95,,43,,,,117,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"King Street 
Glasgow",,distillery,0.95,,43,,,,117,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Chivas Extra,,distillery,0.95,13,46,,,,117,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Tequila Cask,,distillery,0.95,13,40,,,,117,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"King 
Street Artist",,distillery,0.95,,43,,,,117,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Doc Swinson,,distillery,0.95,15,,,,,119,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Marianne Eaves,,distillery,0.95,,09,,,,119,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Larceny Barrel Proof,,distillery,0.95,,50,,,,119,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Bobby 
Jones",,distillery,0.95,,46,,,,120,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Pinhook Bohemian High,,distillery,0.95,,25,,oak,,120,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Daviess County French,,distillery,0.95,,48,,oak,,120,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Oak 
Cask",,distillery,0.95,,48,,oak,,120,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Borough Armagnac Cask,,distillery,0.95,,44,,oak,,120,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Daviess County Cabernet,,distillery,0.95,,48,,,,120,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Chattanooga Straight Rye,,distillery,0.95,,49.5,,,,121,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Old Overholt,,whisky,0.95,,57,,,,121,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Proof Straight,,distillery,0.95,,57,,,,121,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Chicken Cock Kentucky,,distillery,0.95,,45,,,,121,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Cedar Ridge The,,distillery,0.95,,46,,,,122,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Clear Creek Distillery,,distillery,0.95,3,,,,,122,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Balcones Texas Bock,,distillery,0.95,,50,,,,122,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Forty Creek Resolve,,distillery,0.95,,43,,,,122,MERGE
50 - Whisky Advocate September 2020_pdf -- W,The Irishman Vintage,,distillery,0.95,,55.2,,,,122,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Nikka Days,,distillery,0.95,,45,,,,123,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Yoichi Distilleries,,distillery,0.95,,,,,,123,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Mars Iwai Tradition,,distillery,0.95,,40,,wine,,123,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Yamanashi 
Wine Cask",,distillery,0.95,,40,,wine,,123,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Eifel Single Malt,,distillery,0.95,,46,,,,123,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Greedy Angels 
Peated",,distillery,0.95,10,55,,,,124,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Puni Vina,,distillery,0.95,5,43,,,,124,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Detriot 
Lake",,distillery,0.95,,,,,,126,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Reserve. 
That",,distillery,0.95,,,,,,126,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Sam Hall,,distillery,0.95,,,,bourbon,,126,MERGE
50 - Whisky Advocate September 2020_pdf -- W,David Crowe,,distillery,0.95,,,,,,126,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Dublin. Next,,distillery,0.95,,,,,,126,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"Greatest 
Whisky Cities",,distillery,0.95,,,,,,126,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Buffalo Trace Distillery,,distillery,0.95,,,,,,126,MERGE
50 - Whisky Advocate September 2020_pdf -- W,"New Olden 
Golden",,distillery,0.95,,,,,,127,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Caledonian Distillery,,distillery,0.95,,,,,,127,MERGE
50 - Whisky Advocate September 2020_pdf -- W,Old Ironsides,,distillery,0.95,14,,,,,127,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Scotland. Today,,distillery,0.97,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,The English,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Heaven Hill,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Midleton Distillery,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Cooley Distillery,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Hazelburn. Tobermory,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Most Whisky,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,India. Johnnie,,whisky,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Big Five,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Paul John,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,"Scotland
Scotland",,distillery,0.97,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,The Glenlivet,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,North British,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Black Barrel,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Cameron Brig,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Monkey Shoulder,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Johnnie Walker Green,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Talisker Distillery,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Irish Republic,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Connemara. Single,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Green Spot,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Tullamore Dew,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Northern Ireland,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Black Bush,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Bushmills. In,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Barton. Single,,distillery,0.95,,,,bourbon,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,"Canada

Canadian",,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Canadian Club,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Black Velvet,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Crown Royal,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Mount Fuji,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,"Australian Whisky

Australia",,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Down Under,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,"Austrian Whisky 
John",,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,"Belgian Whisky

The",,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Belgian Owl,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Gouden Carolus,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Gold Cock Distillery,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Fary Lochan,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,"English Whisky 

When",,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,The Whisky Distilleries,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,St George,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,London Distillery Company,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Lakes Distillery,,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,"Finnish Whisky

The",,distillery,0.95,,,,,,0,MERGE
A Field Guide to Whisky [eBook - Biblioboard,Glann Ar Mor,,distillery,0.95,,,,,,0,MERGE
