raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,norm_candidate,match1_id,match1_name,match1_ts_ratio,match1_w_ratio,match1_conflicts,match2_id,match2_name,match2_ts_ratio,match2_w_ratio,match2_conflicts,match3_id,match3_name,match3_ts_ratio,match3_w_ratio,match3_conflicts,match4_id,match4_name,match4_ts_ratio,match4_w_ratio,match4_conflicts,match5_id,match5_name,match5_ts_ratio,match5_w_ratio,match5_conflicts,best_match_id,best_match_name,ts_ratio,w_ratio,conflicts,match_status
Glendronach (Huntly),8yo,8.0,,False,40,20,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glendronach (Huntly),GlenDronach Peated,72,No close match found,,,,,,glendronach huntly,W000055,glendronach cask strength (batch 1),75.86206896551724,85.5,,W000058,glendronach cask strength (batch 2),75.86206896551724,85.5,,W000067,glendronach vintage 20yo single cask (all vintages),75.86206896551724,85.5,,W000083,glendronach vintage 19yo single cask (all vintages),75.86206896551724,85.5,,W000109,glendronach cask strength (batch 4),75.86206896551724,85.5,,W000055,glendronach cask strength (batch 1),75.86206896551724,85.5,,MANUAL_REVIEW
Glen Forres,8yo,8.0,,False,40,6,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Forres,Glen Els,74,No close match found,,,,,,glen forres,W000014,glen scotia 10y,53.333333333333336,85.5,,W000017,glen grant 10yo,53.84615384615385,85.5,,W000365,glen scotia double cask,53.333333333333336,85.5,,W000450,glen grant 25yo,53.84615384615385,85.5,,W000467,glen grant five decades,53.333333333333336,85.5,,W000014,glen scotia 10y,53.333333333333336,85.5,,MANUAL_REVIEW
Glen Forsa,12yo,12.0,,False,43,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Forsa,Glen Els,67,No close match found,,,,,,glen forsa,W000014,glen scotia 10y,57.142857142857146,85.5,,W000017,glen grant 10yo,64.0,85.5,,W000365,glen scotia double cask,57.142857142857146,85.5,,W000450,glen grant 25yo,64.0,85.5,,W000467,glen grant five decades,57.142857142857146,85.5,,W000014,glen scotia 10y,57.142857142857146,85.5,,MANUAL_REVIEW
Glen Mhor,1980,,1980.0,False,43,12,False,,8,The_Malt_List.pdf,historical_bar_menu,medium,Glen Mhor,Glen Moray 16yo,67,No close match found,,,,,,glen mhor,W000014,glen scotia 10y,61.53846153846154,85.5,,W000017,glen grant 10yo,61.53846153846154,85.5,,W000365,glen scotia double cask,61.53846153846154,85.5,,W000450,glen grant 25yo,61.53846153846154,85.5,,W000467,glen grant five decades,61.53846153846154,85.5,,W000014,glen scotia 10y,61.53846153846154,85.5,,MANUAL_REVIEW
Glen Mhor,25yo,25.0,,False,40,38,False,Glenmorangie  Quinta Ruban 12yo 46% 6. Glenmorangie 18yo 43% 12. Glenmorangie Astar 57.1% 10. Glenmorangie Lasanta 12yo 46% 6. Glen Moray no statement 40% Glen Moray 10yo 40% Glen Moray 12yo 40% Glen Moray 15yo 40% 11. Glen Ord 5yo 40% 17. Glen Ord 12yo 43% 8. Glen Ord 1998/10yo 57.9% 7. Glenrothes 8yo 40% Glenrothes Select Reserve no statement 43% 6. Glen Scotia (Campbeltown) 12yo 40% Glen Spey (CS) 1981/15yo 62.2% 15. Glen Spey 1985 43% 11. Glentauchers 1979 40% 10. Glentauchers 1991 43% 9. Glentrommie 12yo 40% 8.,8,The_Malt_List.pdf,historical_bar_menu,medium,Glen Mhor,Glen Moray 16yo,67,No close match found,,,,,,glen mhor,W000014,glen scotia 10y,61.53846153846154,85.5,,W000017,glen grant 10yo,61.53846153846154,85.5,,W000365,glen scotia double cask,61.53846153846154,85.5,,W000450,glen grant 25yo,61.53846153846154,85.5,,W000467,glen grant five decades,61.53846153846154,85.5,,W000014,glen scotia 10y,61.53846153846154,85.5,,MANUAL_REVIEW
Hakushu (Japan),12yo,12.0,,False,43.5,8,False,Hazelburn (Campbeltown) 8yo 46% 6. Highland Park (Orkney) 12yo 40% ‘Scotland’s most northerly distillery in Orkney. The 12 yo is a great introduction to malt whisky with a smooth and smoky sweetness to it.’ MK,9,The_Malt_List.pdf,historical_bar_menu,medium,Hakushu (Japan),Hakushu NAS,75,No close match found,,,,,,hakushu japan,W000098,hakushu sherry cask,70.0,85.5,,W000483,hakushu 18yo,73.6842105263158,85.5,,W000730,hakushu 10yo,73.6842105263158,85.5,,W000731,hakushu 12yo,73.6842105263158,85.5,,W000814,hakushu distiller's reserve,70.0,85.5,,W000098,hakushu sherry cask,70.0,85.5,,MANUAL_REVIEW
Macallan 1861 replica,,,,False,42.7,20,False,An edition that tried to recapture 19th century bottles that were opened at Macallan.’MK,11,The_Malt_List.pdf,historical_bar_menu,medium,Macallan 1861 replica,Macallan Reflexion,67,No close match found,,,,,,macallan 1861 replica,W000007,macallan 12yo double cask,56.52173913043478,85.5,,W000026,"macallan 10yo full proof 57% 1980 (ob, giovinetti & figli)",55.172413793103445,85.5,,W000059,macallan cask strength,55.81395348837209,85.5,,W000100,macallan 10yo sherry oak cask strength,55.172413793103445,85.5,,W000105,macallan 18yo sherry oak,57.77777777777778,85.5,,W000007,macallan 12yo double cask,56.52173913043478,85.5,,MANUAL_REVIEW
North Port,1979/20yo,20.0,1979.0,False,61.2,20,True,,11,The_Malt_List.pdf,historical_bar_menu,medium,North Port,Amrut Portonova,56,No close match found,,,,,,north port,W000080,laphroaig cairdeas 2013 port wood,57.142857142857146,85.5,,W000102,kavalan solist port cask,57.142857142857146,85.5,,W000128,laphroaig cairdeas 2020 port & wine casks,57.142857142857146,85.5,,W000303,talisker port ruighe,57.142857142857146,85.5,,W000363,kavalan concertmaster port cask,57.142857142857146,85.5,,W000080,laphroaig cairdeas 2013 port wood,57.142857142857146,85.5,,MANUAL_REVIEW
Old Fettercairn,10yo,10.0,,False,40,9,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Fettercairn,Fettercairn Fior,84,Fuzzy match threshold,,,WDB-01065,,,old fettercairn,W001065,fettercairn fior,84.61538461538461,85.5,,W001521,potter's special old,57.142857142857146,85.5,,W001557,hiram walker special old rye,41.86046511627907,85.5,,W001644,old rip van winkle 10yo,42.10526315789474,85.5,,W001687,old grand-dad bourbon 114,40.0,85.5,,W001065,fettercairn fior,84.61538461538461,85.5,,MANUAL_REVIEW
Old Rhosdhu,5yo,5.0,,False,40,6,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Old Rhosdhu,Old Overholt,61,No close match found,,,,,,old rhosdhu,W001521,potter's special old,42.857142857142854,85.5,,W001557,hiram walker special old rye,42.857142857142854,85.5,,W001644,old rip van winkle 10yo,42.857142857142854,85.5,,W001687,old grand-dad bourbon 114,42.857142857142854,85.5,,W001763,old grand-dad bourbon 100 bib,42.857142857142854,85.5,,W001521,potter's special old,42.857142857142854,85.5,,MANUAL_REVIEW
Penderyn (Welsh),no statement,,,True,46,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Penderyn (Welsh),Penderyn,73,No close match found,,,,,,penderyn welsh,W000320,penderyn portwood,72.72727272727272,85.5,,W000398,penderyn madeira,72.72727272727272,85.5,,W000402,penderyn sherrywood,72.72727272727272,85.5,,W000677,penderyn legend,72.72727272727272,85.5,,W000680,penderyn aur cymru,72.72727272727272,85.5,,W000320,penderyn portwood,72.72727272727272,85.5,,MANUAL_REVIEW
Pride of Orkney,12yo,12.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pride of Orkney,Bowmore Springtide,61,No close match found,,,,,,pride of orkney,W000240,compass box the story of the spaniard,37.5,85.5,,W000292,spirit of hven sankt claus,39.02439024390244,85.5,,W000323,glenfiddich 19yo age of discovery (madeira cask),36.0655737704918,85.5,,W000497,glenfiddich 19yo age of discovery (bourbon cask),36.0655737704918,85.5,,W000498,glenfiddich cask of dreams,39.02439024390244,85.5,,W000240,compass box the story of the spaniard,37.5,85.5,,MANUAL_REVIEW
Pride of Strathspey,12yo,12.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pride of Strathspey,The Splinter Group Spirits,53,No close match found,,,,,,pride of strathspey,W000240,compass box the story of the spaniard,50.0,85.5,,W000292,spirit of hven sankt claus,44.44444444444444,85.5,,W000323,glenfiddich 19yo age of discovery (madeira cask),27.692307692307693,85.5,,W000497,glenfiddich 19yo age of discovery (bourbon cask),30.769230769230774,85.5,,W000498,glenfiddich cask of dreams,35.55555555555556,85.5,,W000240,compass box the story of the spaniard,50.0,85.5,,MANUAL_REVIEW
St Magdalene,1979/19yo,19.0,1979.0,False,63.8,39,False,"A now silient distillery in Linlithgow that ceased production in 1983.An excellent malt, picking up a stack of 90+ scores from the Malt Maniacs.’MK",12,The_Malt_List.pdf,historical_bar_menu,medium,St Magdalene,Canadian Mist,56,No close match found,,,,,,st magdalene,W000844,st george's chapter 6 (unpeated),38.095238095238095,85.5,,W001082,st george's chapter 9 (peated),35.0,85.5,,W001257,compass box great king st artist's blend,30.769230769230774,85.5,,W001259,compass box great king st glasgow blend,35.294117647058826,85.5,,W000121,glengoyne cask strength (batch 7),41.86046511627907,57.0,,W000844,st george's chapter 6 (unpeated),38.095238095238095,85.5,,MANUAL_REVIEW
Scapa (Orkney),16yo,16.0,,False,40,7,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Scapa (Orkney),Scapa 16yo,64,No close match found,,,,,,scapa orkney,W000617,scapa 16yo,66.66666666666666,85.5,,W000675,scapa skiren,66.66666666666666,85.5,,W000715,arran malt orkney bere barley,66.66666666666666,85.5,,W001608,parker’s heritage 7th 10yo promise of hope,22.22222222222223,52.94117647058824,,W001614,parker’s heritage 6th blend of mashbills,23.07692307692308,52.94117647058824,,W000617,scapa 16yo,66.66666666666666,85.5,,MANUAL_REVIEW
