raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,norm_candidate,match1_id,match1_name,match1_ts_ratio,match1_w_ratio,match1_conflicts,match2_id,match2_name,match2_ts_ratio,match2_w_ratio,match2_conflicts,match3_id,match3_name,match3_ts_ratio,match3_w_ratio,match3_conflicts,match4_id,match4_name,match4_ts_ratio,match4_w_ratio,match4_conflicts,match5_id,match5_name,match5_ts_ratio,match5_w_ratio,match5_conflicts,best_match_id,best_match_name,ts_ratio,w_ratio,conflicts,match_status
Glencoe,8yo,8.0,,False,58,12,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glencoe,Glengoyne 12Y,60,No close match found,,,,,,glencoe,W000734,glenfiddich 26yo excellence,29.411764705882348,75.00000000000001,,W000418,glencadam 25yo,47.61904761904762,75.00000000000001,,W000641,glencadam origin 1825 (nas),37.5,75.00000000000001,,W000707,glencadam 21yo,47.61904761904762,75.00000000000001,,W000721,glencadam 30yo,47.61904761904762,75.00000000000001,,W000734,glenfiddich 26yo excellence,29.411764705882348,75.00000000000001,,REJECTED_LOW_SCORE
Glencraig,1975,,1975.0,False,40,15,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glencraig,Glendalough,60,No close match found,,,,,,glencraig,W000366,glencadam 12yo port wood finish,30.0,72.0,,W000418,glencadam 25yo,52.17391304347826,72.0,,W000641,glencadam origin 1825 (nas),47.05882352941177,72.0,,W000707,glencadam 21yo,52.17391304347826,72.0,,W000721,glencadam 30yo,52.17391304347826,72.0,,W000366,glencadam 12yo port wood finish,30.0,72.0,,REJECTED_LOW_SCORE
Glenesk,1982,,1982.0,False,40,15,False,Glenfarclas belongs to a private family owned company somewhat a rarity in the Speyside region these days. A complex malt that is crisp and dry with sweet sherry notes.’ MK,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenesk,Gölles,67,No close match found,,,,,,glenesk,W000850,glenkinchie 12yo,43.47826086956522,75.00000000000001,,W000014,glen scotia 10y,45.45454545454545,69.23076923076923,,W000365,glen scotia double cask,33.33333333333333,69.23076923076923,,W000490,glen scotia 15yo,43.47826086956522,69.23076923076923,,W000541,glen scotia victoriana,34.48275862068965,69.23076923076923,,W000850,glenkinchie 12yo,43.47826086956522,75.00000000000001,,REJECTED_LOW_SCORE
Glentrommie,17yo,17.0,,False,40,9,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Glentrommie,Glenrothes 25yo,54,No close match found,,,,,,glentrommie,W000136,glenrothes 25yo,53.84615384615385,63.52941176470588,,W000174,glenrothes minister's reserve,45.0,63.52941176470588,,W000221,glenrothes whisky maker's cut,40.0,63.52941176470588,,W000263,glenrothes 18yo,53.84615384615385,63.52941176470588,,W000385,glenrothes robur reserve,40.0,63.52941176470588,,W000136,glenrothes 25yo,53.84615384615385,63.52941176470588,,REJECTED_LOW_SCORE
Hillside,1971/25yo,25.0,1971.0,False,60.1,60,True,The most expensive dram currently served in the Canny Man’s. The distillery located near Montrose was closed permenantly in 1985 making bottles of Hillside extremely rare.’ MK,9,The_Malt_List.pdf,historical_bar_menu,medium,Hillside,Willie's,62,No close match found,,,,,,hillside,W001646,heaven hill select stock barrel,30.769230769230774,67.5,,W000353,bushmills black bush,35.71428571428571,61.07142857142858,,W000896,benriach heart of speyside,29.411764705882348,60.00000000000001,,W000681,speyside 10yo,38.095238095238095,57.0,,W000894,speyside 12yo,38.095238095238095,57.0,,W001646,heaven hill select stock barrel,30.769230769230774,67.5,,REJECTED_LOW_SCORE
Imperial,1979,,1979.0,False,40,15,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Imperial,Amrut Herald,50,No close match found,,,,,,imperial,W000499,mackmyra special 04,44.44444444444444,61.07142857142858,,W000521,mackmyra special 03,44.44444444444444,61.07142857142858,,W000542,mackmyra special 09,44.44444444444444,61.07142857142858,,W000577,mackmyra special 05,44.44444444444444,61.07142857142858,,W000585,mackmyra special 08,44.44444444444444,61.07142857142858,,W000499,mackmyra special 04,44.44444444444444,61.07142857142858,,REJECTED_LOW_SCORE
Invergordon,10yo,10.0,,False,40,8,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Invergordon,Golden Distillery,50,No close match found,,,,,,invergordon,W000335,glentauchers 1991 18yo (gordon & macphail),36.734693877551024,62.18181818181819,,W000655,glenburgie 10yo (gordon & macphail),38.095238095238095,62.18181818181819,,W001815,smooth ambler old scout yearling bourbon,27.450980392156865,57.27272727272727,,W000228,mortlach 15yo (gordon & macphail),30.0,54.4090909090909,,W000700,mackmyra vinterdrom,40.0,54.0,,W000335,glentauchers 1991 18yo (gordon & macphail),36.734693877551024,62.18181818181819,,REJECTED_LOW_SCORE
Inverleven,1991,,1991.0,False,40,8,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Inverleven,Glenlivet Cipher,54,No close match found,,,,,,inverleven,W001041,"elements of islay ""peat""",31.25,56.25,,W000097,glenmorangie signet,27.58620689655173,54.0,,W000677,penderyn legend,32.0,54.0,,W000971,spirit of hven seven stars no. 5 alioth,29.16666666666667,54.0,,W001048,spirit of hven seven stars no. 2 merak,29.787234042553195,54.0,,W001041,"elements of islay ""peat""",31.25,56.25,,REJECTED_LOW_SCORE
Millburn,1976,,1976.0,False,46,20,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Millburn,Willowbank,56,No close match found,,,,,,millburn,W000091,bushmills 21yo single malt,29.411764705882348,64.125,,W000322,bushmills 16yo single malt,29.411764705882348,64.125,,W000353,bushmills black bush,28.57142857142857,64.125,,W000381,bushmills sherry cask reserve,27.02702702702703,64.125,,W000548,bushmills 12yo single malt,29.411764705882348,64.125,,W000091,bushmills 21yo single malt,29.411764705882348,64.125,,REJECTED_LOW_SCORE
Millburn,25yo,25.0,,False,55.9,25,False,,11,The_Malt_List.pdf,historical_bar_menu,medium,Millburn,Willowbank,56,No close match found,,,,,,millburn,W000091,bushmills 21yo single malt,29.411764705882348,64.125,,W000322,bushmills 16yo single malt,29.411764705882348,64.125,,W000353,bushmills black bush,28.57142857142857,64.125,,W000381,bushmills sherry cask reserve,27.02702702702703,64.125,,W000548,bushmills 12yo single malt,29.411764705882348,64.125,,W000091,bushmills 21yo single malt,29.411764705882348,64.125,,REJECTED_LOW_SCORE
Pittyvaich,12yo,12.0,,False,43,8,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,56,No close match found,,,,,,pittyvaich,W001214,bunnahabhain toiteach,38.70967741935484,56.25,,W001193,bunnahabhain toiteach a dha,32.432432432432435,53.4375,,W000815,auchentoshan valinch,40.0,52.94117647058824,,W001471,forty creek victory,23.07692307692308,51.300000000000004,,,,,,,W001214,bunnahabhain toiteach,38.70967741935484,56.25,,REJECTED_LOW_SCORE
Pittyvaich,1993,,1993.0,False,43,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,56,No close match found,,,,,,pittyvaich,W001214,bunnahabhain toiteach,38.70967741935484,56.25,,W001193,bunnahabhain toiteach a dha,32.432432432432435,53.4375,,W000815,auchentoshan valinch,40.0,52.94117647058824,,W001471,forty creek victory,23.07692307692308,51.300000000000004,,,,,,,W001214,bunnahabhain toiteach,38.70967741935484,56.25,,REJECTED_LOW_SCORE
Pittyvaich,1985,,1985.0,False,57.3,10,True,,12,The_Malt_List.pdf,historical_bar_menu,medium,Pittyvaich,Dietrich,56,No close match found,,,,,,pittyvaich,W001214,bunnahabhain toiteach,38.70967741935484,56.25,,W001193,bunnahabhain toiteach a dha,32.432432432432435,53.4375,,W000815,auchentoshan valinch,40.0,52.94117647058824,,W001471,forty creek victory,23.07692307692308,51.300000000000004,,,,,,,W001214,bunnahabhain toiteach,38.70967741935484,56.25,,REJECTED_LOW_SCORE
Poit Dhubh,21yo,21.0,,False,43,10,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Poit Dhubh,Ballast Point,52,No close match found,,,,,,poit dhubh,W001078,spirit of hven seven stars no. 1 dubhe,34.04255319148936,56.84210526315789,,W000303,talisker port ruighe,26.66666666666667,54.0,,W000365,glen scotia double cask,36.36363636363637,54.0,,W001032,dun bheagan islay (all vintage editions),25.0,54.0,,W001740,barton 1792 port finished bourbon,32.55813953488372,53.4375,,W001078,spirit of hven seven stars no. 1 dubhe,34.04255319148936,56.84210526315789,,REJECTED_LOW_SCORE
Rosebank,1990/20yo,20.0,1990.0,False,43,20,False,,12,The_Malt_List.pdf,historical_bar_menu,medium,Rosebank,Willowbank,56,No close match found,,,,,,rosebank,W000330,glenmorangie milsean,35.71428571428571,60.00000000000001,,W000269,hazelburn 12yo (springbank),36.36363636363637,60.00000000000001,,W000816,hazelburn 8yo (springbank),37.5,60.00000000000001,,W000952,oban 21yo,47.05882352941177,60.00000000000001,,W000985,oban 18yo,47.05882352941177,60.00000000000001,,W000330,glenmorangie milsean,35.71428571428571,60.00000000000001,,REJECTED_LOW_SCORE
Smokehead,no statement,,,True,43,7,False,Springbank (Campbeltown) 10yo 46% 6. ‘A delicious malt from Campbeltown and one of my firm favourites. The 10 is rich and dry with just a little smoke on the palate.’ MK,12,The_Malt_List.pdf,historical_bar_menu,medium,Smokehead,Iron Smoke,53,No close match found,,,,,,smokehead,W001217,benromach peat smoke,34.48275862068965,64.28571428571429,,W001805,heaven hill trybox series new make,18.604651162790702,60.00000000000001,,W001397,j.p. wiser's 22yo port cask finished,22.727272727272734,55.38461538461539,,W001449,angel’s envy rye (rum-finished),21.05263157894737,55.38461538461539,,W001505,pike creek 10yo rum-finished,27.02702702702703,55.38461538461539,,W001217,benromach peat smoke,34.48275862068965,64.28571428571429,,REJECTED_LOW_SCORE
