vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(0.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9,9,exact,"W001993,W002019,W002087,W002214,W002263,W002690,W003076,W003286",Compass Box Rogues’ Banquet | Glenmorangie Grand Vintage Malt 1996 | J.J. Corry The Hanson
"(0.0, 1.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9,9,exact,"W001998,W002101,W002165,W002239,W002888,W002890,W003143,W003241",Mars Iwai 45 | Ichiro’s Malt & Grain (batch 17) | Claxton’s Dumbarton 22 Year Old Bourbon Hogshead
"(0.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9,9,exact,"W002045,W002189,W002339,W002426,W002673,W003005,W003170,W003251",Barrell (batch 024) | Mary Dowling Tequila Barrel Finished | Parker’s Heritage 10 Year Old Heavy Char Kentucky Straight
"(0.0, 0.25, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9,9,exact,"W002080,W002210,W002510,W002623,W002647,W002668,W002956,W002959",Balcones 1 Texas (batch Sm 20-1) | Hard Truth Harvest Sweet Mash | Loco Tequila Ámbar Reposado
"(0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",9,9,exact,"W002716,W002717,W002723,W002730,W002746,W002774,W002778,W002781",Charbay Doubled & Twisted Straight Malt Whiskey And Hop FLavored Whiskey (lot No. 3) | Old Potrero 6 Year Old Rye | Black Butte 5 Year Old Single Malt
"(0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0)",9,5,,"W003912,W3520,W003864,W003866,W003588,W3314,W3479,W3479",Cutty Sark Aged 12 Years | Sullivans Cove | Wild Turkey 101
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0)",9,3,,"W003673,W003774,W3358,W3358,W3358,W3358,W3358,W3358",Glen Moray Elgin Classic Chardonnay Cask Finish | Kilchoman Loch Gorm 2024 Release | DYC
"(11.0, 11.0, 55.0, 100.0, 77.0, 22.0, 0.0)",9,1,,"W3495,W3495,W3495,W3495,W3495,W3495,W3495,W3495",Sazerac | Sazerac | Sazerac
"(0.0, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8,8,exact,"W002004,W002250,W002294,W002298,W002533,W002653,W002657,W002854",Glenallachie 10 Year Old Cask Strength (batch 2) | Dalmore 21 Year Old (2023 Edition) | Gordon & Macphail 125th Anniversary 1979 (mosstowie Distilled At Miltonduff; Cask No. 20323)
"(0.0, 0.75, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8,7,exact,"W002056,W002512,W002541,W002706,W002865,W003019,W003220,W003232",Widow Jane 13 Year Old Lucky Thirteen Straight (barrel No. 2007) | Laelia Blanco | Glenkinchie 12 Year Old
"(0.0, 1.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8,8,exact,"W002166,W002187,W002241,W002372,W002463,W003015,W003100,W003201",Clydebuilt Riveter | Jefferson’s Tropics Aged In Humidity Finished In Singapore | Dalmore Cask Curation Series Sherry Edition 26 Year Old Vintage Gonzalez Byass Finish
"(0.0, 0.5, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8,8,exact,"W002364,W002403,W002661,W002678,W002833,W003088,W003140,W003215",Little Book Chapter 4: Lessons Honored (2020 Release) | Fukano 10 Year Old (2020 Release) | Stellum Fibonacci Blend No. 1
"(0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",8,7,exact,"W002555,W002562,W002708,W002909,W003032,W003164,W003179,W003183",Deanston 12 Year Old | Aberfeldy 21 Year Old | Penelope 17 Year Old
"(0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 100.0)",8,2,,"W003735,W3415,W3415,W3415,W3415,W3415,W3415,W3415",Highland Park 15 | Jim Beam | Jim Beam
"(1.0, 0.059, 0.095, 0.095, 0.0, 0.0, 0.0)",7,5,,"W001022,W000279,W000977,W000618,W000955,W001043,W001217",Balvenie 14yo Peat Week | Balvenie 16yo Triple Cask | Glenlivet Nadurra Peated Cask Finish
"(0.0, 0.75, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7,7,exact,"W001991,W002034,W002289,W002335,W002469,W002705,W002803",Amrut 10 Year Old Greedy Angels Bourbon Cask-finished Single Malt (2019 Release) | Compass Box Great King Street Artist's Blend | Gordon & Macphail 125th Anniversary 1972 (distilled At Coleburn; Cask No. 3511)
"(0.0, 0.75, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7,7,exact,"W002003,W002042,W002514,W002517,W002651,W002939,W003163",Tomintoul 25 Year Old | Knob Creek 9 Year Old Kentucky Straight | Don Fulano French Limousin Cask Aged Reposado
