vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002193,W002281,W002654,W002800",Elijah Craig Small Batch | WhistlePig 17 Year Old The Boss Hog Vii: Magellan's Atlantic (barrel No. 13) | Semper Fi Big Stick Oak Stave Finished
"(0.0, 0.75, 1.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002330,W002374,W002650,W003142",Larceny Barrel Proof Kentucky Straight (batch c920) | The Busker Single Grain | Dragon’s Milk 5 Year Old Origin Small Batch
"(0.0, 0.25, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",4,4,exact,"W002333,W002551,W003048,W003231",Kentucky Owl Dry State | Glenlivet 14 Year Old Cognac Cask Selection • | Lochlea Fallow Edition First-fill Oloroso Sherry Butt Matured (third Crop)
"(0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",4,4,exact,"W002351,W002560,W002646,W003085",Oak & Eden Round Prairie Jamestown Revival Riff | Glenmorangie Quinta Ruban 14 Year Old • | Laws Whiskey House 8 Year Old Bottled In Bond Four Grain
"(0.25, 0.25, 0.75, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",4,4,exact,"W002366,W002824,W002834,W003180",Jacob’s Pardon 8 Year Old Small Batch American Whiskey (batch 01) | Loch Lomond Original | William Larue Weller (buffalo Trace Antique Collection 2024)
"(0.0, 0.75, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002407,W002957,W002968,W003199",Ohishi 10 Year Old Brandy Cask- Finished (2020 Release) | Still Austin 7 Year Old Bottled In Bond (fall 2025) | King Of Kentucky 12 Year Old Small Batch (batch 2)
"(0.0, 0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002435,W002503,W002891,W003108",Dalmore 17 Year Old Luminary No. 3 (2025 Edition) | The Last Drop Buffalo Trace 27 Year Old | House Of Hazelwood The Legacy Collection 33 Year Old The Transatlantic
"(0.0, 0.5, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002695,W003005,W003190,W003191","The Irishman Cask Strength (2022 Release) | Cambio French Oak, Chardonnay, & Cognac Barrel Aged Añejo | Colkegan American Single Malt"
"(0.0, 0.0, 100.0, 100.0, 100.0, 0.0, 33.0)",4,3,,"W003697,W3488,W3553,W3554",Glenfarclas 15 | Redbreast | Yamazaki
"(50.0, 16.0, 50.0, 100.0, 33.0, 0.0, 0.0)",4,0,,"W3440,W3440,W3440,W3440",Mars | Mars | Mars
"(100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,0,,"W3485,W3485,W3485,W000674",Rebel | Rebel | Rebel
"(0.0, 60.0, 0.0, 60.0, 0.0, 0.0, 0.0)",4,3,,"26e0f93d-7602-42a9-951f-bd756cecc0a2,W003685,W3530,W3537",Fettercairn Rare Vintage 40 Year Old | GlenAllachie 11 Palo Cortado Sherry Cask Matured | Titanic
"(2.0, 19.0, 4.0, 2.0, 13.0, 2.0, 29.0)",3,1,exact,"W001112,W001164,W000251",Ardbeg Alligator | Ardbeg Auriverdes | Ardbeg Galileo
"(1.5, 2.5, 1.5, 0.49, 0.24, 0.7, 2.75)",3,1,p4_bulk_strong_candidate,"W000031,W000031,W000031",Glengoyne 25yo | Glengoyne 25yo | Glengoyne 25yo
"(2.25, 2.75, 0.5, 0.12, 0.4, 1.75)",3,1,whiskeymapper_remap,"W000920,W000920,W000920",Talisker 30yo | Talisker 30yo | Talisker 30yo
"(10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 3.0)",3,1,tasting_note_extraction,"W000790,W001236,W000856",Sheep Dip Blended Malt | Compass Box Juveniles | Stronachie 12yo
"(0.0, 6.6, 0.0, 0.0, 3.3, 0.0, 2.0)",3,3,tasting_note_extraction,"W000493,W000893,W000296",Old Pulteney 15yo | Tomintoul 10yo | Ben Nevis 10yo Cask Strength
"(0.0, 3.3, 3.3, 0.0, 3.3, 0.0, 1.0)",3,3,tasting_note_extraction,"W000257,W000857,W000427",Balblair 1989 | Auchentoshan Virgin Oak | Aultmore 25yo
"(3.3, 3.3, 0.0, 0.0, 1.7, 0.0, 1.0)",3,3,tasting_note_extraction,"W000596,W000049,W000868",Tullibardine 25yo | Compass Box Last Vatted Malt | Cardhu Amber Rock
"(3.3, 0.0, 0.0, 0.0, 1.7, 0.0, 0.0)",3,3,tasting_note_extraction,"W000210,W000541,W000647",Highland Park Valknut | Glen Scotia Victoriana | Glenfiddich Select Cask
"(0.33, 1.78, 2.33, 0.33, 0.33, 1.57, 2.92, 0.67)",3,1,tasting_note_extraction,"W000113,W000113,W000113",Glengoyne 40yo | Glengoyne 40yo | Glengoyne 40yo
"(1.5, 0.17, 3.5, 0.5, 0.35, 0.38)",3,1,tasting_note_extraction,"W000976,W000976,W000976",Talisker 10yo | Talisker 10yo | Talisker 10yo
"(6.6, 9.9, 0.0, 0.0, 0.0, 0.0, 3.0)",3,2,tasting_note_extraction,"W000434,W000787,W000432",Bruichladdich The Organic 2010 | BenRiach 10yo | Arran Malt 18yo
"(3.3, 6.6, 0.0, 0.0, 0.0, 0.0, 2.0)",3,2,tasting_note_extraction,"W000395,W000119,W000458",Bladnoch Samsara | Highland Park 21yo | Arran Malt 17yo
"(0.6, 0.6, 2.0, 0.4, 1.8, 0.45, 1.8, 0.09, 1.07, 3.6)",3,1,p4_bulk_strong_candidate,"W000014,W000014,W000014",Glen Scotia 10y | Glen Scotia 10y | Glen Scotia 10y
"(0.63, 0.58, 2.11, 0.26, 0.74, 1.25, 0.11, 0.05, 1.07, 2.53)",3,1,p4_bulk_strong_candidate,"W000410,W000410,W000410",Glenfiddich 30yo | Glenfiddich 30yo | Glenfiddich 30yo
"(0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,2,exact,"W000403,W002614,W003037",Jura Turas Mara | Dalmore 14 Year Old American White Oak And Pedro Ximenez Sherry Cask Matured | Portmagee
"(0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 0.0)",3,3,p4_bulk_strong_candidate,"W000007,W000547,W000019",Macallan 12yo Double Cask | Old Pulteney 18yo | Auchentoshan American Oak
"(0.25, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0)",3,2,p4_bulk_strong_candidate,"W001009,W000004,W000004",Compass Box Lady Luck | Talisker 10y | Talisker 10y
"(0.0, 0.0, 0.5, 0.25, 0.5, 0.25, 0.0)",3,3,p4_bulk_strong_candidate,"W000464,W000260,W000493",BenRiach 25yo | Benromach 15yo | Old Pulteney 15yo
"(0.25, 0.25, 0.0, 0.5, 0.5, 0.0, 0.0)",3,2,p4_bulk_strong_candidate,"W001084,W000260,W000260",Highland Park Einar | Benromach 15yo | Benromach 15yo
"(0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.0)",3,3,p4_bulk_strong_candidate,"W000097,W000544,W000772",Glenmorangie Signet | Compass Box Oak Cross | Timorous Beastie 10yo
"(0.93, 0.0, 0.0, 0.97, 0.79, 0.0, 0.0)",3,1,p4_bulk_strong_candidate,"W000569,W000170,W000624",Royal Brackla 16yo | Royal Brackla 21yo | Royal Brackla 12yo
"(0.0, 0.0, 0.5, 0.25, 0.25, 0.0, 0.0)",3,2,p4_bulk_strong_candidate,"W000351,W000667,W001097",Aberfeldy 16yo | Singleton Of Glendullan 12yo | Ardbeg 21yo
"(0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0)",3,2,p4_review_calibrated_candidate,"W000197,W000432,W000893",Glenfarclas 17yo | Arran Malt 18yo | Tomintoul 10yo
"(0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0)",3,2,p4_review_calibrated_candidate,"W001219,W001206,W000368",Kilchoman Winter 2010 Release | Laphroaig Lore | Laphroaig Select
"(0.0, 0.0, 0.5, 0.0, 0.25, 0.0, 0.0)",3,3,p4_review_calibrated_candidate,"W000300,W000303,W000327",Glenmorangie A Midwinter Night’s Dram | Talisker Port Ruighe | Highland Park Dark Origins
"(1.0,)",3,2,universal_book_nlp_extraction,"W001909,W001943,W001945",Jim Beam 15yo | Midleton 10yo | Midleton 15yo
"(0.25, 0.75, 1.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W001999,W002144,W002692",Glenlivet 12 Year Old Double Oak | Kilchoman 100% Islay 13th Edition | Redbreast Kentucky Oak Edition
"(0.0, 0.75, 0.75, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002001,W002419,W002691",Macallan 18 Year Old Double Cask | Elijah Craig 10 Year 7 Month Old Barrel Proof (batch a125) | Method & Madness Japanese Cedarwood Finish
"(0.25, 0.75, 0.75, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002010,W002700,W002832",Glenlivet Caribbean Reserve | Maison Benjamin Kuentz Végétal Musette Single Malt | Compass Box Hedonism 2025 Release
"(0.0, 1.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",3,3,exact,"W002023,W002608,W003248",Four Gate The Kelvin Collaboration Ii Cognac And Rum Cask-finished | Prima & Ultima cragganmore88 48 Year Old 1973 | Copperworks FarmSmith Single Origin Washington Barley (2024 Release)
"(0.0, 1.0, 0.25, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002033,W002444,W002504",Chivas Extra 13 Year Old Tequila Cask | Glendronach Ode To The Valley Sherry & Port Cask Matured | The Last Drop 22 Year Old
"(0.0, 0.25, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002053,W003001,W003115",Old Elk Blended Straight | Ampersand Malus American Rye Whiskey And Apple Brandy Blend | Chattanooga Experimental Series Batch 042: German-style Amaro Barrel Finished
"(0.0, 0.5, 1.0, 0.75, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25)",3,3,exact,"W002061,W002135,W003126",Doc Swinson’s 13 Year Old Flagship Series Sherry Cask-finished (barrel No. 005) | Clynelish 10 Year Old The Jazz Crescendo (diageo Special Releases 2023) | Rare Perfection 15 Year Old Cask Strength
"(0.25, 1.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002066,W002297,W002476",Four Gate River Kelvin Straight | Cardhu 11 Year Old (diageo Special Releases 2020) | Hard Truth Sweet Mash Barrel Strength (batch 11)
"(0.0, 0.75, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",3,3,exact,"W002083,W002332,W002590",Stranahan’s Diamond Peak (batch 014) | Old Forester 150th Anniversary Batch Proof Kentucky Straight (batch 03/03) | Method & Madness 33 Year Old Mizunara Oak Cask Finish
"(0.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0)",3,3,exact,"W002086,W002399,W003097",Forty Creek Resolve | M&H Elements Red Wine Cask- Finished Single Malt | Dewar’s Double Double 26 Year Old Palo Cortado Sherry Cask Finished
"(0.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",3,3,exact,"W002125,W002609,W002615",Compass Box Art & Decadence | Glasgow 1770 The Original | Tomintoul 30 Year Old 93 Robert Fleming 30th Anniversary 2nd Edition
"(0.0, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",3,3,exact,"W002132,W002199,W003229",Mortlach The Katana’s Edge (diageo Special Releases 2023) | Rossville Union 6 Year Old Bottled In Bond (2023) | Peerless Toasted Barrel Finished (batch 2)
"(0.0, 0.75, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002133,W002666,W002993",The Singleton Of Glendullan 14 Year Old The Silken Gown (diageo Special Releases 2023) | Chicken Cock Island Rooster Rum Barrel Finished | Stranahan’s Diamond Peak Local Brewer's Cask Finished
"(0.5, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",3,3,exact,"W002152,W002964,W003027",Octomore 14.2 Edition 5 Year Old | Garrison Brothers Guadalupe Port Cask Finished | Teeling Blackpitts
"(0.0, 1.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",3,3,exact,"W002163,W002861,W002952",Claxton’s Cameronbridge 30 Year Old Brandy Quarter Cask | The Ghost Series 23c Kanosuke Double Distillery Single Marriage Cask (no. pl04) | Chivas Brothers 12 Year Old
"(0.0, 0.5, 0.25, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002173,W002387,W003221",Blue Note Special Reserve Cask Finished Series Blend Of Straights | Meiyo 15 Year Old Pure Malt (2020 Edition) | Remus Babe Ruth Reserve
"(0.25, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002178,W002591,W003280",Elijah Craig Ryder Cup Limited Edition European Toasted Oak Barrel Finished | Dewar’s 12 Year Old | Dewar’s Double Double 38 Year Old
"(0.25, 0.25, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002181,W002862,W002873",Frey Ranch Farmers + Distillers Cask Strength Small Batch (batch 9) | Stranahan’s 12 Year Old Mountain Angel Port Wine Cask Aged | RY3 14 Year Old Private Reserve Cask Strength Single Barrel Light Whiskey
"(0.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002184,W002836,W003227",Bardstown Bourbon Company Collaborative Series Goose Island Bourbon County Stout Barrel Finished | Barrell 13 Year Old Grey Label Blend Of Straights (2024 Release) | Bardstown Bourbon Co. Collaborative Series Silver Oak Cabernet Cask Finished
"(0.0, 0.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002206,W002373,W002684",Barrell Cask Strength Blend 5 Year 6 Month Old (batch 004) | Method & Madness French Limousin Oak-finished | Bardstown Bourbon Company Distillery Collection Triple Blended Stave Finished
"(0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002207,W002588,W002707",Redwood Empire Rocket Top 5 Year Old Bottled In Bond (batch 003) | Eau De Musc Castoreum-fla- Vored Whiskey | King’s Family Distillery 17 Year Old Single Barrel Select
"(0.25, 0.5, 0.75, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002222,W002065,W002582",Eifel Whisky 10 Year Old Triple Malt | Chattanooga Straight Rye Malt (batch 20g05r2) | Johnnie Walker 18 Year Old
"(0.25, 1.0, 0.5, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002225,W003272,W003283",Redbreast Tawny Port Cask Edition | Glenﬁddich Grand Château 31 Year Old Bordeaux Wine Cask Finish | Royal Salute 62 Gun Salute The American Oak Reserve
"(0.25, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002232,W002990,W003264",Rampur Sangam | Whiskey Del Bac Normandie French Calvados Cask Finished | Mars The Y.A. Double Cask Bakemono Zukushi Emaki No. 6 Nobusuma Bourbon Barrel Matured
"(0.25, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002273,W002546,W003187",Penderyn Celt | Glen Grant 15 Year Old Batch Strength • | World Whiskey Society Double Barrel Japanese Single Malt By Chip Tate
"(0.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002277,W002886,W003039",Gentleman Jack | Gordon & Macphail Recollection Series No. 3 Glenlochy 1979 | Lost Irish
"(0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002295,W002917,W002981",Cragganmore 20 Year Old (diageo Special Releases 2020) | W .l. Weller Full Proof Bourbon | Hard Truth Barrel Finish Reserve Mizunara Oak Finished
"(0.25, 0.25, 0.5, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002306,W002472,W002973",Dalwhinnie 30 Year Old (diageo Special Releases 2020) | Sagamore Spirit 7 Year Old Bottled In Bond (batch 4a) | Bobby Garg Family Reserve
"(0.25, 0.25, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0)",3,3,exact,"W002350,W002669,W003188",Journeyman Distillery Last Feather | Jack Daniel’s Triple Mash Blend Of Straights | Macaloney’s Signature Selection Siol Dugall Canadian Island Peated Single Malt (batch 2)
"(0.25, 0.5, 0.5, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002385,W002850,W003122",Kanosuke New Born | Baker’s 7 Year Old High Rye (barrel No. 000047341) | Middle West Spirits Cask Strength (batch 001)
"(0.25, 0.75, 0.25, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002391,W002488,W003263",The Whistler Imperial Stout Cask-finished | Fox & Oden (batch 11) | Mars Komagatake Bakemono Zukushi Emaki No. 4 Sarahebi Single Cask American White Oak Hogshead Matured
"(0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",3,3,exact,"W002416,W002569,W002869",Lagavulin 12 Year Old Ink Of Legends | Kilchoman Loch Gorm 2021 Edition • | Penelope 17 Year Old Light Whiskey (2025 Release)
"(0.25, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002460,W002475,W003104",Middle West Spirits Cask Strength Wheated (batch 001) | Templeton | Three Chord Strange Collaboration Pinot Noir Barrel Finished Cask Strength
"(0.0, 0.5, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",3,3,exact,"W002505,W003269,W003273",Rampur Select | Ichiro’s Malt & Grain 111 Proof | Macallan Time:Space Mastery
"(0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002522,W002799,W002802","Laelia Reposado | Joseph Magnus Cigar Blend Armag- Nac, Sherry, & Cognac Cask Finished Straight Bourbon | Starlight 5 Year Old Carl T. Huber's Cigar Batch Bourbon (2024 Release)"
"(0.0, 0.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002523,W002820,W002969",Maestro Dobel Diamante Cristalino Reposado | Glenmorangie A Tale Of Ice Cream | King Of Kentucky 12 Year Old Small Batch (batch 3)
"(0.0, 0.25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002593,W002679,W003159",Elijah Craig 12 Year Oldbarrel Proof (b522) | Cascade Moon Mellow As Moonlight 15 Year Old | Maestro Dobel Añejo
"(0.25, 1.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002630,W002951,W003265",Compass Box The Circle Edition No. 2 | Carlyle 12 Year Old Master Blender's Selection | Mars The Y.A. Double Cask Bakemono Zukushi Emaki No. 3 Do-mo Ko-mo Bourbon Barrel Matured
"(0.0, 1.0, 0.5, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002634,W003225,W003276",Frank August Small Batch | Bardstown Bourbon Co. 6 Year Old Origin Series Wheated (distilled In 2018) | Glenmorangie Pursuit Of Passion 29 Year Old Margaux Wine Cask Finish
"(0.25, 0.75, 0.75, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",3,3,exact,"W002671,W002962,W003205","Virginia Distillery Co. Courage & Conviction Cuvée Single Cask (cask 1266) | Three Chord Hard Pressed Bottled In Bond | The ImpEx Collection Strathmill 14 Year Old Single Cask (no. 802952; Distilled In 2009), $140"
"(0.0, 0.25, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",3,3,exact,"W002812,W002846,W003091","Tamnavulin Red Wine Cask Edition American Cabernet Sauvignon Cask Finished | Old Grand-Dad 16 Year Old | Lochlea Harvest Edition Bourbon, Port, & Sherry Cask Matured (third Crop)"
"(0.0, 1.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",3,3,exact,"W002821,W002868,W002995",Nc’Nean Quiet Rebels Amy | Old Elk Cigar Cut Punch Cut Blend Of Armagnac And Sherry Barrel Finished Bourbon And Wine And Port Barrel Finished Wheat (vol. 1) | Hinterhaus Singularity Port Cask Finish Cask Strength (batch 1)
"(0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3,3,exact,"W002845,W002920,W002923",Maker’s Mark Cellar Aged (2024 Release) | Dewar’s 8 Year Old Japanese Smooth | Cutty Sark 12 Year Old
"(0.0, 0.0, 100.0, 100.0, 100.0, 0.0, 0.0)",3,3,,"W003558,W003599,W3399",Aberfeldy 12 | Balvenie 14 Caribbean Cask | Hibiki
"(0.0, 0.0, 100.0, 100.0, 33.0, 0.0, 0.0)",3,2,,"W3531,W003701,W3476",Togouchi | Glenfiddich 12 | Powers
"(0.0, 0.0, 100.0, 100.0, 100.0, 0.0, 100.0)",3,3,,"W003651,W003678,W3488",Dalmore 12 | Glen Moray Sherry Cask Finish | Redbreast
"(0.0, 0.0, 0.0, 100.0, 12.0, 0.0, 0.0)",3,1,,"W003781,W003782,W3425",Knob Creek Bourbon 9Y | Knob Creek Rye - Small Batch | Knob Creek
"(100.0, 33.0, 33.0, 33.0, 33.0, 67.0, 0.0)",3,1,,"W003785,W003786,W003787",Lagavulin 12 - Diageo Special Releases 2022 | Lagavulin 12 Fireside Tales - Diageo Special Releases 2024 | Lagavulin 12 The Ink of Legends - Diageo Special Releases 2023
"(0.0, 0.0, 0.0, 25.0, 100.0, 0.0, 0.0)",3,0,,"W001506,W001506,W001506",Caribou Crossing Single Barrel | Caribou Crossing Single Barrel | Caribou Crossing Single Barrel
"(0.0, 33.0, 0.0, 100.0, 33.0, 100.0, 0.0)",3,0,,"W001586,W001586,W001586",Schenley Golden Wedding | Schenley Golden Wedding | Schenley Golden Wedding
"(100.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0)",3,1,,"W3375,W3375,W3375",Fuji | Fuji | Fuji
"(33.0, 100.0, 66.0, 33.0, 66.0, 0.0, 0.0)",3,0,,"W3449,W3449,W3449",Morris | Morris | Morris
"(100.0, 100.0, 80.0, 0.0, 0.0, 0.0, 0.0)",3,2,,"W000058,W000600,W000788",glendronach cask strength (batch 2) | Glenlivet Captain's Reserve | Game Of Thrones House Stark Dalwhinnie Winter’s Frost
"(0.0, 7.0, 3.0, 0.0, 0.0, 0.0, 4.0)",2,2,fuzzy,"W001384,W000225",High West Midwinter Night’s Dram Rye | Macallan Sienna
"(2.0, 3.0, 0.0, 0.0, 8.0, 2.0, 24.0)",2,1,exact,"W000954,W000303",Talisker 57 North | Talisker Port Ruighe
"(15.0, 21.0, 9.0, 0.0, 12.0, 1.0, 16.0)",2,2,exact,"W001695,W001714",Wild Turkey Rare Breed | Woodford Reserve Double Oaked
"(0.25, 0.09, 2.25, 0.25, 0.17, 0.19, 1.0)",2,1,whiskeymapper_remap,"W000379,W000379",Aberlour 10yo | Aberlour 10yo
"(1.87, 1.33, 0.38, 3.31, 1.46, 1.29, 0.08, 3.15, 4.31)",2,1,whiskeymapper_remap,"W000195,W000195",Aberlour 18yo | Aberlour 18yo
"(0.07, 1.93, 0.61, 3.29, 0.43, 1.14, 1.32, 0.43, 1.43, 2.0)",2,1,whiskeymapper_remap,"W001038,W001038",Bowmore 18yo | Bowmore 18yo
"(1.83, 0.42, 2.33, 0.33, 2.0, 0.42, 1.92, 2.33)",2,1,whiskeymapper_remap,"W000608,W000608",Dalmore 12yo | Dalmore 12yo
"(0.75, 1.5, 0.5, 2.0, 1.62, 1.0)",2,1,whiskeymapper_remap,"W000347,W000347",Dalmore 15yo | Dalmore 15yo
"(0.92, 0.92, 3.15, 0.54, 0.69, 1.11, 0.23, 0.06, 2.41, 2.69)",2,1,whiskeymapper_remap,"W000017,W000017",Glen Grant 10yo | Glen Grant 10yo
"(0.02, 1.32, 0.86, 3.82, 0.09, 1.09, 0.84, 0.2, 0.05, 1.52, 3.18)",2,1,whiskeymapper_remap,"W000490,W000490",Glen Scotia 15yo | Glen Scotia 15yo
"(2.2, 1.2, 2.2, 1.4, 2.0, 1.9, 0.05, 2.85, 2.2)",2,1,whiskeymapper_remap,"W000872,W000872",Glenfiddich 12yo | Glenfiddich 12yo
"(0.12, 0.12, 1.0, 0.5, 1.5, 1.62, 2.0)",2,1,whiskeymapper_remap,"W000833,W000833",Glengoyne 10yo | Glengoyne 10yo
"(0.25, 0.62, 0.12, 0.88, 1.0)",2,1,whiskeymapper_remap,"W000318,W000318",Glengoyne 15yo | Glengoyne 15yo
"(1.5, 0.5, 0.5, 0.34, 0.25, 1.98, 0.5)",2,1,whiskeymapper_remap,"W000559,W000559",Glengoyne 17yo | Glengoyne 17yo
"(0.5, 1.33, 1.67, 0.33, 1.33, 4.75, 2.08, 1.0)",2,1,whiskeymapper_remap,"W000268,W000268",Glengoyne 18yo | Glengoyne 18yo
"(2.0, 3.62, 3.0, 2.0, 3.75, 2.0)",2,1,whiskeymapper_remap,"W000118,W000118",Glengoyne 21yo | Glengoyne 21yo
"(0.07, 0.71, 0.75, 2.43, 3.0, 0.75, 0.25, 0.07, 1.25, 3.14)",2,1,whiskeymapper_remap,"W001177,W001177",Laphroaig 10yo | Laphroaig 10yo
"(0.12, 3.0, 1.25, 1.06, 1.19, 0.12, 0.44, 2.5)",2,1,whiskeymapper_remap,"W001122,W001122",Laphroaig 18yo | Laphroaig 18yo
"(0.62, 1.25, 1.38, 1.0, 4.12, 1.71, 1.5, 0.1, 1.22, 1.38)",2,1,whiskeymapper_remap,"W000927,W000927",Talisker 18yo | Talisker 18yo
"(0.67, 0.33, 2.0, 0.67, 0.33, 0.04, 1.94, 1.0)",2,1,whiskeymapper_remap,"W000946,W000946",Talisker 25yo | Talisker 25yo
"(0.64, 1.27, 2.27, 0.45, 0.55, 3.5, 0.09, 0.03, 2.77, 3.09)",2,1,whiskeymapper_remap,"W000043,W000043",Yamazaki 18yo | Yamazaki 18yo
"(0.075, 0.0, 0.0, 0.0, 0.0, 0.225, 0.0)",2,1,,"W000004,W000802",Talisker 10y | Talisker Skye
"(0.5, 2.0, 0.5, 0.5, 1.5, 0.99, 0.43, 3.94, 2.0)",2,1,,"W000093,W000093",aberlour a'bunadh (batch 30) | aberlour a'bunadh (batch 30)
"(0.167, 1.0, 0.0, 0.0, 0.0, 0.083, 0.0)",2,1,,"W000048,W000640",Bruichladdich 21yo Cuvée 407 Px | Bruichladdich Sherry Classic
