whisky_id,name,class,enrichment_version,source_count,evidence_count,superseded_by
W000654,BenRiach 15yo Sauternes Finish,real_vector,1,1,1,
W000666,Dalmore Valour,real_vector,1,1,1,
W000674,Game Of Thrones House Tully Singleton Glendullan Select,real_vector,1,1,1,
W000689,Kavalan Solist Rum Cask,real_vector,1,1,1,
W000724,Kilkerran Work In Progress Bourbon Wood,real_vector,1,1,1,
W000732,Aultmore 18yo,real_vector,1,1,1,
W000741,Kavalan Podium,real_vector,1,1,1,
W000756,Mars Maltage Cosmo,real_vector,1,1,1,
W000780,Matsui Mizunara Cask,real_vector,1,1,1,
W000788,Game Of Thrones House Stark Dalwhinnie Winter’s Frost,real_vector,1,1,1,
W000796,Few Single Malt,sentinel_10,1,1,1,
W000802,Talisker Skye,real_vector,1,1,1,
W000814,Hakushu Distiller's Reserve,real_vector,1,1,1,
W000839,Mackinlay's Shackleton Blended Malt,real_vector,1,1,1,
W000876,Game Of Thrones House Targaryen Cardhu Gold Reserve,real_vector,1,1,1,
W000885,Lohin Mckinnon Single Malt,real_vector,1,1,1,
W000885,Lohin Mckinnon Single Malt,real_vector,1,1,1,
W000888,White Oak Akashi Single Malt (nas),real_vector,1,1,1,
W000896,BenRiach Heart Of Speyside,all_zero,1,1,1,
W000900,Loch Lomond Nas,real_vector,1,1,1,
W000909,Caol Ila 35yo,real_vector,1,1,1,
W000955,BenRiach 21yo Authenticus Peated,real_vector,1,1,1,
W000977,Glenlivet Nadurra Peated Cask Finish,real_vector,1,1,1,
W000990,Game Of Thrones House Greyjoy Talisker Select Reserve,real_vector,1,1,1,
W000993,Nikka Pure Malt Black,real_vector,1,1,1,
W000996,Glendronach Peated Port Wood,real_vector,1,1,1,
W001010,Paul John Bold,real_vector,1,1,1,
W001015,Nikka Yoichi 10yo,real_vector,1,1,1,
W001022,Balvenie 14yo Peat Week,real_vector,1,1,1,
W001031,Arran Malt Machrie Moor Cask Strength,real_vector,1,1,1,
W001033,Game Of Thrones The Night’s Watch Oban Bay Reserve,real_vector,1,1,1,
W001036,Westland Peated,all_zero,1,1,1,
W001041,"Elements Of Islay ""peat""",real_vector,1,1,1,
W001042,Paul John Edited,empty_or_null,1,1,1,
W001043,BenRiach Peated Quarter Casks,real_vector,1,1,1,
W001073,Penderyn Peated,real_vector,1,1,1,
W001080,Glenrothes Peated Cask Reserve,real_vector,1,1,1,
W001088,Matsui The Peated,real_vector,1,1,1,
W001097,Ardbeg 21yo,all_equal_const,1,1,1,
W001099,Ardbeg 19yo Traigh Bhan,real_vector,1,1,1,
W001102,Laphroaig Cairdeas 2015,real_vector,1,1,1,
W001106,Ardbeg Supernova 2014,real_vector,1,1,1,
W001120,Bruichladdich Octomore 12.3,real_vector,1,1,1,
W001132,Laphroaig Cairdeas 2014 Amontillado,real_vector,1,1,1,
W001142,Laphroaig 10yo Cask Strength (all Batches),real_vector,1,1,1,
W001161,Laphroaig Cairdeas 2018 Fino,real_vector,1,1,1,
W001163,Laphroaig Cairdeas 2016 Madeira,real_vector,1,1,1,
W001168,Bruichladdich Octomore 12.2,real_vector,1,1,1,
W001173,Bruichladdich Port Charlotte Islay Barley Heavily Peated,real_vector,1,1,1,
W001180,Game Of Thrones House Lannister Lagavulin 9yo,real_vector,1,1,1,
W001217,Benromach Peat Smoke,real_vector,1,1,1,
